"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"KIT","BAK","433619","Prestige Non stick Cushion Smart Small Roaster","Prestige","6.0CM","32.5CM","23.5CM","Roaster","W33cm x D23.5cm x H 6cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433620","Prestige Large Roaster Cushion Smart Non Stick","Prestige","7.5CM","41.0CM","32.0CM","Roaster","W41cm x D32cm x H8cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433621","Prestige Baking Sheet Cushion Smart Non Stick","Prestige","3.0CM","39.0CM","34.0CM","Baking Trays","W39cm x D34cm x H2.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433622","Prestige Oven Tray Cushion Smart Non Stick","Prestige","4.5CM","39.5CM","31.0CM","Baking Trays","W39.5cm x D31cm x H3.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433623","Prestige Pizza Tray Non Stick","Prestige","3.0CM","41.0CM","36.0CM","Baking Trays","W41cm x D36cm x H2.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433624","Prestige Loaf Tin Cushion Smart Non Stick 2lb","Prestige","8.0CM","30.0CM","14.0CM","Loaf Tins","W30cm x D14cm x H7.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433625","Prestige Bun Tin Non Stick","Prestige","3.0CM","41.0CM","27.5CM","Cake Tins","W28.5cm x D23.5cm x H4cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433626","Prestige Sandwich Tin Cushion Smart Non Stick","Prestige","4.0CM","28.5CM","23.5CM","Baking Trays","W28.5cm x D23.5cm x H4cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","434384","Salter Add and Weigh Jug Kitchen Scale","Salter","15.5CM","14.7CM","19.0CM","Kitchen Scales","2.2kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","1242","Wilko Non-Stick 4 Cup Yorkshire Pudding Tin","Wilko","2.5CM","25.0CM","27.0CM","Baking Trays","4 Cup","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","124825","Wilko Kitchen Non-Stick Deep Muffin Tin 12 Cup","Wilko","35.3CM","26.9CM","3.3CM","Cake Tins","35.4x27x3cm","Grey","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","254135","Wilko Non-Stick Pizza Platter 33cm","Wilko","33.2CM","33.2CM","1.6CM","Baking Trays","31cm","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","254137","Wilko Non-Stick Loaf Tin 900g/2lb","Wilko","21.7CM","11.6CM","6.3CM","Loaf Tins","900g","Silver","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","351463","Wilko Loaf Pan 1lb","Wilko","6.6CM","11.5CM","18.6CM","Loaf Tins","1lb","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","352654","Wilko Deep Square Cake Tin","Wilko","8.0CM","21.8CM","21.8CM","Cake Tins","Square","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
"KIT","BAK","352660","Wilko Loose Base Deep Cake Tin 8in","Wilko","8.0CM","21.5CM","21.5CM","Cake Tins","21.5x21.5cm","Metal","1",NA,NA,NA,NA,NA,NA,NA,NA,1
