"PSA_1","PSA_2","Article","Web Description","DQ Score"
"KIT","BAP","435082","Cake Decor Strawberry and Vanilla Two Stripe Icing",0.88
"KIT","BAP","435783","Kilner Shaker",0.9
"KIT","BAP","435794","Salter Add and Weigh Mechanical Kitchen Scale",0.88
"KIT","BAP","435796","Salter Arc Electrical Kitchen Scale",0.88
"KIT","CUT","447439","Viners Cutlery Set 16pcs and 2 Serving Spoons",0.95
"KIT","ELE","433371","Daewoo Aqua Glass Kettle 1.8L",0.891666666666667
"KIT","ELE","dd00008","Daewoo Manual Microwave White KOR6N35S",0.95
"KIT","ELE","dd00013","Daewoo Duoplate Touch Control Microwave KOR6L6BDSL",0.95
"KIT","ELE","dd00015","Daewoo Touch Control Microwave and GrillKOG3000SL",0.95
"KIT","ELE","dd00018","Daewoo Microwave Convection Oven KOC9QIT",0.95
"KIT","ELE","dd00103","Daewoo 28L Microwave with Grill KOC9Q3T",0.95
"KIT","ELE","451280","Kenwood Hand Mixer White HM220",0.85
"KIT","ELE","451281","Kenwood Compact Mini Chopper White CH180A",0.85
"KIT","ELE","451283","Kenwood Triblade Hand Blender 450W With Plus Turboand 0.5 Litre Bowl",0.85
"KIT","ELE","451284","Kenwood Blender 350w 1 Litre With Mill AttachmentWhite",0.85
"KIT","ELE","gs00001","Russell Hobbs Digital Microwave Black RHM1714B",0.95
"KIT","ELE","gs00002","Russell Hobbs Digital Microwave Grill StainlessSteel RHM2031",0.95
"KIT","ELE","gs00007","Russell Hobbs Heritage Digital Microwave RHM2064C",0.95
"KIT","ELE","gs00009","Russell Hobbs Digital Microwave Red RHM2064R",0.95
"KIT","ELE","gs00011","Russell Hobbs Digital Microwave Silver RHM2362S",0.95
"KIT","ELE","448363","Swan Jug Kettle 1.7 L Copper SK23030COPN",0.6
"KIT","ELE","448365","Swan Jug Kettle 1.7 L Black SK261050BN",0.95
"KIT","ELE","448366","Swan Jug Kettle 1.7 L Cream SK261050CN",0.95
"KIT","ELE","448368","Swan Jug Kettle 1.7 L Red SK261050RN",0.95
"KIT","ELE","448377","Swan Vintage Stand Mixer Cream SP21010CN",0.6
"KIT","ELE","448378","Swan Vintage Stand Mixer Green",0.9
"KIT","ELE","448380","Swan Vintage Stand Mixer Red SP21010RN",0.95
"KIT","ELE","448381","Swan Retro Stand Mixer Black SP25010BN",0.95
"KIT","ELE","448382","Swan Retro Stand Mixer Cream 600W",0.95
"KIT","ELE","448383","Swan Retro Stand Mixer Green SP25010GN",0.95
"KIT","ELE","448385","Swan Copper Effect Toaster 2 SliceST14040COPN",0.95
"KIT","ELE","448387","Swan Retro 4-Slice Toaster Black 800W",0.95
"KIT","ELE","448390","Swan Retro 4 Slice Toaster Red ST17010RN",0.891666666666667
"KIT","ELE","448392","Swan  Retro 2-Slice Toaster Black ST17020BN",0.95
"KIT","ELE","448395","Swan Retro 2-Slice Toaster Red ST17020RN",0.95
"KIT","ELE","rx00007","Swan Fryer 3L Stainless Steel SD6040N",0.95
"KIT","ELE","rx00021","Swan Compact Food Slicer SP10060N 150W White",0.85
"KIT","ELE","rx00059","Swan 2 Slice Toaster Black ST10020BLKN",0.95
"KIT","ELE","448415","Tower Xtreme Pro T12020GM",0.9
"KIT","ELE","448422","Tower Reversible Health Grill and Oven T14009",0.95
"KIT","ELE","448425","Tower Cerastone Reversible Grill T14019",0.891666666666667
"KIT","FAB","324758","D-C-Fix Original Deco Self-Adhesive Film Glossy Red 67.5cm x 2m 436-8345",0.95
"KIT","FOO","450059","Cupcake Lunch Bag",0.55
"KIT","FOO","450060","Polar Gear Owl Lunch Bag",0.9
"KIT","FOO","450061","Cars 3 Lunch Bag",0.85
"KIT","FOO","450062","Skull Lunch Bag",0.55
"KIT","MSP","450357","Curver Knit Laundry Basket 40L",0.95
"KIT","MSP","450358","Curver Basket Round My Style 30 Litre",0.95
"KIT","MSP","450359","Curver Waste Paper Basket My Style 13L",0.95
"KIT","MSP","450360","Curver Basket Round Knit 30L",0.95
"KIT","MSP","450362","Curver Basket XL My Style 30L",0.95
"KIT","MSP","450363","Curver Basket Rectangle Knit 3 Litre",0.95
"KIT","MSP","450364","Curver Basket Rectangle Knit 8 Litre",0.95
"KIT","MSP","450365","Curver Basket Rectangular Knit 19 Litre",0.95
"KIT","STO","434658","Curver Basket 18L",0.95
"KIT","STO","436174","Curver Basket 8L",0.95
