"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"KIT","BAK","352891","Wilko Spring Form Cake Tin 10in","Wilko Best",0.95
"KIT","BAP","435083","Cake Décor Hundreds and Thousands","Cake Decor",0.88
"KIT","BAP","435084","Cake Décor Chocolatey Strands","Cake Decor",0.88
"KIT","BAP","435085","Cake Décor Pink Glimmer Sugar","Cake Decor",0.88
"KIT","BAP","435086","Cake Décor Micro Mallows","Cake Decor",0.88
"KIT","BAP","435087","Cake Décor Glitter Spray Gold","Cake Decor",0.88
"KIT","BAP","435088","Cake Décor Glitter Spray Silver","Cake Decor",0.88
"KIT","BAP","435089","Cake Décor Bright Writing Icing 4pk","Cake Decor",0.88
"KIT","BAP","435090","Cake Décor Choco Writers White","Cake Decor",0.88
"KIT","BAP","435091","Cake Décor Choco Writers Milk","Cake Decor",0.88
"KIT","BAP","435092","Cake Décor Ready To Roll Icing White","Cake Decor",0.88
"KIT","BAP","435093","Cake Décor Ready To Roll Icing Red","Cake Decor",0.88
"KIT","BAP","435094","Cake Décor Ready To Roll Icing Pink","Cake Decor",0.88
"KIT","BAP","319126","Storage Jar Clip-Top Glass 70ml","Kilner",0.95
"KIT","BAP","451708","Kitchen Craft Icing Bottles 2pk","Kitchen Kraft",0.81
"KIT","BAP","451712","Kitchen Craft Gift Tags Home Made Slogan","Kitchen Kraft",0.81
"KIT","BAP","451713","Kitchen Craft Jam Jar Gift Tags Home Made Slogan24pk","Kitchen Kraft",0.95
"KIT","BAP","451715","Kitchen Craft Home Made Self-Adhesive Chutney JarLabels Roll of 100","Kitchen Kraft",0.88
"KIT","BAP","451716","Kitchen Craft Self Adhesive Jam Jar Labels Pack of100 Assorted","Kitchen Kraft",0.95
"KIT","BAP","453040","Kitchen Craft Flavour and Marinade Injector","Kitchen Kraft",0.81
"KIT","BAP","302282","Tala Icing Bag Set with 8 Nozzles","Wilko",0.95
"KIT","BAP","282378","Wilko Clear Measure Jug 1L","Wilko Functional",0.95
"KIT","BAP","941140","Wilko Mixing Bowl Polypropylene Medium Clear","Wilko Functional",0.95
"KIT","BAP","941340","Wilko Mixing Bowl Polypropylene Large","Wilko Functional",0.95
"KIT","CUT","427957","Cole and Mason Style Salt and Pepper Set","Cole & Mason",0.81
"KIT","CUT","427958","Cole and Mason Beehive Shaker Set","Cole & Mason",0.81
"KIT","CUT","427959","Cole and Mason Capstan Salt and Pepper Set","Cole & Mason",0.81
"KIT","DIN","447385","Kitchen Craft Slate and Wood Serving Stand 2 Tier","Kitchen Kraft",0.9
"KIT","DIN","441911","Serving Set Black Script 5 Piece","Wilko",0.8
"KIT","DIN","441918","Dip Bowls Square on Wooden Tray 4pcs","Wilko",0.8
"KIT","DIN","447416","Red Stemmed Wine Glass","Wilko",0.95
"KIT","ELE","447272","Quest Panini Sandwich Press Grill 35600","Benross",0.95
"KIT","ELE","447273","Quest Pancake Crepe Flatbread Maker 35540","Benross",0.95
"KIT","ELE","447274","Quest Omelette Maker 35640","Benross",0.95
"KIT","ELE","447275","Quest Compact Mini Oven 9L 35400","Benross",0.95
"KIT","ELE","447276","Quest Oven with Rotisserie 18L 35390","Benross",0.95
"KIT","ELE","447277","Quest Oven with Rotisserie Hot Plates 26L 35370","Benross",0.95
"KIT","ELE","cr00027","Hostess Trolley Drop Door HL6200DB","Crosslee",0.90625
"KIT","ELE","cr00032","Hostess Trolley Full Door HL6232BS","Crosslee",0.90625
"KIT","ELE","cr00059","Hostess Freestanding 46 Bottle Wine Cabinet HW46MA","Crosslee",0.95
"KIT","ELE","448349","Elgento Non-Stick Electric Wok 30 cm Black E14018","Elegento",0.95
"KIT","ELE","448350","Elgento Mini Oven 9L Black E14025","Elegento",0.95
