"PSA_1","PSA_2","Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Washable","Capacity","Power","Model Number","Material","Assembly","DQ Score"
"KIT","BAK","433619","Prestige Non stick Cushion Smart Small Roaster","Prestige","Roaster",NA,"1","W33cm x D23.5cm x H 6cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433620","Prestige Large Roaster Cushion Smart Non Stick","Prestige","Roaster",NA,"1","W41cm x D32cm x H8cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433621","Prestige Baking Sheet Cushion Smart Non Stick","Prestige","Baking Trays",NA,"1","W39cm x D34cm x H2.5cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433622","Prestige Oven Tray Cushion Smart Non Stick","Prestige","Baking Trays",NA,"1","W39.5cm x D31cm x H3.5cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433623","Prestige Pizza Tray Non Stick","Prestige","Baking Trays",NA,"1","W41cm x D36cm x H2.5cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433624","Prestige Loaf Tin Cushion Smart Non Stick 2lb","Prestige","Loaf Tins",NA,"1","W30cm x D14cm x H7.5cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433625","Prestige Bun Tin Non Stick","Prestige","Cake Tins",NA,"1","W28.5cm x D23.5cm x H4cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","433626","Prestige Sandwich Tin Cushion Smart Non Stick","Prestige","Baking Trays",NA,"1","W28.5cm x D23.5cm x H4cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","434384","Salter Add and Weigh Jug Kitchen Scale","Salter","Kitchen Scales",NA,"1","2.2kg",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","434387","Wilko Cake Carousel","Wilko","Cake Stand",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.8
"KIT","BAK","434391","Wilko Wooden Salt and Pepper Mill","Wilko","Salt and Pepper Sets",NA,"2","6.3cm x 6.3cm x 22cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","434392","Wilko Chip Bucket","Wilko","Serving Bucket",NA,"1","11cm",NA,NA,NA,NA,NA,NA,0.85
"KIT","BAK","434393","Wilko Chip Dustbin","Wilko","Serving Bucket",NA,"1","8.5cm",NA,NA,NA,NA,NA,NA,0.85
"KIT","BAK","434394","Wilko Mini Frypan with Board","Wilko","Serving Pan",NA,"1","Frypan 11.5cm, board 13.7cm",NA,NA,NA,NA,NA,NA,0.85
"KIT","BAK","452439","Wilko Round Pan 29.8cm","Wilko","Cake Tins",NA,"1","29.8cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452440","Wilko Loaf Pan 31.2cm","Wilko","Loaf Tins",NA,"1","31.2cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452441","Wilko Square Pan 27.5cm","Wilko","Cake Tins",NA,"1","27.5cm",NA,NA,NA,NA,"carbon steel",NA,0.9
"KIT","BAK","452442","Wilko Small Roaster 33cm","Wilko","Roaster",NA,"1","33cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452443","Wilko Muffin Pan 12 Cup 40.4cm","Wilko","Cake Tins ",NA,"1","40.4cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452444","Wilko Medium Roaster 40cm","Wilko","Roaster",NA,"1","40cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452445","Wilko Small Cookie Sheet 39cm","Wilko","Baking Trays",NA,"1","39cm",NA,NA,NA,NA,NA,NA,0.93
"KIT","BAK","452446","Wilko Mini Kid's Bake Pan Assted","Wilko","Cake Tins",NA,"1",NA,NA,NA,NA,NA,NA,NA,0.86
"KIT","BAK","305192","Wilko Best Loaf Tin Medium 24.5 x 15 x 6.5cm","Wilko Best","Loaf Tins","Metal","1","900g",NA,NA,NA,NA,"C.STEEL,TEFLON COAT.",NA,0.95
"KIT","BAK","305193","Wilko Best Oven Tray Steel 34 x 24 x 1.7cm","Wilko Best","Baking Trays","Metal",NA,"32x24cm",NA,NA,NA,NA,"C.STEEL,TEFLON COAT.",NA,0.9
"KIT","BAK","318534","Wilko Best Cake Tin 8in","Wilko Best","Cake Tins","Metal",NA,"8in",NA,NA,NA,NA,NA,NA,0.93
