"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Capacity","Coverage","Age","Model Number","DQ Score"
"PET","100","314272","Arden Grange Adult Complete Dry Dog Food with Fresh Chicken and Rice 2kg","Arden Grange","40.1CM","35.0CM","11.0CM","Small Bagged Food","2kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314273","Arden Grange Adult Complete Dry Dog Food Rich in Lamb and Rice 2kg","Arden Grange","40.4CM","35.0CM","11.3CM","Small Bagged Food","2kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314809","Arden Grange Complete Dry Dog Food Adult Chicken and Rice 12kg","Arden Grange","18.0CM","37.5CM","62.0CM","Large Bagged Food","12kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","314810","Arden Grange Complete Dry Dog Food Adult Lamb andRice 12kg","Arden Grange","18.0CM","37.5CM","62.0CM","Large Bagged Food","12kg",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","303733","Rooster Booster 125g","Battle","18.0CM","12.0CM","8.0CM","Food","125g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625
"PET","100","303735","Battle Poultry Stockholm Tar 400g","Battle","20.0CM","15.0CM","10.0CM","Healthcare","400g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","303736","Battle Poultry Drink 250ml","Battle","14.2CM","6.8CM","4.3CM","Housing Accessories","250ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","303739","Battle Poultry Red Mite Powder 500g","Battle","17.7CM","10.3CM","10.3CM","Healthcare","500g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","303803","Battle Poultry Disinfectant Cleaner 1L","Battle","28.0CM","10.0CM","7.0CM","Healthcare","1L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314423","Beaphar Shampoo Odour Neutraliser 250ml","Beaphar","18.0CM","5.0CM","5.0CM","Shampoo and Conditioner","250ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314441","Beaphar Multi Vitamin Paste Duo-Active 100g","Beaphar","18.0CM","5.0CM","3.4CM","Vitamins","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314442","Beaphar Hairball Paste 2in1 Remedy 100g","Beaphar","18.0CM","5.0CM","3.5CM","Hairball Paste","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9125
"PET","100","314712","Beaphar Tooth Gel for Dogs and Cats 100g","Beaphar","18.5CM","5.2CM","3.5CM","Dental Care","100g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86
"PET","100","314893","Beaphar Gentle Leader Large","Beaphar","20.0CM","13.0CM","4.0CM","Dog Collars","Large","Multi",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453829","Bob Martin Skin Soother Spray 75ml","Bob Martin","14.5CM","3.8CM","3.8CM","Calming Aids","3.8cm x 3.8cm x 14.5cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453830","Bob Martin Joint Formula High Strength Oil 150ml","Bob Martin","14.2CM","5.8CM","3.6CM","Calming Aids","150ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453831","Bob Martin High Strength Flexible Joint Tablets30 Tablets","Bob Martin","9.0CM","5.4CM","5.2CM","Calming Aids","30s",NA,"30",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453832","Bob Martin Stay Calm Nutritional Oil 150ml","Bob Martin","14.2CM","5.8CM","3.6CM","Calming Aids","150ml",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453833","Bob Martin Omega 3 Fish Oil 150ml","Bob Martin","14.2CM","5.8CM","3.6CM","Calming Aids","3.6cm x 5.8cm x 14.2cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453834","Bob Martin Dry Skin Oil 150ml","Bob Martin","14.2CM","5.8CM","3.6CM","Calming Aids","3.6cm x 5.8cm x 14.2cm",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.93
"PET","100","453835","Bob Martin Chef's Selection Fish Pouches 12x85g","Bob Martin","14.0CM","19.6CM","9.8CM","Adult Pouches 1+ Years","12x85g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453836","Bob Martin Chef's Selection Pouches Meat 12x85g","Bob Martin","14.0CM","19.6CM","9.8CM","Adult Pouches 1+ Years","12x85g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453837","Bob Martin Chef's Selection Pouches Fish andMeat 12 x 85g","Bob Martin","14.0CM","19.6CM","9.8CM","Adult Pouches 1+ Years","12x85g",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
"PET","100","453914","Felight Cat Litter 20L","Bob Martin","29.0CM","24.0CM","32.5CM","Cat Litter","20L",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0.88
"PET","100","453915","Bob Martin Clear 3 in 1 Dewormer Dogs - 2 Tablets","Bob Martin","10.0CM","7.0CM","2.1CM","Flea and Worming Control","2pk",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,1
