"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Material","Age","DQ Score"
"SBK","ADH","417028","Pentel Twin Tipped Permanent Marker 2pk","Pentel","21.0CM","7.0CM","1.2CM","Marker Pens","Each Marker 13.8cm x 1.3cm x 1.8cm","Black","2",NA,NA,1
"SBK","ADH","431871","Scotch Packaging Tape 48mm x 20.3m","Scotch","10.4CM","6.0CM","7.1CM","Packaging Tape","L x 0.0710m W x 0.0600m H x 0.1040m","Brown","1",NA,NA,1
"SBK","ADH","431872","Scotch Brown Packaging Tape 66M x 50mm","Scotch","5.0CM","10.2CM","10.2CM","Adhesive Tape and dispensers","L x 0.120m W x 0.1020 H x 0.500m","Brown","1",NA,NA,1
"SBK","ADH","433055","Scotch Universal Comfort Scissors 18cm","Scotch","27.1CM","1.3CM","10.5CM","Scissors","L x 0.1050m W x 0.0130m H x 0.2710m","Red","1",NA,NA,1
"SBK","ADH","108100","Wilko Cushion Envelopes 4pk 150 x 215mm","Wilko","22.3CM","16.9CM","1.7CM","Bubble Envelopes","150x215mm","Brown","4pk",NA,NA,1
"SBK","ADH","203741","Wilko Luggage Tags 10pk","Wilko",".4CM","7.5CM","17.5CM","Packaging","10 pack","Multi","10",NA,NA,1
"SBK","ADH","261523","Wilko Peel & Seal Window Envelopes White DL 25pk110 x 220mm","Wilko","22.2CM","11.1CM","1.2CM","Envelopes","110x220mm","White","25pk",NA,NA,1
"SBK","ADH","261524","Wilko Bubble Cushioned Envelopes Manilla 2pk 470 x350mm","Wilko","48.2CM","37.4CM","1.0CM","Bubble Envelopes","340x445mm","Brown","2pk",NA,NA,1
"SBK","ADH","261530","Wilko Peel & Seal Envelopes C4 Manilla 10pk324 x 229mm","Wilko","36.8CM","23.0CM",".5CM","Envelopes","324x229mm","Brown","10pk",NA,NA,1
"SBK","ADH","261532","Wilko Peel & Seal Envelopes C5 Manilla 25pk229 x 162mm","Wilko","26.4CM","16.4CM",".8CM","Envelopes","229x162mm","Brown","25pk",NA,NA,1
"SBK","ADH","261533","Wilko Peel & Seal Envelopes C5 White 25pk229 x 162mm","Wilko","26.2CM","16.3CM","1.0CM","Envelopes","229x162mm","White","25pk",NA,NA,1
"SBK","ADH","261534","Wilko Peel & Seal Envelopes DL White 50pk110 x 220mm","Wilko","22.0CM","11.1CM","2.6CM","Envelopes","110x220mm","White","50pk",NA,NA,1
"SBK","ADH","261535","Wilko Peel & Seal Envelopes C6 White 50pk114 x 162mm","Wilko","16.3CM","11.4CM","2.7CM","Envelopes","114x162mm","White","50pk",NA,NA,1
"SBK","ADH","261539","Wilko Money Envelopes Manilla 50pk 101 x 76mm","Wilko","13.2CM","7.8CM","2.0CM","Envelopes","101x76mm","Brown","50pk",NA,NA,1
"SBK","ADH","262795","Wilko Mailing Bag A5 Small 10pk 160 x 230mm","Wilko","28.5CM","19.0CM","1.0CM","Mailing Bags","Small","Multi","10",NA,NA,1
"SBK","ADH","262796","Wilko Mailing Bag A4 Medium 5pk 240 x 320mm","Wilko","27.0CM","19.0CM","1.0CM","Mailing Bags","Medium","Silver","5pk",NA,NA,1
"SBK","ADH","262797","Wilko Mailing Bag A3 Large 5pk","Wilko","28.5CM","19.0CM","1.0CM","Mailing Bags","A3","Grey","3pk",NA,NA,1
"SBK","ADH","262801","Wilko Self Adhesive Address Labels White 30pk55 x110mm","Wilko",".7CM","7.6CM","17.5CM","Packaging","55x110mm","Multi","1",NA,NA,1
"SBK","ADH","299456","Wilko String Ball 40m","Wilko","5.4CM","6.7CM","6.7CM","Packaging","40m","Multi","1",NA,NA,1
"SBK","ADH","317925","Wilko Board Backed Envelopes C4 Manilla 10pk 324 x229mm","Wilko","32.4CM","23.0CM","1.6CM","Envelopes","324x229mm","Brown","10pk",NA,NA,1
"SBK","ADH","317926","Wilko Peel & Seal Envelopes C4 White 10pk324 x 229mm","Wilko","36.6CM","22.9CM",".5CM","Envelopes","324x229mm","White","10pk",NA,NA,1
"SBK","ADH","432625","Wilko Envelopes Manilla 40pk Assorted Sizes","Wilko","33.0CM","23.0CM","2.0CM","Envelopes","Envelopes.C4,C5,C6,DL Self Seal","White","40",NA,NA,1
"SBK","ADH","73894","Wilko Bubble Cushioned Envelopes 7G Manilla 4pk240 x 335mm","Wilko","35.0CM","26.2CM","2.2CM","Bubble Envelopes","240x335mm","Brown","4pk",NA,NA,1
"SBK","ADH","94580","Wilko Envelopes Ivory C6 50pk 114 x 162mm","Wilko","13.2CM","7.8CM","2.0CM","Envelopes","114x162mm","Cream","25pk",NA,NA,1
"SBK","ADU","322005","Dovecraft 3D Foam Pads Square 400pk 5 x 5mm","Dovecraft","16.0CM","10.0CM","1.0CM","Adhesive Pads",NA,"White","1",NA,NA,1
"SBK","ADU","322034","Dovecraft Clear Card Bags Square 20pk 145 x 145mm","Dovecraft","14.5CM","14.5CM",".5CM","Embellishments",NA,"Clear","20pk",NA,NA,1
"SBK","ADU","322042","Dovecraft Clear Card Bags C6 20pk 120 x 169mm","Dovecraft","16.5CM","12.5CM",".5CM","Embellishments",NA,"Clear","20pk",NA,NA,1
"SBK","ADU","322049","Dovecraft Square Cards and Envelopes White 10pk14 x14 cm","Dovecraft","14.0CM","14.0CM","1.0CM","Craft Paper and Card",NA,"White","10pk",NA,NA,1
"SBK","ADU","322055","Dovecraft Cards and Envelopes Cream C6 10pk","Dovecraft","16.0CM","12.0CM","1.0CM","Craft Paper and Card",NA,"Cream","10pk",NA,NA,1
"SBK","ADU","322056","Dovecraft Cards and Envelopes White C6 10pk","Dovecraft","16.0CM","12.0CM","1.0CM","Craft Paper and Card",NA,"White","10pk",NA,NA,1
"SBK","ADU","322057","Dovecraft Square Cards and Envelopes Cream 10pk14 x 14cm","Dovecraft","14.0CM","14.0CM","1.0CM","Craft Paper and Card",NA,"Cream","10pk",NA,NA,1
"SBK","ADU","418641","Dovecraft Clear Stamp Block 12 x 5cm","Dovecraft","17.0CM","7.0CM","1.1CM","Stamp Block","12cm x 5cm","Multi","1",NA,NA,1
"SBK","ADU","433056","Dovecraft Floral Muse Designer Paper6 x 6in 150gsm Assorted Designs 72 Sheets","Dovecraft","15.2CM","15.2CM","1.2CM","Paper pack",NA,"Multi","1",NA,NA,1
"SBK","ADU","433057","Dovecraft Floral Muse Card Butterflies Assorted Designs 10pk","Dovecraft","20.5CM","10.5CM",".4CM","Muse Butterfly",NA,"Multi","10",NA,NA,1
"SBK","ADU","433058","Dovecraft Floral Muse Adhesive Pearls Assorted Colours and Sizes","Dovecraft","18.5CM","8.0CM",".3CM","Adhesive Gems",NA,"Multi","91",NA,NA,1
"SBK","ADU","433059","Dovecraft Floral Muse Wooden Frames Assorted Designs 16pk","Dovecraft","13.0CM","11.5CM",".8CM","Muse Frames",NA,"Multi","16",NA,NA,1
"SBK","ADU","433060","Dovecraft Floral Muse Clear Stamps 5pk","Dovecraft","14.0CM","10.2CM",".4CM","Stamps",NA,"Multi","5",NA,NA,1
"SBK","ADU","433061","Dovecraft Floral Muse Accordion Stickers 8pk","Dovecraft","22.0CM","9.0CM","1.0CM","Stickers",NA,"Multi","8",NA,NA,1
"SBK","ADU","433062","Dovecraft Floral Muse Doilies Assorted Colours 30pk","Dovecraft","16.0CM","12.0CM",".5CM","Decorative Doilies",NA,"Multi","30",NA,NA,1
"SBK","ADU","433063","Dovecraft Floral Muse A5 Sentiment Stickers","Dovecraft","26.0CM","15.0CM",".2CM","Craft Accessories",NA,"Multi","1",NA,NA,1
"SBK","ADU","433064","Dovecraft Chalk Markers","Dovecraft","19.8CM","7.7CM","1.5CM","Craft Accessories",NA,"Multi","1",NA,NA,1
"SBK","ADU","433065","Dovecraft Back to Basics Paper Blossoms Assorted Colours, Designs and Sizes 30pk","Dovecraft","10.1CM","8.4CM","1.1CM","Decorative Blossoms",NA,"Multi","30",NA,NA,1
"SBK","ADU","433066","Dovecraft Sentiment Ribbons Assorted Designs 2m","Dovecraft","6.5CM","6.5CM","1.2CM","Decorative Ribbon",NA,"Multi","1",NA,NA,1
"SBK","ADU","433067","Dovecraft Floral Muse Ribbon Assorted Designs 2m","Dovecraft","6.5CM","1.2CM","6.5CM","Decorative Ribbon",NA,"Multi","1",NA,NA,1
"SBK","ADU","433076","Staedtler Tradition Sketching Pencils Assorted Grades 12pk","Staedtler","19.7CM","8.9CM","1.0CM","Pencils","Pencil 176x7x7mm","Multi","12",NA,NA,1
"SBK","ADU","152839","Wilko Let's Create Sketch Pad A3 80gsm 30 Sheets","Wilko","42.1CM","29.7CM","2.9CM","Sketch and Paint Pads","A3","White","30s",NA,NA,1
"SBK","ADU","253381","Wilko Square Canvasses Small 4pk 20 x 20cm","Wilko","20.4CM","20.3CM","6.7CM","Easels and Canvases","20x20cm","White","4pk",NA,NA,1
"SBK","ADU","279077","Wilko Rectangle Canvasses 3pk 20 x 38cm","Wilko","38.3CM","20.3CM","5.3CM","Easels and Canvases","20x38cm","White","3pk",NA,NA,1
"SBK","ADU","319542","Wilko Let's Create Metallic Paint Gold 75ml","Wilko","12.8CM","6.1CM","3.9CM","Paints and Paint Brushes","75ml","Gold","1",NA,NA,1
"SBK","ADU","331607","Wilko Watercolour Paints Assortment x 12 x 12ml","Wilko","23.2CM","13.1CM","2.2CM","Paints and Paint Brushes","12ml","Multi","12pk",NA,NA,1
"SBK","ADU","433042","Wilko Black Scrapbook 30 x 30cm 250gsm 20 Sheets","Wilko","20.3CM","20.3CM","8.0CM","Scrapbooks",NA,"Black","1",NA,NA,1
"SBK","ADU","433043","Wilko Black Scrapbook 8 x 8in 250gsm 20 Sheets","Wilko","30.0CM","30.0CM","8.0CM","Scrapbooks",NA,"Black","1",NA,NA,1
"SBK","ADU","433052","Wilko Document Wallet A3 Clear","Wilko","34.5CM","44.8CM","1.0CM","Document Folders and Wallets","A3","Clear","1","Plastic",NA,1
"SBK","ADU","433072","Wilko Let's Create Blue Scrapbooking Kit 8x8inch 20 Sheets with 10 Top Loading Pages","Wilko","3.4CM","22.8CM","25.2CM","Scrapbooks",NA,"Multi","1",NA,NA,1
"SBK","ADU","433073","Wilko Let's Create Pink Scrapbooking Kit 8x8inch 20 Sheets with 10 Top Loading Pages","Wilko","3.4CM","22.8CM","25.2CM","Scrapbooks",NA,"Multi","1",NA,NA,1
"SBK","ADU","433415","Wilko Portfolio Case with Handle A3 Black","Wilko","36.5CM","1.0CM","49.5CM","Document Folders and Wallets","A3","Black","1","PP",NA,1
"SBK","ADU","456183","Wilko Adhesive Spray 500ml","Wilko","23.5CM","6.5CM","6.5CM","Glue","500ml","Multi","1",NA,NA,1
"SBK","ADU","94601","Wilko Sketch Pad A4 30 Sheets","Wilko","29.9CM","21.1CM",".5CM","Sketch and Paint Pads","A4",NA,"30s",NA,NA,1
"SBK","BOM","257784","Gold Stars Start to Write Educational Workbook Pre-School Ages 3-5 Years","Gold Stars","27.0CM","21.6CM",".5CM","Study & Revision Books",NA,NA,"1",NA,NA,1
"SBK","BOM","431391","Gold Stars Reception Maths Ages 4-5 Years","Gold Stars","27.0CM","21.5CM",".3CM","Study & Revision Books",NA,NA,"1",NA,NA,1
"SBK","BOM","431392","Gold Stars Reception English Ages 4-5 Years","Gold Stars","27.0CM","21.5CM",".3CM","Study & Revision Books",NA,NA,"1",NA,NA,1
