"PSA_1","PSA_2","Article","Web Description","DQ Score"
"TOI","ACB","452293","Marvel Spider-Man Bath and Shower Bubbles400ml",0.95
"TOI","BAB","456896","Dove Baby Lotion Rich Moisture 200ml",0.81
"TOI","BAB","456898","Dove Baby Rich Moisture Shampoo 200ml",0.81
"TOI","BAB","456901","Dove Baby Rich Moisture Head to Toe Wash 200ml",0.81
"TOI","BAN","456899","Dove Baby Wipes Sensitive 50pk",0.81
"TOI","BAT","450552","Carex Care+ Plus Handwash Macadamia Oil andVanilla 250ml",0.775
"TOI","BAT","450303","Dettol E45 Rose and Shea Butter Liquid Hand Wash250ml",0.95
"TOI","BAT","450305","Dettol E45 Liquid Hand Wash 250mlCamomile Antibacterial",0.95
"TOI","BAT","450306","Dettol Liquid Hand Wash Lavender250ml",0.95
"TOI","BAT","450308","Dettol Liquid Hand Wash 250mlGrapefruit",0.95
"TOI","BAT","456926","Lynx Shower Gel You Refreshed 250ml",0.8625
"TOI","BAT","456927","Lynx Shower Gel Energised You 250ml",0.8625
"TOI","BAT","456928","Lynx Shower Gel Clean Fresh You 250ml",0.8625
"TOI","COL","352156","Collection Eyebrow Kit Blonde",0.76875
"TOI","COL","352157","Collection 24hr Felt  Liner 5 Brown 7.8g",0.76875
"TOI","COS","445824","Essence Rock'n'Doll Crazy XXXL Volumizing MascaraBlack",0.81
"TOI","COS","445825","Essence Extreme Lasting Eye Pencil Black Love 01",0.81
"TOI","COS","445826","Essence Extreme Lasting Eye Pencil But FirstEspresso 02",0.81
"TOI","COS","445827","Essence Extreme Lasting Eye Pencil Black MidnightSky 03",0.81
"TOI","COS","445830","Essence Extreme Lasting Eye Pencil Silky Nude 06",0.81
"TOI","COS","445831","Essence Kajal Pencil N'Iced Coffee 28",0.81
"TOI","COS","445850","Essence Matt Matt Matt Lipgloss La Vie Est Belle01",0.81
"TOI","COS","445851","Essence Matt Matt Matt Lipgloss La Vie Est Belle02",0.81
"TOI","COS","445852","Essence Matt Matt Matt Lipgloss Girl Of Today 03",0.81
"TOI","COS","445854","Essence Matt Matt Matt Lipgloss Simply Be An Icon05",0.81
"TOI","COS","445863","Essence The Gel Nail Polish Perfect Match 75",0.81
"TOI","COS","445967","Essence Longlasting Lipliner Be A Game Changer 11",0.81
"TOI","COS","445979","Essence The Gel Nail Polish Pllump Power 72",0.81
"TOI","COS","445980","Essence The Gel Nail Polish Feels Like Birthday 74",0.81
"TOI","COS","445982","Essence The Gel Nail Polish Blue So True 79",0.81
"TOI","COS","445983","Essence The Gel Nail Polish Jeans On 80",0.81
"TOI","COS","445984","Essence The Gel Nail Polish So What 81",0.81
"TOI","COS","445985","Essence The Gel Nail Polish My Hula Hoop 82",0.81
"TOI","COS","445987","Essence French Manicure Tip Painter Its PerfectlyFind 01",0.81
"TOI","COS","445989","Essence Jewelry Top Coat Where Is My Crown 33",0.81
"TOI","COS","445990","Essence Mega Last Base Coat",0.81
"TOI","COS","446001","Essence XXL Nail Thickener",0.81
"TOI","COS","446002","Essence All In One Complete Care",0.81
"TOI","COS","446003","Essence Anti Spilt Nail Sealer",0.81
"TOI","COS","446004","Essence Better Than Gel Nail High Gloss Top Sealer",0.81
"TOI","COS","446011","Essence Nail Reparing Oil",0.81
"TOI","COS","446012","Essence Pro White Active Nail Brightener",0.81
"TOI","COS","446014","Essence SOS Power Repair",0.81
"TOI","COS","446016","Essence Ultra Gloss Nail Shine",0.81
"TOI","COS","446017","Essence Ultra Strong Nail Hardener",0.81
"TOI","COS","453531","Essence Volume Stylist 18h Curl and HoldMascara Black",0.88
"TOI","COS","453532","Essence Volume Stylist 18hr Lash Extension Mascara",0.88
"TOI","COS","453535","Essence Shine Shine Shine Lip Gloss 03",0.88
"TOI","COS","453536","Essence Shine Shine Shine Lip Gloss 08",0.88
"TOI","COS","453537","Essence Shine Shine Shine Lip Gloss 12",0.88
"TOI","COS","453539","Essence Camouflage Full CoverageConcealer Ivory 05",0.95
"TOI","COS","453540","Essence Camo Full Coverage Concealer 10",0.95
"TOI","COS","453542","Essence Colour Boost High Pigment NailPaint Instant Friendship 01",0.88
"TOI","COS","453547","Essence Lash Princess Sculpted Volume Mascara",0.88
"TOI","COS","453553","Essence My Must Haves Eyeshadow 01",0.88
"TOI","COS","453555","Essence My Must Haves Eyeshadow 03",0.88
"TOI","COS","453556","Essence My Must Haves Eyeshadow 04",0.88
"TOI","COS","453557","Essence My Must Haves Eyeshadow 05",0.88
"TOI","COS","453558","Essence My Must Haves Eyeshadow 06",0.88
"TOI","COS","453559","Essence My Must Haves Eyeshadow 07",0.88
"TOI","COS","453560","Essence My Must Haves Eyeshadow 08",0.88
"TOI","COS","453561","Essence My Must Haves Eyeshadow 09",0.88
"TOI","COS","453562","Essence My Must Haves Eyeshadow 10",0.88
"TOI","COS","453563","Essence My Must Haves Eyeshadow 11",0.88
"TOI","COS","453565","Essence My Must Haves Eyeshadow 13",0.88
"TOI","COS","453566","Essence My Must Haves Eyeshadow 14",0.88
"TOI","COS","453567","Essence My Must Haves Eyeshadow 15",0.88
"TOI","COS","453569","Essence My Must Haves Eyeshadow 17",0.88
"TOI","COS","453570","Essence My Must Haves Eyeshadow 18",0.88
"TOI","COS","453571","Essence My Must Haves Eyeshadow 19",0.88
"TOI","COS","453572","Essence My Must Haves Eyeshadow 20",0.88
"TOI","COS","453575","Essence Eyeliner Pen Longlasting White 02",0.88
"TOI","COS","453576","Essence Eyeliner Pen Longlasting Brown 03",0.88
"TOI","COS","453577","Essence Shine Shine Shine Lip Gloss 01",0.88
"TOI","COS","453578","Essence Shine Shine Shine Lip Gloss 02",0.88
"TOI","COS","453580","Essence Shine Shine Shine Lip Gloss 04",0.88
"TOI","COS","453581","Essence Shine Shine Shine Lip Gloss 05",0.88
"TOI","COS","453582","Essence Shine Shine Shine Lip Gloss 06",0.88
"TOI","COS","453583","Essence Shine Shine Shine Lipgloss 07",0.88
"TOI","COS","453585","Essence Shine Shine Shine Lip Gloss 09",0.88
"TOI","COS","453586","Essence Shine Shine Shine Lip Gloss 10",0.88
"TOI","COS","453587","Essence Shine Shine Shine Lip Gloss 11",0.88
"TOI","COS","453589","Essence Shine Shine Shine Lip Gloss 13",0.88
"TOI","COS","453601","Essence Out of Space Stories Nail Polish 01",0.88
"TOI","COS","453602","Essence Out Of Space Stories Nail PolishAcross The Universe 02",0.88
"TOI","COS","453603","Essence Out of Space Stories Nail PolishSpace Glam 03",0.88
"TOI","COS","453604","Essence Out Of Space Stories Nail PolishBeam Me Up 04",0.88
"TOI","COS","453607","Essence Out of Space Stories Nail Polish1000 Light Years Away 07",0.88
"TOI","COS","453608","Essence The Gel Nail Polish 88",0.88
"TOI","COS","453609","Essence The Gel Nail Polish 89",0.88
"TOI","COS","453610","Essence The Gel Nail Polish 90",0.88
"TOI","COS","453611","Essence The Gel Nail Polish 91",0.88
"TOI","COS","453612","Essence The Gel Nail Polish 92",0.88
"TOI","COS","453613","Essence The Gel Nail Polish 96",0.88
"TOI","COS","453615","Essence The Gel Nail Polish 98",0.81
"TOI","COS","453638","Essence The Cushion Eyeliner 01",0.81
"TOI","COS","453648","Essence My Must Haves Lip Powder 02",0.81
"TOI","COS","453649","Essence My Must Haves Lip Powder 03",0.81
"TOI","COS","453650","Essence My Must Haves Lip Powder 04",0.81
"TOI","COS","453651","Essence Instant Matt Make-Up 10",0.95
"TOI","COS","453653","Essence Instant Matt Make-Up 30",0.95
"TOI","COS","453664","Essence Colour Correct Liquid Concealer 10",0.95
"TOI","COS","453665","Essence Colour Correct Liquid Concealer 20",0.95
"TOI","COS","453666","Essence Colour Correct Liquid Concealer 30",0.95
"TOI","COS","453667","Essence Colour Boost High Pigment Nail PaintInstant Love 09",0.81
"TOI","COS","453669","Essence Colour Boost High Pigment Nail PaintInstant Feeling 07",0.81
"TOI","COS","453670","Essence Colour Boost High Pigment Nail PaintInstant Passion 09",0.81
"TOI","COS","453671","Essence Colour Boost High Pigment Nail PaintInstant Adventure 10",0.81
"TOI","COS","453672","Essence The Gel Nail Polish 100",0.81
"TOI","COS","453673","Essence The Gel Nail Polish 101",0.81
"TOI","COS","453674","Essence The Gel Nail Polish 86",0.81
"TOI","COS","453675","Essence The Gel Nail Polish 93",0.81
"TOI","COS","453677","Essence The Gel Nail Polish 95",0.81
"TOI","COS","453678","Essence The Gel Nail Polish 99",0.81
"TOI","COS","453680","Essence Glamaxy Top Coat 34",0.81
"TOI","COS","453682","Essence All in One Ridge Filler with Keratin",0.81
"TOI","COS","453686","Essence SOS Protect & Resist",0.81
"TOI","DEN","434474","Healthpoint Mouthwash Chlorhexdine Alcohol Free300ml",0.6
"TOI","DEN","437537","Oral- B Kids Toothpaste Frozen Stages 75ml",0.55
"TOI","DEN","447284","Oral B Power Handle ToothbrushPro 650 Cross Action",0.716666666666667
"TOI","FAC","454556","Dove Coconut and Almond Milk Lotion 400ml",0.8625
"TOI","FAC","454559","Dove Marula Oil and Mango Lotion 400ml",0.8625
"TOI","FAC","303391","Nivea Pure and Natural Soothing Day Cream 50ml",0.95
"TOI","FAC","304155","Nivea Pure and Natural Moisturising Day Cream 50ml",0.95
"TOI","FAC","433559","Olay Total Effects Feather Weight Moisturiser 50ml",0.8625
"TOI","FAC","419517","Vaseline Moisturiser Aerosol Essential 190ml",0.95
"TOI","FEM","412235","Charlie Divine Body Spray 75ml",0.8625
"TOI","FEM","454056","Impulse Sweet Smile Body Spray 75ml",0.95
"TOI","FEM","456467","Charlie Bodyspray Peach Passion 75ml",0.8125
"TOI","FOO","457169","Farleys Strawberry and Peach Biscotti",0.76
"TOI","FOO","457170","Heinz Strawberry and Banana Biscotti",0.81
"TOI","FOO","457171","Heinz Eat Play Peach and Apricot Biscuits",0.81
