"PSA_1","PSA_2","Article","Web Description","Brand","Height","Width","Depth","Type","Size","Colour","Pack Qty","Power","Age","DQ Score"
"TOY","ACT","439630","Avengers Walkie Talkies","Avengers","32.6CM","12.7CM","5.5CM","Walkie Talkies",NA,"Multi","1","3x AAA Batteries Included","3 Years +",1
"TOY","ACT","330544","Nerf N-Strike Elite Firestrike","Nerf","20.0CM","23.7CM","4.6CM","Blasters and Launchers",NA,"Multi","1","Battery","8 Years",1
"TOY","ACT","419445","Wilko Play Roadsters Wheelie Monster Assortment","Wilko","21.5CM","29.0CM","16.0CM","Cars and Playsets",NA,"Multi","1","3x AA Batteries Included","3 Years +",1
"TOY","CRE","415901","Wilko Decorate Your Own Fairy Lights","Wilko","25.0CM","25.0CM","5.0CM","Craft Kits",NA,"Multi","1","2x AA Batteries Not Included","3 Years +",1
"TOY","CRE","417586","Wilko Decorate Your Own Wall Clock","Wilko","30.0CM","30.0CM","5.0CM","Craft Kits",NA,"Multi","1","1x AA Battery Not Included","3 Years +",1
"TOY","PRE","448344","Paw Patrol Ryder's Pup Pad","Paw Patrol","19.1CM","20.3CM","3.8CM","Learning Toys",NA,"Multi","1","2x AAA Batteries Included","3 Years +",1
"TOY","PRE","425035","Smoby Bon Appetit Kitchen","Smoby","95.5CM","34.0CM","49.5CM","Play Kitchens","95.5 x 34 x 49.5 cm","Multi","1",NA,NA,1
"TOY","PRE","330600","Vtech Baby Toot Toot Drivers Deluxe Track Set","Vtech","21.4CM","25.5CM","8.9CM","Cars and Playsets",NA,"Multi","1","3x AAA Batteries Included","5 Years +",1
"TOY","PRE","419721","Vtech Baby Little Friendlies Sing AlongSpinning Wheel","Vtech","21.5CM","20.0CM","9.0CM","Learning Toys",NA,"Multi","1","2x AAA Batteries Included","6 Years +",1
"TOY","PRE","428481","Vtech Sort And Discover Drum","Vtech","10.5CM","20.0CM","20.0CM","Learning Toys",NA,"Multi","1","2x AAA Batteries Included","12 Months +",1
"TOY","PRE","438491","Vtech Sit and Discover Ride On","Vtech","30.5CM","13.3CM","45.0CM","Ride Ons",NA,"Multi","1","2x AA Batteries Included","2 Years +",1
"TOY","PRE","438840","Vtech Toot Toot Friends Kingdom Fairy","Vtech","10.6CM","9.5CM","6.5CM","Musical Toys",NA,"Multi","1","2x AAA Batteries Included","12 Months +",1
"TOY","PRE","438845","Vtech Babys Laptop","Vtech","22.0CM","28.0CM","5.3CM","Learning Toys",NA,"Multi","1","2x AA Batteries Included","2 Years +",1
"TOY","PRE","438846","Vtech Push and Play Spinning Top","Vtech","20.0CM","19.9CM","20.0CM","Learning Toys",NA,"Multi","1","2x AA Batteries Included","18 Months +",1
"TOY","PRE","438847","Vtech Cosy Kitten Carrier","Vtech","27.9CM","37.5CM","16.3CM","Learning Toys",NA,"Multi","1","2x AAA Batteries Included","18 Months +",1
"TOY","PRE","438852","Vtech Teletubbies Time To Rhyme Book","Vtech","20.0CM","19.0CM","4.8CM","Learning Toys",NA,"Multi","1","2x AAA Batteries Included","9 Months +",1
"TOY","PRE","450516","Vtech Toot Toot Drivers Assortment","Vtech","6.0CM","8.0CM","5.5CM","Learning Toys",NA,"Multi","1","2x AAA Batteries Included","12 Months +",1
"TOY","PRE","402734","Wilko Play Kettle","Wilko","16.0CM","16.0CM","12.0CM","Play Kitchens",NA,"Multi","1","2x AA Batteries Included","3 Years +",1
"TOY","SST","425806","Rolly Kiddy Classic Tractor And  Trailer","Rolly","49.0CM","47.0CM","134.0CM","Ride On","Dimensions of assembled tractor with trailer 134 x","Blue",NA,NA,"2.5 - 5 years",1
