"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"TOY","ACT","419673","Starwars Walkie Talkies","Star Wars",0.95
"TOY","ACT","439981","Starwars Bouncy Ball","Star Wars",0.891666666666667
"TOY","ACT","332872","Turtles Mix and Match Action Figures Assortment","Teenage Mutant Ninja Turtles",0.891666666666667
"TOY","ACT","428326","Turtles Half-Shell Heroes Figure 2pk Assortment","Teenage Mutant Ninja Turtles",0.891666666666667
"TOY","ACT","456605","Hot Wheels Light and Sound Extreme Action","Wilko",0.891666666666667
"TOY","ACT","456619","Zuru Micro Boats Assorted","Wilko",0.891666666666667
"TOY","ACT","456620","Micro Boat Water Slide Playset","Wilko",0.891666666666667
"TOY","CRE","268008","Classic Monopoly","Hasbro",0.891666666666667
"TOY","CRE","454755","Game of Thrones Cluedo","Hasbro",0.783333333333333
"TOY","CRE","280110","Don't Say It Game","Paul Lamond Games",0.891666666666667
"TOY","CRE","291348","Yes No Card Game","Paul Lamond Games",0.891666666666667
"TOY","CRE","419540","FX 4 x 35pc Jigsaw Asst B","Ravensburger",0.891666666666667
"TOY","CRE","440504","Jigsaws 4 x 35piece Assorted Theme","Ravensburger",0.891666666666667
"TOY","FAN","443823","Chicco Ranger Dolls Pram Junior Collection Pink","Chicco Capri",0.8
"TOY","FAN","408611","Palace Pets Furry Tail Friends Assortment","Disney",0.85
"TOY","FAN","320602","Sparkle Girlz Winter Fairy Doll Assortment","Sparkle Girls",0.85
"TOY","FAN","335994","Sparkle Girlz Little Fairy Doll Assortment","Sparkle Girls",0.85
"TOY","FAN","438454","Sparkle Girlz Princess Doll Pony Carriage","Sparkle Girls",0.85
"TOY","FAN","438459","Sparkle Girlz Winter Doll Large","Sparkle Girls",0.85
"TOY","GAM","401406","Charades For Kids","Paul Lamond Games",0.891666666666667
"TOY","GAM","448224","Are We There Yet? Travel Game","Paul Lamond Games",0.841666666666667
"TOY","GAM","443722","Wooden Table Top Football","Wilko",0.6
"TOY","POC","457309","Grafix Bracelets Sets Assorted","RMS International",0.891666666666667
"TOY","PRE","439429","Nickelodeon Train and Play Dora and Perrito","Fisher Price",0.6
"TOY","PRE","439436","Thomas and Friends Daring Dragon Drop","Fisher Price",0.95
"TOY","PRE","448304","Mega Bloks Build N Learn Bag","Mega Blocks",0.891666666666667
"TOY","PRE","425028","Black and Decker The Star Workbench Playset","Smoby",0.95
"TOY","PRE","409167","Thomas Mighty Minis Blind Bag","Thomas & Friends",0.891666666666667
"TOY","PRE","428506","Thomas The Tank Engine Soft Ball","Thomas & Friends",0.891666666666667
"TOY","PRE","448309","My First Thomas Roll n Pop Engine","Thomas & Friends",0.891666666666667
"TOY","PRE","454666","Thomas and Friends Mini Collector Case","Thomas & Friends",0.841666666666667
"TOY","PRE","456508","Wooden Baking Play Set","Wilko",0.6
"TOY","SST","425819","Waterball","Buitenspeel",0.6
"TOY","SST","425820","Octopus Waterparty","Buitenspeel",0.891666666666667
"TOY","SST","425821","Disc Deluxe Target and Dart Throwing Game","Buitenspeel",0.891666666666667
"TOY","SST","425822","Giant Playing Cards","Buitenspeel",0.891666666666667
"TOY","SST","425824","Tin Throwing Game","Buitenspeel",0.891666666666667
"TOY","SST","425827","Jumping Cow White","Buitenspeel",0.95
"TOY","SST","425829","Parachute","Buitenspeel",0.891666666666667
"TOY","SST","426211","Mercia Tulip Playhouse 5ft x 5ft","Mercia Garden Products",0.95
"TOY","SST","426212","Mercia Tulip Playhouse Tower 5ft x 7ft 6inch","Mercia Garden Products",0.95
"TOY","SST","426213","Mercia Poppy Playhouse 5ft x 5ft","Mercia Garden Products",0.95
"TOY","SST","426214","Mercia Poppy Playhouse Tower 5ft x 7ft 6inch","Mercia Garden Products",0.95
"TOY","SST","426216","Mercia Dutch Style Playhouse 6ft x 6ft","Mercia Garden Products",0.95
"TOY","SST","426217","Mercia Flower Playhouse Central Door","Mercia Garden Products",0.95
"TOY","SST","426220","Mercia Double Storey Playhouse 7ft x 5ft","Mercia Garden Products",0.95
"TOY","SST","426222","Mercia Snug Playhouse 4ft x 4ft","Mercia Garden Products",0.95
"TOY","SST","426223","Mercia Snug Playhouse and Tower 4ft x 4ft","Mercia Garden Products",0.95
"TOY","SST","424697","BCE Multi Games Table Snooker/Pool/Dartboard 6ft","Riley",0.833333333333333
"TOY","SST","425809","Jcb Dumper","Rolly",0.6
"TOY","SST","425811","Cat Mobile 360 Degree Excavator","Rolly",0.6
"TOY","SST","425812","John Deere Mobile 360 Degree Excavator","Rolly",0.891666666666667
"TOY","SST","425813","John Deere Trio Trac With Electronic SteeringWheel and Trailer","Rolly",0.891666666666667
