"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"XMD","FOI","439081","Snow Foam Mousse 250ml","Festive",0.6
"XMD","FOI","439082","Christmas Traditions Snow Spray and Stencils","Festive",0.6
"XMD","FOI","439083","Christmas Traditions Copper Spray 150ml","Festive",0.6
"XMD","FOI","51182","Christmas Traditions Silver Spray 150ml","Festive",0.6
"XMD","FOI","8812645","Christmas Traditions Snow Spray 150ml","Festive",0.6
"XMD","FOI","51183","Christmas Traditions Gold Spray 150ml","Wilko",0.6
"XMD","LIG","449498","Zaplites 200 LED String Lights App ControlledWhite","Festive",0.95
"XMD","LIG","449499","Zaplites 200 LED String Lights App ControlledWarm White","Festive",0.95
"XMD","LIG","449500","Zaplites 200 LED String Lights App ControlledMulti-Coloured","Festive",0.95
"XMD","LIG","449501","Zaplites 360 LED String Lights App ControlledWhite","Festive",0.95
"XMD","LIG","449502","Zaplites 360 LED String Lights App Controlled WarmWhite","Festive",0.95
"XMD","LIG","449503","Zaplites 360 LED String Lights App ControlledMulti-Coloured","Festive",0.95
"XMD","TRE","403191","Scentsicles Scented Christmas Tree Ornaments WhiteWinter Fir 6pk","Festive",0.6
"XMD","TRE","306504","Wilko 6ft Waverley Christmas Tree","Wilko Best",0.6
