"Article","Web Description","Brand","DQ Score"
"a100007","Keswick Mattress Rolled Single","Airsprung",0.9
"a100008","Keswick Mattress Rolled Double","Airsprung",0.9
"a100088","Comfort Express Rolled Mattress Single","Airsprung",0.95
"a100089","Comfort Express Rolled Mattress Double","Airsprung",0.9
"a200001","York Mattress Medium Firm Single","Airsprung",0.9
"a200002","York Mattress Medium Firm Double","Airsprung",0.9
"a200003","York Mattress Medium Firm Kingsize","Airsprung",0.9
"a200004","Henley Trizone Deluxe Mattress Single","Airsprung",0.9
"a200005","Henley Trizone Deluxe Mattress Double","Airsprung",0.9
"a200069","Blythe Memory Foam No Turn Mattress Double","Airsprung",0.841666666666667
"440631","Value Folding Bed With Memory Foam Mattress Single","Jay-Be",0.833333333333333
"440632","Value Folding Bed With Memory Foam Mattress Double","Jay-Be",0.833333333333333
"440633","Advance Folding Bed With Airflow Mattress Single","Jay-Be",0.833333333333333
"440634","Jubilee Folding Bed With Airflow Mattress Single","Jay-Be",0.833333333333333
"440635","Jubilee Folding Bed With Airflow Mattress Double","Jay-Be",0.833333333333333
"440636","Royal Folding Bed With Pocket Sprung MattressSingle","Jay-Be",0.833333333333333
"440637","Impression Folding Bed With Memory Foam MattressSingle","Jay-Be",0.833333333333333
"440638","Revolution Folding Bed With Airflow Fibre MattressSingle","Jay-Be",0.833333333333333
"440639","Inspire Folding Bed With Contract Fibre MattressSingle","Jay-Be",0.833333333333333
"440640","Revolution Folding Bed With Pocket Sprung MattressSingle","Jay-Be",0.833333333333333
"440641","Revolution Folding Bed With Memory Foam MattressSingle","Jay-Be",0.833333333333333
"440642","J-Bee Folding Bed With Performance AirflowMattress Single","Jay-Be",0.833333333333333
"440643","J-Bee Folding Bed With Performance AirflowMattress Double","Jay-Be",0.833333333333333
"ck00013","Clovelly Large Bookcase Rustic Oak","Kingston Furniture",0.95
"ck00014","Clovelly Large Side board Rustic Oak","Kingston Furniture",0.95
"ck00015","Clovelly Compact Side board Rustic Oak","Kingston Furniture",0.891666666666667
"ck00016","Clovelly Long Entertainment Unit","Kingston Furniture",0.891666666666667
"ck00017","Clovelly Coffee Table Rustic Oak","Kingston Furniture",0.891666666666667
"ck00018","Clovelly Large Bookcase Vanilla","Kingston Furniture",0.891666666666667
"ck00019","Clovelly Large Side board Vanilla","Kingston Furniture",0.891666666666667
"ck00020","Clovelly Compact Side board","Kingston Furniture",0.891666666666667
"ck00021","Clovelly Long Entertainment Unit","Kingston Furniture",0.891666666666667
"ck00022","Clovelly Coffee Table Vanilla","Kingston Furniture",0.891666666666667
"ck00023","Penrose 3 Door Glass Display Unit Oak","Kingston Furniture",0.95
"ck00024","Penrose 2 Door Glass Display Unit Oak","Kingston Furniture",0.95
"ck00026","Penrose 2 Door 3 Drawer Sideboard Oak","Kingston Furniture",0.95
"ck00027","Penrose 2 Door Side board Oak","Kingston Furniture",0.95
"ck00028","Penrose Corner TV Unit Oak","Kingston Furniture",0.891666666666667
"ck00029","Penrose Long Enter tainment Unit Oak","Kingston Furniture",0.891666666666667
"ck00030","Penrose Storage Coffee Table Oak","Kingston Furniture",0.891666666666667
"ck00039","Clovelly 4 Door Centre Mirror Wardrobe","Kingston Furniture",0.95
