"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"272578","Ariel Washing Gel Bio 16 Washes 592ml","Ariel","Liquid and Gel Detergents",NA,"1","592ml",1
"278061","Ariel Washing Gel Bio 24 Washes 888ml","Ariel","Liquid and Gel Detergents",NA,"1","888ml",1
"278062","Ariel Washing Gel Febreze 24 Washes 888ml","Ariel","Liquid and Gel Detergents",NA,"1","888ml",1
"278067","Ariel Washing Gel Colour 24 Washes 888ml","Ariel","Liquid and Gel Detergents",NA,"1","888ml",1
"333378","Ariel 3in1 Bio Liquid Tablets 19 Washes","Ariel","Liquitabs",NA,"19s","19s",1
"333379","Ariel 3in1 Tablets Colour and Style 19 Washes","Ariel","Liquitabs",NA,"19s","19s",1
"333380","Ariel 3 in 1 Liquid Tablets Febreze 19 Washes","Ariel","Liquitabs",NA,"19s","19s",1
"351261","Ariel Washing Liquid Original 22 Washes 1.2L","Ariel","Liquid and Gel Detergents",NA,"1","1.2L",1
"351264","Ariel Washing Liquid Original 40 Washes 2L","Ariel","Liquid and Gel Detergents",NA,"1","2L",1
"454183","Ariel Liquid Regular 3L","Ariel","Liquid and Gel Detergents",NA,"1","3L",1
"295254","Bold Gel With Lenor Lotus Flower and Lilly 888ml","Bold","Liquid and Gel Detergents",NA,"1","888ml",1
"295341","Bold Gel With Lenor Lavender and Camomile 888ml","Bold","Liquid and Gel Detergents",NA,"1","888ml",1
"330301","Bold Gel With Lenor Sparkling Bloom and YellowPoppy 24 Washes 888ml","Bold","Liquid and Gel Detergents",NA,"1","888ml",1
"351270","Bold 2in1 Liquid Lavender and Camomile 1.9L","Bold","Liquid and Gel Detergents",NA,"1","1.9L",1
"432518","Bold 2in1 with Lenor Sparkling Bloom andYellow Poppy 1.2L","Bold","Liquid and Gel Detergents",NA,"1","1.2L",1
"432522","Bold 2in1 Powder Sparkling Bloom 1.43kg","Bold","Washing powder",NA,"1","1.43kg",1
"168862","Calgon Water Softener 15pk","Calgon","Water Softener",NA,"1","218g",1
"275078","Calgon 2 in 1 Water Softener Powder 600g","Calgon","Water Softener",NA,"1","600g",1
"177822","Comfort Vaporesse Ironing Water 1L","Comfort","Ironing Water",NA,"1","1L",1
"255077","Comfort Sunshiny Days Fabric Conditioner 42Washes 1.5L","Comfort","Fabric Conditioners",NA,"1","1.5L",1
"255079","Comfort Pure Fabric Conditioner 42 Washes 1.5L","Comfort","Fabric Conditioners",NA,"1","1.5L",1
"332317","Comfort Blue Skies Fabric Conditioner 85 Washes 3L","Comfort","Fabric Conditioners",NA,"1","3L",1
"334443","Comfort Pure Fabric Conditioner 3L","Comfort","Fabric Conditioners",NA,"1","3L",1
"352863","Comfort Creations Honeysuckle and Sandalwood1.16L","Comfort","Fabric Conditioners",NA,"1","1.16L",1
"409225","Comfort Creations Fabric Conditioner CherryBlossom and Sweet Pea 1.16L","Comfort","Liquid and Gel Detergents",NA,"1","1.16L",1
"430856","Comfort Pure Fabric Conditioner 570ml","Comfort","Fabric Conditioners",NA,"1","570ml",1
"439876","Comfort Intense Luxurious 960ml","Comfort","Fabric Conditioners",NA,"1","960ml",1
"350030","Daz Detergent Powder   Regular 2.6kg","Daz","Washing Powder",NA,"1","2.6kg",1
"350031","Daz Detergent  Powder  Regular 1.43kg","Daz","Washing Powder",NA,"1","1.43kg",1
"450760","Daz Liquid 2.45L","Daz","Liquid and Gel Detergents",NA,"1","2.45L",1
"414377","Dettol Wash Machine Cleaner Gel 250ml","Dettol","Washing Machine Cleaner",NA,"1","250ml",1
"95059","Dr Beckmann Glowhite Super Whitener 5pk","Dr Beckmann","Stain and Pre-Treatment Agents",NA,"1","5x40g",1
"228002","Dylon Wash and Dye Velvet Black 350g","Dylon","Fabric Dyes","Black","1","350g",1
"270596","Dylon Fabric Dye Intense Violet 50g","Dylon","Clothing Dye","Purple","1","50g",1
"274482","Dylon Colour Catcher Sheets 24pk","Dylon","Stain and Pre-Treatment Agents",NA,"1","24 Sheets",1
"285879","Dylon Dye Salt 500g","Dylon","Clothing Dye","Cream","1","500g",1
"332023","Dylon Spray Starch Aerosol Spray 300ml","Dylon","Spray Starch",NA,"1","300ml",1
"454085","Dylon Dye Pod Navy Blue 350g","Dylon","Fabric Dyes ","Blue","1","350g",1
"454086","Dylon Dye Pod Forest Green 350g","Dylon","Fabric Dyes ","Green","1","350g",1
"454087","Dylon Dye Pod Intense Black 350g","Dylon","Fabric Dyes ","Black","1","350g",1
"454088","Dylon Dye Pod Jeans Blue 350g","Dylon","Fabric Dyes","Blue","1","350g",1
"454089","Dylon Dye Pod Tulip Red 350g","Dylon","Fabric Dyes ","Red","1","350g",1
"454090","Dylon Dye Pod Deep Violet 350g","Dylon","Fabric Dyes ","Purple","1","350g",1
