"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"130212","Ace Bleach Gentle Stain Remover 1L","Ace","Stain and Pre-Treatment Agents",NA,NA,"1L",0.9125
"350025","Ariel Detergent  Powder Regular 650g","Ariel","Washing Powder",NA,NA,"650g",0.9125
"350026","Ariel Washing Powder Colour 22 Washes 1.43kg","Ariel","Washing Powder",NA,NA,"1.43kg",0.9125
"351262","Ariel Washing Liquid Colour 22 Washes 1.2L","Ariel","Liquid and Gel Detergents",NA,NA,"1.2L",0.9125
"403534","Ariel Bio Liquitabs 30 Washes","Ariel","Liquitabs",NA,NA,NA,0.825
"422364","Ariel Pods 3in1 Colour and Style 30 Washes","Ariel","Liquitabs",NA,"1",NA,0.9125
"432516","Ariel Washing Liquid Colour 40 Washes 2L","Ariel","Liquid and Gel Detergents",NA,"1",NA,0.9125
"432517","Ariel Washing Powder Regular 40 Washes 2.6kg","Ariel","Washing powder",NA,"1",NA,0.9125
"351268","Bold 2in1 Liquid Lotus Flower and Lilly 1.2L","Bold","Liquid and Gel Detergents",NA,NA,"1.2L",0.9125
"413963","Bold 2 in 1 Liquid Tablets White Lily 18 Washes","Bold","Liquitabs",NA,"1",NA,0.9125
"413965","Bold 2 in 1 Liquid Tablets Lavender and Camomile18 Washes","Bold","Liquitabs",NA,"1",NA,0.9125
"413967","Bold 2 in 1 Liquid Tablets Sparkling Bloom18 Washes","Bold","Liquitabs",NA,"1",NA,0.9125
"432519","Bold 2 in 1 Liquid Tablets Lavender and Camomile29 Washes","Bold","Liquitabs",NA,"1",NA,0.9125
"432520","Bold 2 in 1 Liquid Pods White Lily 29 Washes","Bold","Liquitabs",NA,"1",NA,0.9125
"432521","Bold 2in1 Powder with Lenor Lavender andCamomile 2.6kg","Bold","Washing powder",NA,"1",NA,0.9125
"286247","Calgon Water Softener Gel 750ml","Calgon","Water Softener",NA,NA,"750ml",0.9125
"255078","Comfort Fabric Conditioner Blue Skies42 Washes 1.5L","Comfort","Fabric Conditioners",NA,NA,"1.5L",0.9125
"352861","Comfort Creations Fabric Conditioner Strawberryand Lily 1.16L","Comfort","Fabric Conditioners",NA,NA,"1.16L",0.9125
"414155","Comfort Intense Fuchsia Passion 570ml","Comfort","Fabric Conditioners",NA,"1",NA,0.9125
"414156","Comfort Intense Fresh Sky 570ml","Comfort","Fabric Conditioners",NA,"1",NA,0.9125
"414157","Comfort Intense Fabric Conditioner Fresh Sky64 Washes","Comfort","Fabric Conditioners",NA,"1",NA,0.9125
"414158","Comfort Intense Fuchsia Passion 960ml","Comfort","Fabric Conditioners",NA,"1",NA,0.9125
"430857","Comfort Creations Fabric Conditioner Tuberose andVanilla Flower 33 Washes","Comfort","Fabric Conditioners",NA,NA,"1.16L",0.9125
"451717","Comfort Intense Perfume Pearls Fuchsia Passion275g","Comfort","Fabric Conditioners",NA,NA,NA,0.775
"451718","Comfort Intense Perfume Pearls Fresh Sky 275g","Comfort","Fabric Conditioners",NA,"1",NA,0.8625
"453863","Comfort Intense Flora 38 Washes","Comfort","Fabric Conditioners",NA,NA,NA,0.775
"453865","Comfort Intense Fabric Conditioner Tropical Punch64 Washes","Comfort","Fabric Conditioners",NA,"64",NA,0.8625
"112320","Daz Handwash Laundry Powder 960g","Daz","Washing Powder",NA,NA,"960g",0.9125
"334456","Daz Liquid Regular 1.0L","Daz","Liquid and Gel Detergents",NA,NA,"1.0L",0.9125
"422365","Daz Liquid Tablets 27 Washes","Daz","Liquitabs",NA,"27",NA,0.9125
"450761","Daz Liquitabs 42 Washes","Daz","Liquitabs",NA,"42",NA,0.9125
"275063","Dr Beckmann Service It Washing Machine Cleaner 250ml","Dr Beckmann","Washing Machine Cleaner",NA,NA,"250ml",0.9125
"321029","Dr Beckmann Colour and Dirt Sheets 20pk","Dr Beckmann","Stain and Pre-Treatment Agents",NA,"20s",NA,0.9125
"349717","Dr.Beckmann Stain Devils Survival Kit3 Bottles","Dr Beckmann","Stain and Pre-Treatment Agents",NA,"1",NA,0.8625
"349718","Dr.Beckmann Colour and Dirt Collector 50pk","Dr Beckmann","Stain and Pre-Treatment Agents",NA,"50s",NA,0.8625
"270597","Dylon Fabric Dye Flamingo Pink 50g","Dylon","Clothing Dye","Pink",NA,"50g",0.93
"270598","Dylon Fabric Dye Tropical Green 50g","Dylon","Clothing Dye","Green",NA,"50g",0.93
"270599","Dylon Hand Dye Bahama Blue 50g","Dylon","Clothing Dye","Blue",NA,"50g",0.93
"277635","Dylon Curtain Whitener 3pk","Dylon","Stain and Pre-Treatment Agents",NA,NA,"150ml",0.9125
"285873","Dylon Hand Dye Grey 50g","Dylon","Clothing Dye","Grey",NA,"50g",0.93
"285875","Dylon Hand Dye Yellow 50g","Dylon","Clothing Dye","Yellow",NA,"50g",0.93
"285877","Dylon Hand Dye Ocean Blue 50g","Dylon","Clothing Dye","Blue",NA,"50g",0.93
"454082","Dylon Colour Catchers 50pk","Dylon","Stain and Pre-Treatment Agents ",NA,"50",NA,0.9125
"454083","Dylon Brilliant Black Sheets 10pk","Dylon","Stain and Pre-Treatment Agents",NA,"7",NA,0.8625
"454084","Dylon Brilliant White Sheets 7pk","Dylon","Stain and Pre-Treatment Agents",NA,"7",NA,0.9125
"83851","Dylon Hand Dye Navy Blue 50g","Dylon","Clothing Dye","Blue",NA,"50g",0.93
"83855","Dylon Hand Dye Velvet Black 50g","Dylon","Clothing Dye","Black",NA,"50g",0.93
"83858","Dylon Fabric Dye Tulip Red 50g","Dylon","Clothing Dye","Red",NA,"50g",0.93
"351265","Fairy Non Bio Liquid 40 Washes 2L","Fairy","Liquid and Gel Detergents",NA,NA,"2L",0.9125
"351266","Fairy Non Bio Liquid 24 Washes 1.2L","Fairy","Liquid and Gel Detergents",NA,NA,"1.2L",0.9125
"400360","Fairy Original Fabric Conditioner 1.1L","Fairy","Fabric Conditioners",NA,NA,"1.1L",0.9125
