"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"4224040","Copydex Adhesive 125ml","Copydex","Strong Adhesive",NA,"1",NA,1
"421525","Gorilla Glue 60ml","Gorilla Glue","Multi Purpose Glue",NA,"1",NA,1
"421526","Gorilla Glue 115ml","Gorilla Glue","Multi Purpose Glue",NA,"1",NA,1
"421527","Gorilla Glue 250ml","Gorilla Glue","Multi Purpose Glue",NA,"1",NA,1
"150185","Loctite Super Glue Powerflex Gel 3g","Loctite","Superglue",NA,"1",NA,1
"433384","Loctite 60 Seconds All Purpose Glue 20g","Loctite","All Purpose Glue",NA,"1","20g",1
"433397","Loctite Superglue Power Flex Mini Trio Gel 1g 3pk","Loctite","Superglue",NA,"3","3 x 1g",1
"303488","Unibond No More Nails Original Interior 200ml","No More Nails","No More Nails",NA,"1",NA,1
"417028","Pentel Twin Tipped Permanent Marker 2pk","Pentel","Marker Pens","Black","2","Each Marker 13.8cm x 1.3cm x 1.8cm",1
"431871","Scotch Packaging Tape 48mm x 20.3m","Scotch","Packaging Tape","Brown","1","L x 0.0710m W x 0.0600m H x 0.1040m",1
"431872","Scotch Brown Packaging Tape 66M x 50mm","Scotch","Adhesive Tape and dispensers","Brown","1","L x 0.120m W x 0.1020 H x 0.500m",1
"433055","Scotch Universal Comfort Scissors 18cm","Scotch","Scissors","Red","1","L x 0.1050m W x 0.0130m H x 0.2710m",1
"231136","Unibond Repair Extreme Power Glue 20g","Unibond","Repairing Glue",NA,"1",NA,1
"237185","Unibond No More Nails Strips Permanent Interior and Exterior 10pk","Unibond","No More Nails",NA,"10",NA,1
"301997","Unibond No More Nails Original Interior 40ml","Unibond","No More Nails",NA,"1",NA,1
"340867","Unibond Waterproof Cartridge No More Nails","Unibond","Strong Adhesive",NA,"1",NA,1
"341318","Unibond Transparent Repair Tape 50mm x 25m","Unibond","DIY Tape",NA,"1",NA,1
"433391","Unibond Repair Power Epoxy Permanent Adhesive 5 minute 14ml","Unibond","Epoxy Glue",NA,"1","14ml",1
"433392","Unibond One For All Crystal Glue Transparent 290g","Unibond","Superglue",NA,"1","290g",1
"433393","Unibond One For All Super Grab White 440g","Unibond","Superglue",NA,"1","440g",1
"433395","Unibond Super PVA Adhesive and Sealer 250ml","Unibond","PVA Glue",NA,"1","250ml",1
"433398","Unibond No More Nails Wood 225g","Unibond","Wood Glue",NA,"1",NA,1
"108100","Wilko Cushion Envelopes 4pk 150 x 215mm","Wilko","Bubble Envelopes","Brown","4pk","150x215mm",1
"157228","Wilko Decorator Power Bond Instant Grab Solvent Free 300g","Wilko","Strong Adhesive",NA,"1",NA,1
"203741","Wilko Luggage Tags 10pk","Wilko","Packaging","Multi","10","10 pack",1
"261523","Wilko Peel & Seal Window Envelopes White DL 25pk110 x 220mm","Wilko","Envelopes","White","25pk","110x220mm",1
"261524","Wilko Bubble Cushioned Envelopes Manilla 2pk 470 x350mm","Wilko","Bubble Envelopes","Brown","2pk","340x445mm",1
"261530","Wilko Peel & Seal Envelopes C4 Manilla 10pk324 x 229mm","Wilko","Envelopes","Brown","10pk","324x229mm",1
"261532","Wilko Peel & Seal Envelopes C5 Manilla 25pk229 x 162mm","Wilko","Envelopes","Brown","25pk","229x162mm",1
"261533","Wilko Peel & Seal Envelopes C5 White 25pk229 x 162mm","Wilko","Envelopes","White","25pk","229x162mm",1
"261534","Wilko Peel & Seal Envelopes DL White 50pk110 x 220mm","Wilko","Envelopes","White","50pk","110x220mm",1
"261535","Wilko Peel & Seal Envelopes C6 White 50pk114 x 162mm","Wilko","Envelopes","White","50pk","114x162mm",1
"261539","Wilko Money Envelopes Manilla 50pk 101 x 76mm","Wilko","Envelopes","Brown","50pk","101x76mm",1
"262795","Wilko Mailing Bag A5 Small 10pk 160 x 230mm","Wilko","Mailing Bags","Multi","10","Small",1
"262796","Wilko Mailing Bag A4 Medium 5pk 240 x 320mm","Wilko","Mailing Bags","Silver","5pk","Medium",1
"262797","Wilko Mailing Bag A3 Large 5pk","Wilko","Mailing Bags","Grey","3pk","A3",1
"262801","Wilko Self Adhesive Address Labels White 30pk55 x110mm","Wilko","Packaging","Multi","1","55x110mm",1
"288950","Wilko Rubber Glue 15g","Wilko","Rubber Glue",NA,"1",NA,1
