"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","Material","DQ Score"
"158290","Solvite Wallpaper Adhesive Super Smooth Ready to Use 4.5kg","Solvite","Wallpaper Paste",NA,NA,NA,"4.5kg",NA,0.8
"2774240","Solvite Wallpaper All Purpose Adhesive Extra Strong 92g","Solvite","Wallpaper Paste",NA,NA,NA,"5 roll",NA,0.8
"2774940","Solvite Wallpaper Adhesive All Purpose Extra Strong Natural 185g","Solvite","Wallpaper Paste",NA,NA,"1","10roll",NA,0.85
"302378","Solvite Wallpaper Adhesive Paste The Wall 230g","Solvite","Wallpaper Paste",NA,NA,"1","237g",NA,0.85
"157037","Wilko Wallpaper Stripper Concentrated 500ml","Wilko","Wallpapering Tools",NA,NA,"1","500ml",NA,0.85
"2780240","Wilko All Purpose Wallpaper Adhesive 5 rolls","Wilko","Wallpaper Paste",NA,NA,"5pk",NA,NA,0.8
"2780940","Wilko Decorator All-Purpose Wallpaper Adhesive","Wilko","Wallpaper Paste",NA,NA,"10pk",NA,NA,0.8
"281050","Wilko Wallpaper Paste Brush 130mm","Wilko","Wallpapering Tools",NA,NA,NA,"130mm",NA,0.8
"281051","Wilko Wallpaper Hanging Brush 210mm","Wilko","Wallpapering Tools",NA,NA,NA,"210mm",NA,0.8
"281756","Atlas Plumb Bob","Wilko","Wallpapering Tools",NA,NA,"1",NA,NA,0.75
"341325","Wilko Ready Mixed Adhesive Wallcover 2.5Kg","Wilko","Wallpaper Paste",NA,NA,NA,"2.5kg",NA,0.8
"341326","Wilko Ready Mixed Adhesive Wallcover 5Kg","Wilko","Wallpaper Paste",NA,NA,NA,"5kg",NA,0.8
"341561","Wilko Plastic Paste Table","Wilko","Wallpaper Pasting Table",NA,NA,"1",NA,NA,0.8
"49868","Wilko Border and Overlap Adhesive All Purpose Ready Mixed 250g","Wilko","Wallpaper Paste","1.3m²",NA,"1","250g",NA,0.9
"2784040","Paste Table with Hardboard Top","Wilko Functional","Wallpaper Pasting Table",NA,NA,"1","1 Pack",NA,0.8
"343882","Wilko Functional Wallpaper Hanging Set 4pk","Wilko Functional","Wallpaper Tools",NA,"Black","4pk","Assorted",NA,0.9
