"Article","Web Description","DQ Score"
"ab00001","Abru 3 Tread Step Ladder Chrome",0.95
"ab00002","Abru 10Way Combination Step Ladder",0.8625
"ab00003","Abru 5Way Combination Ladder and Platform",0.8625
"ab00005","Abru Loft Ladder Access Kit Wood",0.8625
"ab00006","Abru Triple Extension Ladder Aluminium",0.8625
"ab00007","Abru 2 Tread Stepstool Chrome",0.8625
"ab00010","Abru Triple Extension Ladder Aluminium",0.8625
"ab00011","Abru Step Ezee 2 Step Stepstool",0.8625
"ab00012","Abru 2 Step Large Stepstool",0.8625
"ab00013","Abru 5 Tread High Handrail Stepladder",0.8625
"ab00016","Abru 3 Way Combination ladder with Tray",0.8625
"ab00017","Abru Easy Stow 3  Section Loft Ladder",0.8625
"ab00018","Abru Easy Stow 3  Section Loft Ladder",0.8625
"ab00019","Abru DIY 2.5m Double Extension Ladder",0.95
"ab00020","Abru DIY 3.4m Double Extension Ladder",0.95
"ab00021","Abru DIY 2.8m Triple Extension Ladder",0.95
