"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"288813","UniBond Weather-Guard Outdoor Sealant Roof and Gutter Flexible Black","Unibond","Outdoor Sealant",NA,"1","300ml",1
"288814","UniBond Sealant Finishing Tool","Unibond","Sealant Smoother",NA,"1","1 Pack",1
"288853","UniBond Weather Guard Outdoor Window and Frame Sealant White","Unibond","Window Sealant",NA,"1","300ml",1
"288855","UniBond Super Window and Door Frame Interior and Exterior Sealant Brown 300ml","Unibond","Window Sealant",NA,"1","300ml",1
"3144548","Unibond Super All Purpose Silicone Sealant Translucent 300ml","Unibond","All Purpose Sealant",NA,"1","300ml",1
"3144578","Unibond Super All Purpose Silicone Sealant White 300ml","Unibond","All Purpose Sealant",NA,"1","300ml",1
"322243","Unibond Kitchen and Bathroom Sealant Anti-Mould Translucent   150ml","Unibond","Bathroom and Kitchen Sealant",NA,"1","150ml",1
"335312","Unibond Shower, Bathroom and Kitchen Speed Seal Sealant White 300ml","Unibond","Bathroom and Kitchen Sealant",NA,"1","300ml",1
"335313","Unibond Shower Bathroom and Kitchen Anti-Mould Sealant Triple Protection White 300ml","Unibond","Bathroom and Kitchen Sealant",NA,"1","300ml",1
"341323","Unibond Go Seal 100ml","Unibond","Sealant",NA,"1","100ml",1
"433396","Unibond Re-New Silicone Sealant Ice White 130g","Unibond","Sealant Cleaner",NA,"1","130g",1
"64067","Unibond All Purpose Interior Sealant White 467g","Unibond","All Purpose Sealant",NA,"1","300ml",1
"157232","Wilko Decorator Sealant All-Purpose Silicone White300g","Wilko","All Purpose Sealant",NA,"1","300ml",1
"157233","Wilko All-Purpose Silicone Sealant Translucent 300g","Wilko","All Purpose Sealant",NA,"1","300ml",1
"228982","Wilko Decorator Bathroom and Kitchen Silicone Sealant Translucent 300ml","Wilko","Bathroom and Kitchen Sealant",NA,"1","300ml",1
"288922","Wilko Sealing Strip Bathroom and Kitchen 38mmx3.35m","Wilko","Sealing Strip",NA,"1","38mmx3.35m",1
"343757","Wilko Tile Spacers 4mm 200pk","Wilko","Tools","White","200pcs","4mm",1
"343767","Wilko Combination Spreader","Wilko","Tools","Red","1","18 x 8cm",1
"427805","Wilko Heavy Duty Sealant Gun 11in","Wilko","Sealant Gun",NA,"1","11in",1
