"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"453366","Air Wick VIPoo Lemon Idol Spray 55ml","Air Wick","Toilet Spray","6","3.25 x 3.25 x 13.2",1
"453367","Air Wick VIPoo Fruity Pin Up Spray 55ml","Air Wick","Toilet Spray","6","3.25 x 3.25 x 13.2",1
"453368","Air Wick VIPoo Rosy Starlet Spray 55ml","Air Wick","Toilet Spray","6","3.25 x 3.25 x 13.2",1
"453369","Air Wick VIPoo Lavender Superstar Spray 55ml","Air Wick","Toilet Spray","6","3.25 x 3.25 x 13.2",1
"168745","Jeyes Bloo Max Cistern Block 70g","Bloo","Toilet Blocks and Strips","1","70g",1
"435345","Bloo Foam Aroma Ocean Mist FragancedPowder 500g","Bloo","Toilet Cleaner","1","500g",1
"435346","Bloo Foam Aroma Rose and Apple Blossom FragancedPowder 500g","Bloo","Toilet Cleaner","1","500g",1
"208847","Cushelle Toilet Tissue White 9 Rolls 180 Sheets2 Ply","Cushelle","Toilet Roll","9","180 sheets per roll",1
"255738","Cushelle Scented Toilet Tissue 4 Rolls","Cushelle","Toilet Roll","4pk","4 Pack",1
"293760","Cushelle Toilet Tissue White 4 Rolls180 Sheets 2 Ply","Cushelle","Toilet Roll","1","4 Pack",1
"1156840","Domestos Original Bleach 750ml","Domestos","Bleach","1","750ml",1
"186746","Domestos Bleach Aqua Blast 750ml","Domestos","Bleach","1","750ml",1
"277123","Domestos Bleach   Original Blue 2L","Domestos","Bleach","1","2L",1
"293164","Domestos Bleach Citrus 750ml","Domestos","Bleach","1","750ml",1
"333337","Domestos Toilet Wipes Fresh Fragrance 40pk","Domestos","Wipes","40s","40 Pack",1
"437751","Domestos Rimblock Power 5 Ocean","Domestos","Toilet Blocks and Strips","1","55g",1
"225107","Harpic Original Limescale Remover 750ml","Harpic","Limescale Remover","1","750ml",1
"252160","Harpic Power Plus Toilet Cleaner, Original 750ml","Harpic","Toilet Cleaner","1","750ml",1
"334465","Harpic White and Shine Bleach with BakingSoda 750ml","Harpic","Bleach","1","750ml",1
"431958","Harpic Fresh Power Summer Breeze 39g","Harpic","Toilet Blocks and Strips","1","39g",1
"332012","Mr Muscle Toilet Power Lavender 750ml","Mr Muscle","Toilet Cleaner","1","750ml",1
"403682","Parozone Bleach Original 1L","Parozone","Bleach","1","1L",1
"222828","Regina Impressions Toilet Tissue White 16 Rolls160 Sheets 3 Ply","Regina","Toilet Roll","16","160 sheets per roll",1
"268119","Regina Scented Toilet Tissue 4 Rolls160 Sheets 3 Ply","Regina","Toilet Roll","4","160 sheets per roll",1
"280994","Regina Chamomile Toilet Tissue 9 Rolls160 Sheets 3 Ply","Regina","Toilet Roll","9","160 sheets per roll",1
"306518","Regina Impressions Toilet Tissue White 4 Rolls160 Sheets 3 Ply","Regina","Toilet Roll","4pk","4 Pack",1
"352144","Regina Impressions Toilet Tissues White 9 Rolls170 Sheets 3 Ply","Regina","Toilet Roll","9","170 sheets per roll",1
"182764","Toilet Duck Rim Block Refill Wave","Toilet Duck","Toilet Blocks and Strips","1","55g",1
"221895","Toilet Duck Fresh Brush Refill 12pk","Toilet Duck","Wipes","12","12 pk",1
"294462","Toilet Duck 4in1 Liquid Cleaner Fresh Pine 750ml","Toilet Duck","Toilet Cleaner","1","750ml",1
"294464","Toilet Duck Liquid Marine 750ml","Toilet Duck","Toilet Cleaner","1","750ml",1
"319780","Toilet Duck Liquid Citrus 750ml","Toilet Duck","Toilet Cleaner","1","750ml",1
"212892","Velvet Comfort Toilet Tissue White 4 Rolls","Velvet","Toilet Roll","4pk","4 Pack",1
"222494","Velvet Comfort Tissue White 9 Rolls200 Sheets 3 Ply","Velvet","Toilet Roll","9pk","9 Pack",1
"324398","Velvet Pure Moist Toilet Tissue 42pk","Velvet","Moist Wipes","1","42s",1
"352503","Velvet Quilted Toilet Tissue 4 Rolls 165 Sheets3 Ply","Velvet","Toilet Roll","1","4 Rolls",1
"352521","Velvet Quilted Toilet Tissue 9 Rolls 165 Sheets3 Ply","Velvet","Toilet Roll","9","165 sheets per roll",1
"435096","Velvet Comfort Toilet Tissue White 16 Rolls200 Sheets 3 Ply","Velvet","Toilet Roll","16","200 sheets per roll",1
"166153","Wilko Quilted Toilet Tissue White 4 Rolls165 Sheets 3 Ply","Wilko","Toilet Roll","4pk","4x26.3m",1
"230099","Wilko Quilted Toilet Tissue White 9 Rolls3 Ply","Wilko","Toilet Roll","1","9 Pack",1
"332550","Wilko Embossed Toilet Roll 9pk","Wilko","Toilet Roll","1","9 Pack",1
"332564","Wilko Embossed Toilet Roll 4pk","Wilko","Toilet Roll","4pk","104mmx110mm",1
"351809","Wilko Embossed Toilet Tissue 18pk","Wilko","Toilet Roll","18","190 sheets per roll",1
"435079","Wilko Embossed Toilet Tissue 32pk","Wilko","Toilet Roll","32","190 sheets per roll",1
