"Article","Web Description","Brand","Type","Colour","Washable","Size","Material","Pack Qty","Capacity","Assembly","Power","Model Number","Coverage","DQ Score"
"225164","Carex Complete Sensitive Handwash 250ml","Carex","Hand Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"243296","Carex Complete Cleansing Wipes 15pk","Carex","Face Wipes and Pads",NA,NA,NA,NA,"15s",NA,NA,NA,NA,NA,0.9125
"253711","Carex Complete Moisture Plus Handwash 250ml","Carex","Hand Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"254008","Carex Complete Sensitive Hand Gel 50ml","Carex","Hand Wash",NA,NA,"50ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"280273","Carex Liquid Handwash Manuka Honey and Oatmilk250ml","Carex","Hand Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"325552","Carex Protect+ Plus Moisturising Handwash250ml","Carex","Hand Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"325566","Carex Complete Handwash Strawberry Laces 250ml","Carex","Hand Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"450547","Carex Original Shower Gel 500ml","Carex","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"450548","Carex Moisture Plus Shower Cream 500ml","Carex","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"450549","Carex Strawberry Fun Shower and Bath 500ml","Carex","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"450550","Care Care+ Plus Handwash Coconut Oil and Almond250ml","Carex","Hand Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"450552","Carex Care+ Plus Handwash Macadamia Oil andVanilla 250ml","Carex","Hand Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.775
"78925","Carex Complete Original Handwash 250ml","Carex","Hand Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"347937","Croydex Bath Mat","Croydex","Bath Mats","White",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"423312","Croydex Sparkle Toilet Seat","Croydex","Toilet Seats",NA,NA,"34cm x 42cm","Resin","1",NA,NA,NA,NA,NA,0.941666666666667
"423313","Croydex Rust Free Shower Caddy","Croydex","Shower Caddy",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"423314","Croydex Foster Sit Tight Toilet Seat White","Croydex","Toilet Seats",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.825
"452659","Croydex Toilet Seat White Sparkle","Croydex","Toilet Seats",NA,NA,"44x37x5cm","Resin, Zinc","1",NA,NA,NA,NA,NA,0.941666666666667
"452661","Croydex Corner Basket Rust Free","Croydex","Shower Caddy",NA,NA,"16.5x28x6cm","Rust Free Mild Steel","1",NA,NA,NA,NA,NA,0.941666666666667
"93711","Cussons Mild Cream Soap 4 x 90g","Cussons","Soap",NA,NA,NA,NA,"4pk",NA,NA,NA,NA,NA,0.9125
"324200","Dettol No Touch Handwash Refill, Odour Neutral250ml","Dettol","Hand Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"324203","Dettol No Touch Handwash Unit with Cucumber Refill","Dettol","Hand Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"140151","Dove Beauty Cream Handwash 250ml","Dove","Hand Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"166291","Dove Indulging Cream Bath 500ml","Dove","Bubble Bath, Creams and Oils",NA,NA,"500ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"228528","Dove Beauty Cream 2 x 100g","Dove","Soap",NA,NA,"100g",NA,NA,NA,NA,NA,NA,NA,0.9125
"276789","Dove Liquid Hand Wash 250mlShea Butter and Warm Vanilla","Dove","Hand Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"276891","Dove Cream Bath 500mlShea Butter and Warm Vanilla","Dove","Bubble Bath, Creams and Oils",NA,NA,"500ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"414576","Dove Go fresh Revive Body Wash 250ml","Dove","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"414592","Dove Pro Age Body Wash 500ml","Dove","Male Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"414596","Dove Bodywash Softening Silk 500ml","Dove","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"416202","Dove Deeply Nourishing Body Wash 250ml","Dove","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"438053","Dove Beauty Creme Bar 2 x 100gCucumber and Green Tea Scent","Dove","Soap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"69408","Dove Cream Bar 100g","Dove","Soap",NA,NA,"100g",NA,NA,NA,NA,NA,NA,NA,0.9125
"346256","Duracell Ultra Power Alkaline Batteries AA LR61.5V 8pk","Duracell","AA",NA,NA,"AA",NA,"8pk",NA,NA,NA,NA,NA,0.93
"443329","Duracell Plus Power Batteries AA LR6 16pk","Duracell","Batteries",NA,NA,"AA",NA,"16pk",NA,NA,NA,NA,NA,0.93
"174219","Energizer Alkaline Battery A23 12V Single","Energizer","12v",NA,NA,"12V",NA,NA,NA,NA,"12V",NA,NA,0.93
"174224","Energizer Lithium Battery CR2 3V Single","Energizer","3v",NA,NA,"3V",NA,NA,NA,NA,"3V",NA,NA,0.93
"174225","Energizer Lithium Battery 123 3V Single","Energizer","3v",NA,NA,"123",NA,NA,NA,NA,"3V",NA,NA,0.93
"277652","Energizer Universal Battery Charger","Energizer","Battery Charger",NA,NA,"Universal",NA,NA,NA,NA,"Mains",NA,NA,0.93
"277653","Energizer Accu Recharge Maxi Compact BatteryCharger with Batteries AA 1.2V 4pk","Energizer","Battery Charger",NA,NA,"AA",NA,NA,NA,NA,"Mains",NA,NA,0.93
"277661","Energizer NiMH Rechargeable Batteries PP3 175mAh9V Single","Energizer","9v",NA,NA,"PP3",NA,NA,NA,NA,"9V",NA,NA,0.93
"277663","Energizer NiMH Battery Charger with BatteriesAA 1.2V 4pk","Energizer","Battery Charger",NA,NA,"AA",NA,NA,NA,NA,"Mains",NA,NA,0.93
"336832","Energizer Cell Lithium Batteries CR2032 3V 4pk","Energizer","3v",NA,NA,"3V",NA,"4pk",NA,NA,NA,NA,NA,0.93
"337233","Energizer NiMH Recharge Extreme Batteries AAA800mAh 1.2V 4pk","Energizer","AAA",NA,NA,"AAA",NA,"1",NA,NA,NA,NA,NA,0.93
"346267","Energizer Ultimate Lithium  Batteries AA LR6 1.5V4pk","Energizer","AA",NA,NA,"AA",NA,"4",NA,NA,NA,NA,NA,0.93
"346268","Energizer Ultimate Lithium Batteries  AAA LR031.5V 4pk","Energizer","AAA",NA,NA,"AAA",NA,"4",NA,NA,NA,NA,NA,0.93
"346269","Energizer Alkaline Batteries LR1 1.5V 2pk","Energizer","1.5v",NA,NA,"LR1",NA,"1",NA,NA,NA,NA,NA,0.93
"420353","Energizer Eco Advanced AA 4pk","Energizer","AA",NA,NA,"4X AAA Batteries",NA,"4",NA,NA,NA,NA,NA,0.93
"420370","Energizer Eco Advanced Batteries AAA 4pk","Energizer","AAA",NA,NA,"4X AAA Batteries",NA,"4",NA,NA,NA,NA,NA,0.93
"420380","Energizer Advanced Batteries C 2pk","Energizer","C",NA,NA,"2XC Batteries",NA,"2",NA,NA,NA,NA,NA,0.93
"420381","Energizer Advanced Batteries D 2pk","Energizer","D",NA,NA,"2 x D batteries",NA,"2",NA,NA,NA,NA,NA,0.93
"420382","Energizer Advanced Batteries 9V Single","Energizer","9v",NA,NA,"1 X 9V Battery",NA,"1",NA,NA,NA,NA,NA,0.93
"420383","Energizer Eco Advanced Batteries AA Maxi Pack","Energizer","AA",NA,NA,"AA Battery",NA,"10pk",NA,NA,NA,NA,NA,0.93
"420385","Energizer Eco Advanced Batteries AAA Maxi Pack","Energizer","AAA",NA,NA,"AAA Battery",NA,"10pk",NA,NA,NA,NA,NA,0.93
"420389","Energizer Alkaline Batteries LR44 1.5V 4pk","Energizer",NA,NA,NA,"4 X LR44 Batteries",NA,"4",NA,NA,NA,NA,NA,0.86
"60661","Eveready Weatherproof Lantern Battery 4R25 6VSingle","Eveready","6v",NA,NA,"PJ996",NA,NA,NA,NA,"6V",NA,NA,0.93
"313499","Imperial Leather Ivory Bar Soap 4 x 100g +2 Free","Imperial Leather","Soap",NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,0.9125
"424413","Imperial Leather Shower Cream 250mlComforting Marshmallow","Imperial Leather","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"425248","Imperial Leather Shower Creme 250mlCoconut and Tiare Flower","Imperial Leather","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"425249","Imperial Leather Shower Cream 250mlMango and Papaya","Imperial Leather","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"430234","Imperial Leather Foamburst for Men 200mlCitrus and Sea Minerals","Imperial Leather","Male Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"430235","Imperial Leather Foamburst Body WashCherry Blossom and Vanilla 200ml","Imperial Leather","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"450545","Imperial Leather Shower Cream 250mlFoamy Banana","Imperial Leather","Shower Gel and Body Wash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"450546","Imperial Leather Marshmallow Bath 500ml","Imperial Leather","Bubble Bath, Creams and Oils",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"450553","Imperial Leather Bath Cream 500mlFoamy Banana","Imperial Leather","Bubble Bath, Creams and Oils",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.825
"456926","Lynx Shower Gel You Refreshed 250ml","Lynx","Male Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.8625
"456927","Lynx Shower Gel Energised You 250ml","Lynx","Male Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.8625
"456928","Lynx Shower Gel Clean Fresh You 250ml","Lynx","Male Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.8625
"403469","Nivea Shower Cream Indulging Moisture Coconut250ml","Nivea","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"403471","Nivea Mens Silver Protect Shower Gel 250ml","Nivea","Male Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"440664","Nivea Shower Cream Indulgent Moisture Star Fruit250ml","Nivea","Shower Gels and Creams",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"440665","Nivea Shower Cream Indulging Moisture Rose 250ml","Nivea","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"440666","Nivea Shower Gel Fresh Moisture Sea Minerals 250ml","Nivea","Shower Gel and Body Wash",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,0.9125
"451682","Nivea Shower Creme and Oil PearlsScent of Lotus 250ml","Nivea","Shower Gel and Body Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
"451683","Nivea Shower Creme and Oil Pearls Scent ofYlang Ylang 250ml","Nivea","Shower Gel and Body Wash",NA,NA,"250ml",NA,NA,NA,NA,NA,NA,NA,0.9125
