"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","DQ Score"
"133793","Carplan Unleaded Petrol Can Green 5L","Car Plan","Fuel Cans and Funnel",NA,NA,NA,"5L",0.775
"309939","CarPlan Fuel Can Diesel Black 5L","Car Plan","Fuel Cans and Funnel",NA,NA,NA,"5L",0.775
"450152","Car Plan Car Air Freshener Milkshake Assorted","Car Plan","Car Air Freshener",NA,NA,"1pk","5.7 x 0.1 x 10.5cm",0.883333333333333
"450504","Carplan Super Gloss 600ml","Car Plan","Car Gloss",NA,NA,"1pk","600ml",0.88
"336914","Ei Home Fire Extinguisher BC Powder Red 600g","Ei Electronics","Safety Equipment","Red",NA,"1","600g",0.891666666666667
"405434","Febreze Car Freshener Open Sky 7ml","Febreze","Air Fresheners",NA,NA,"1",NA,0.86
"436079","Febreze  Clip On Car Freshener Anti Tobacco","Febreze","Car Air Freshener",NA,NA,"1",NA,0.9125
"343677","The Complete Theory Test 2013 Edition","Focus","Theory Test and L Plates",NA,NA,"1",NA,0.775
"309976","Jelly Belly Air Freshener Tutti-Fruitti","Jelly Belly","Air Fresheners",NA,NA,"1",NA,0.86
"310680","Jelly Belly Air Freshener Very Cherry","Jelly Belly","Air Fresheners",NA,NA,"1",NA,0.86
"323215","Jelly Belly Car Air Freshener Blueberry","Jelly Belly","Air Fresheners",NA,NA,"1",NA,0.86
"345676","Jelly Belly Car Air Freshener Tangerine","Jelly Belly","Air Fresheners",NA,NA,"1",NA,0.86
"343356","Little Tree Black Ice Car Freshener","Little Tree","Air Fresheners",NA,NA,"1",NA,0.86
"343358","Little Tree Bubble Berry Car Freshener","Little Tree","Air Fresheners",NA,NA,"1",NA,0.86
"411104","Little Trees Car Freshener Arctic White","Little Tree","Air Fresheners",NA,NA,"1",NA,0.9125
"412356","Little Trees Car Freshener New Car","Little Tree","Air Fresheners","Blue",NA,"1",NA,0.93
"450016","Little Trees Car Air Freshener Vent Clip Vanilla","Little Tree","Car Air Freshener",NA,NA,"1pk",NA,0.9125
"450017","Little Trees Car Air Freshener Vent Clip Clean Laundry","Little Tree","Car Air Freshener",NA,NA,"1pk",NA,0.9125
"134514","Magic Tree Air Car Freshener Assorted Fragrance","Magic Tree","Air Fresheners",NA,NA,"1",NA,0.86
"ml00178","Moore Large Spokey Joe Trailer Blue","Moore Large","Trailer and Tow Bar","Blue",NA,"1",NA,0.883333333333333
"285890","Ring Multi Socket with USB 12V RMS7","Ring","Multi Socket",NA,NA,NA,"12v, 4.5cmx12cm",0.825
"345171","Rockland Universal Mobile Phone and Device Holder","Rockland","In Car Audio Cables and Chargers",NA,NA,"1",NA,0.825
"345172","Rockland MP3 Sat Nav Holder","Rockland","In Car Audio Cables and Chargers",NA,NA,"1",NA,0.825
"345177","Rockland Universal Car Aerial","Rockland","In Car Audio Cables and Chargers",NA,NA,"1",NA,0.825
"134917","Simoniz Alloy Wheel Cleaner 500ml","Simoniz","Tyre and Wheel Cleaner",NA,NA,NA,"500ml",0.86
