"Article","Web Description","Brand","DQ Score"
"452337","Pebbles Canvas 3pk","Arthouse",0.6
"452338","Pug Canvas Wall Art Black and White 40 x 40cm","Arthouse",0.88
"452339","Dream Big Hearts Canvas 3pk","Arthouse",0.6
"452341","Life's Better Canvas Wall Art Black and White40 x 40cm","Arthouse",0.88
"452342","Purple Hearts Canvas Wall Art 3pk 20 x 60cm","Arthouse",0.88
"452343","Enjoy Canvas","Arthouse",0.6
"452346","Glass Bottles Canvas","Arthouse",0.6
"452347","Watering Can Canvas Wall Art 30 x 30cm","Arthouse",0.88
"452351","Red Tulip Basket Canvas Wall Art 48 x 48cm","Arthouse",0.88
"452354","Butterfly Canvas","Arthouse",0.6
"452355","Pink Floral Canvas Wall Art 30 x 30cm","Arthouse",0.88
"452415","Buddha Canvas","Arthouse",0.6
