"Article","Web Description","Brand","DQ Score"
"283019","Bailey's Twistwraps 135g","Baileys",0.6
"441969","Bailey's Truffle Bar 80g","Baileys",0.6
"338024","Flying Saucers Large Jar 140g","Bonds",0.6
"282239","Famous Names Signature Collection Liqueurs 185g","Elizabeth Shaw",0.6
"442128","Kinder Joy Christmas Surprise Egg 20g","Ferrero Rocher",0.6
"442129","Kinder Figures 90g","Ferrero Rocher",0.6
"442130","Kinder Mini Mix House 79g","Ferrero Rocher",0.6
"442131","Kinder Happy 102g","Ferrero Rocher",0.6
"444855","Kinder Chocolate Minis Hanging Star","Ferrero Rocher",0.6
"445377","Grand Rocher 125g","Ferrero Rocher",0.6
"404717","Temptations Sharing Bag 522g","Guylian",0.6
"404465","Maoam Stripes Tube 100g","Haribo",0.6
"421452","Peppa Pig Character Chocolate Shapes 37g","Kinnerton",0.6
"406117","Lindor Cornet White 200g","Lindt",0.6
"423816","Merryteaser Mini Reindeer Bag 59g","Maltesers",0.6
"441723","Celebrations Pouch 450g","Mars",0.6
"441763","Bassetts Wine Gums Merry Mix 165g","Maynards",0.6
"441956","Anthon Berg 16 Piece Liqueurs","Millions",0.6
"146347","Rowntrees Jelly Tots Tube 130g","Nestle",0.6
"258110","Milkybar Advent Calendar 85g","Nestle",0.6
"309895","Quality Street Matchmakers Zingy Orange 130g","Nestle",0.6
"338723","Quality Street Purely Purple Ones 350g","Nestle",0.6
"338782","Smarties Little Chocolate Penguin 21g","Nestle",0.6
"338783","Milkybar Polar Bear 25g","Nestle",0.6
"404799","Quality Street Giant Strawberry","Nestle",0.6
"424320","Smarties Festive Block 120g","Nestle",0.6
"424324","After Eight Straws 110g","Nestle",0.6
"441891","Kit Kat Bus Tin","Nestle",0.6
"441892","After Eight Tin 400g","Nestle",0.6
"441894","Smarties Penguin 120g","Nestle",0.6
"441895","Milkybar Polar Bear 120g","Nestle",0.6
"337861","Swizzles Matlow Parma Violet Tube 108g","Swizzels",0.6
"423734","Love Hearts Piggy Bank Large","Swizzels",0.6
"423736","Mini Love Heart Piggy Bank","Swizzels",0.6
"441953","Anthon Berg 4 Piece Chocolate Liqueurs 62g","Swizzels",0.6
"441955","Anthon Berg 4 Piece Cocktail Liqueurs","Swizzels",0.6
"441987","Drumstick Squashies Carton 350g","Swizzels",0.6
"441837","Barratt Sweet Champions Sharing Carton 750g","Tangerine",0.6
"441838","Sweet Champions Selection Box 170g","Tangerine",0.6
"441840","York Fruits Tray 200g","Tangerine",0.6
"435362","Terry Chocolate Orange Milk Ball 157g","Terrys",0.6
"423732","Gumball Machine Refills","What Next Candy",0.6
"119417","White Chocolate Coins 60g","Wilko",0.6
"135068","Milk Chocolate Snowmen Net 60g","Wilko",0.6
"423719","Fizzy Gummy Trees Gift Bag 165g","Wilko",0.6
"423720","Liquorice Allsorts Gift Bag 165g","Wilko",0.6
"423800","Jelly Beans Baby Jars 400g","Wilko",0.6
"423802","Strawberry Bon Bons Baby Jars 300g","Wilko",0.6
"441739","Gift Bag Mallow Snowman 80g","Wilko",0.6
"441742","Mallows Large Jar 350g","Wilko",0.6
"441743","Hessian Bag Chocolate Buttons 130g","Wilko",0.6
"324180","Kingsway Liqueur Chocolates with Cream Liqueur 120g","World of Sweets",0.6
"324181","Kingsway Liqueur Chocolates with Cherry and Brandy120g","World of Sweets",0.6
