"Article","Web Description","Brand","DQ Score"
"413883","Groov-e Bumper Case for Phone 6","Groove",0.6
"413885","Groov-e Bumper Case for Phone 6 Plus","Groove",0.6
"348828","Intergral Noir USB 3.0 Flash Drive Black 16GB","Integral",0.6
"349261","Tablet Case Universal Neoprene 7in","Rashmian",0.6
"349274","USB Light","Texet",0.6
"420888","USB Car Charger 2A","Texet",0.775
"428231","Urban Revolt Waterproof Wireless Speaker","Trust",0.841666666666667
"428804","Phone Case iPhone 6 Hard Shell Crystal","Wilko",0.6
"428805","Phone Case iPhone 6 Rugged Case Assorted","Wilko",0.6
"428807","Phone Case iPhone 6 Hard-Shell Crystal","Wilko",0.6
"428810","Bumper Case For iPhone 5","Wilko",0.6
"428811","Phone Case iPhone 5 Rugged Case","Wilko",0.6
"428812","Phone Case Flip Black S5","Wilko",0.6
"428813","Phone Case Flip Black Samsung Edge","Wilko",0.6
"428814","Bumper Case For Samsung S6","Wilko",0.6
"428815","9H Tempered Glass Case 7 Inch Tablet","Wilko",0.6
"428816","9H Tempered Glass Case 10 Inch Tablet","Wilko",0.6
"428817","Rugged Tablet Case 7in","Wilko",0.6
"428818","Rugged Tablet Case 10 Inch","Wilko",0.6
"428819","PU Leather Folio Tablet Case Black 7in","Wilko",0.6
"428846","Micro Docking Station","Wilko",0.833333333333333
"331180","Wilko Get Growing Compost Multi-Purpose 50L","Wilko Functional",0.6
