"Article","Web Description","Brand","Type","Size","Capacity","Colour","Assembly","Power","Model Number","Pack Qty","Material","DQ Score"
"306459","Canon Pixma Cartridge Black Fine PG-510","Canon","Black Ink Cartridges",NA,NA,"Black",NA,NA,"510",NA,NA,0.883333333333333
"306460","Canon Pixma Cartridge Colour Fine CL-511","Canon","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"511",NA,NA,0.883333333333333
"323530","Canon Ink Cartridge Colour CL-541 8ml","Canon","Colour Ink Cartridges","8ml",NA,"Multi",NA,NA,"CL-541B",NA,NA,0.941666666666667
"323531","Canon Ink Cartridge Black PG-540 8ml","Canon","Black Ink Cartridges","8ml",NA,"Black",NA,NA,"PG-540B",NA,NA,0.941666666666667
"347553","Canon Ink Cartridge Black PG-545","Canon","Black Ink Cartridges",NA,NA,"Black",NA,NA,"PG-545",NA,NA,0.883333333333333
"347554","Canon Ink Cartridge Colour CL-546","Canon","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"CL-546",NA,NA,0.883333333333333
"413852","Canon PG510/CL511 Combo","Canon","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"2970B010",NA,NA,0.883333333333333
"413853","Canon PG540/CL541 Combo","Canon","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"5225B006",NA,NA,0.883333333333333
"413855","Canon PG545/CL546 Combo","Canon","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"8287B005",NA,NA,0.883333333333333
"427807","Canon 100 Sheets Photo Paper 10 x 15cm","Canon","Photo Paper","100 sheets of glossy paper",NA,NA,NA,NA,NA,"100",NA,0.93
"427808","Canon 50 Sheets Matte Photo Paper A4","Canon","Photo Paper","A4",NA,NA,NA,NA,NA,"50",NA,0.93
"439498","Canon CL 541XL BL EUR SEC","Canon","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"CL541XLBLEURSEC",NA,NA,0.883333333333333
"439499","Canon PG 540 XL BL EUR SEC","Canon","Black Ink Cartridges",NA,NA,"Black",NA,NA,"PG540XLBLEURSEC",NA,NA,0.883333333333333
"439500","Canon PG 545XL BL SEC","Canon","Black Ink Cartridges",NA,NA,"Black",NA,NA,"PG545XLBLSEC",NA,NA,0.883333333333333
"262982","Epson Ink Cartridge Black T0711","Epson","Black Ink Cartridges",NA,NA,"Black",NA,NA,"T0711",NA,NA,0.883333333333333
"263105","Epson Ink Cartridge Multi T0715 x 4","Epson","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"TO715",NA,NA,0.883333333333333
"306450","Epson Ink Cartridge T0714 Yellow","Epson","Colour Ink Cartridges",NA,NA,"Yellow",NA,NA,"T071",NA,NA,0.833333333333333
"306451","Epson Ink Cartridge Cyan T0712","Epson","Colour Ink Cartridges",NA,NA,"Green",NA,NA,"T071",NA,NA,0.883333333333333
"306452","Epson Ink Cartridge Magenta T0713","Epson","Colour Ink Cartridges",NA,NA,"Red",NA,NA,"T071",NA,NA,0.883333333333333
"317939","Epson Ink Cartridges T1285 Multipack","Epson","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"T1285",NA,NA,0.883333333333333
"317949","Epson Ink Cartridge T1281 Black","Epson","Black Ink Cartridges",NA,NA,"Black",NA,NA,"T1281",NA,NA,0.883333333333333
"332291","Epson Ink Cartridge T1801 Black 18","Epson","Black Ink Cartridges","5.2ml",NA,"Black",NA,NA,"T1801",NA,NA,0.941666666666667
"332292","Epson Ink Cartridge T1802 Cyan 18","Epson","Colour Ink Cartridges","3.3ml",NA,"Blue",NA,NA,"T1802",NA,NA,0.941666666666667
"332293","Epson Ink Cartridge T1803 Magenta 18","Epson","Colour Ink Cartridges","3.3ml",NA,"Pink",NA,NA,"T1803",NA,NA,0.941666666666667
"332294","Epson Ink Cartridge T1804 Yellow","Epson","Colour Ink Cartridges","3.3ml",NA,NA,NA,NA,"T1804",NA,NA,0.883333333333333
"332295","Epson Ink Cartridge T1806 Multipack 18","Epson","Colour Ink Cartridges","1x5.2ml, 3x3.3ml",NA,"Multi",NA,NA,"T1806",NA,NA,0.941666666666667
"422730","Epson T1801 18XL Black Ink Cartridge","Epson","Black Ink Cartridges",NA,NA,"Black",NA,NA,"C13T18114010",NA,NA,0.883333333333333
"439502","Epson 2981 Black Ink Cartridge","Epson","Black Ink Cartridges",NA,NA,"Black",NA,NA,"C13T29814010",NA,NA,0.883333333333333
"439503","Epson 2981 Cyan","Epson","Colour Ink Cartridges",NA,NA,"Blue",NA,NA,"C13T29824010",NA,NA,0.883333333333333
"439504","Epson 2981 Magenta","Epson","Colour Ink Cartridges",NA,NA,"Red",NA,NA,"C13T29834010",NA,NA,0.883333333333333
"439506","Epson 2986 Multi Ink Cartridge","Epson","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"C13T29864010",NA,NA,0.883333333333333
"255933","HP Inkjet Print Cartridge Black 21","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,"HP21",NA,NA,0.883333333333333
"263107","HP Ink Cartridge Black HP350 4.5ml","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,"HP350",NA,NA,0.883333333333333
"278854","HP Ink Cartridge Combo HP 21/22 Black/Colour","HP","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"HP21/22",NA,NA,0.883333333333333
"281032","HP Ink Cartridge 300 Black","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,"HP300",NA,NA,0.883333333333333
"285748","HP Ink cartridge 2 Pack  350+351 Black/Tri-Colour","HP","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"HP350/351",NA,NA,0.883333333333333
"304161","HP Ink Cartridge Colour HP301","HP","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"HP301",NA,NA,0.883333333333333
"304164","HP Ink Cartridge Black 301","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,"HP301",NA,NA,0.883333333333333
"306453","HP Ink Cartridge Black 364","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,"HP364",NA,NA,0.883333333333333
"306454","HP Inkjet Print Cartridge Tri Colour + Black 300 Set","HP","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"HP300",NA,NA,0.883333333333333
"334058","HP Inkjet Print Cartridge Black 301 XL","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,NA,NA,NA,0.825
"334059","HP Inkjet Print Cartridge Tri-Colour 301 XL","HP","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,NA,NA,NA,0.825
"334626","HP Inkjet Print Cartridge Magenta 364","HP","Colour Ink Cartridges",NA,NA,"Pink",NA,NA,NA,NA,NA,0.825
"334765","HP Inkjet Print Cartridge Yellow 364","HP","Colour Ink Cartridges",NA,NA,"Yellow",NA,NA,NA,NA,NA,0.825
"413851","HP364XL Black Ink Cartridge","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,"CN684EE-301",NA,NA,0.883333333333333
"428234","HP No302 Tri Colour RT Ink Cartridge","HP","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"F6U65AE301",NA,NA,0.883333333333333
"428235","HP No302 Black RT Ink Cartridge","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,"F6U66AE301",NA,NA,0.883333333333333
"428237","HP No302XL Black RT Ink Cartridge","HP","Black Ink Cartridges",NA,NA,"Black",NA,NA,"F6U68AE301",NA,NA,0.883333333333333
"439512","HP 301 Combo","HP","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"N9J72AE301",NA,NA,0.883333333333333
"439513","HP 364 Combo","HP","Colour Ink Cartridges",NA,NA,NA,NA,NA,"N9J73E301",NA,NA,0.825
"439514","HP 62 2 Pack","HP","Colour Ink Cartridges",NA,NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"306542","Kodak Ink Cartridge Colour 30CL","Kodak","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"30C",NA,NA,0.883333333333333
"306543","Kodak Ink Cartridge Black 10B","Kodak","Black Ink Cartridges",NA,NA,"Black",NA,NA,"10B",NA,NA,0.883333333333333
"306544","Kodak Ink Cartridge Black 30","Kodak","Black Ink Cartridges",NA,NA,"Black",NA,NA,"30B",NA,NA,0.883333333333333
"317924","Kodak Ink Cartridge Combo Pack 10C Colour + 10B Black","Kodak","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"10B/10C",NA,NA,0.883333333333333
"317938","Kodak Ink Cartridge Combo Pack 30CL Colour + 30 Black","Kodak","Colour Ink Cartridges",NA,NA,"Multi",NA,NA,"30B/30C",NA,NA,0.883333333333333
"431358","Kodak Portable Charger 2600mAh","Kodak","Powerbank",NA,NA,NA,NA,NA,NA,"1",NA,0.86
"420888","USB Car Charger 2A","Texet","In Car Audio Cables and Chargers",NA,NA,NA,NA,NA,NA,"1",NA,0.775
"428220","Trust Portable Speaker Set","Trust","Speakers","6, 6x6, 6x10, 8cm",NA,NA,NA,"USB Use","19912",NA,NA,0.941666666666667
"428228","Trust TV Connection Kit Card Reader","Trust","Card Reader","9x6, 8x1, 1cm",NA,NA,NA,"USB Use","19527",NA,NA,0.941666666666667
"428231","Urban Revolt Waterproof Wireless Speaker","Trust","Speakers","4x8, 5x9 cm",NA,NA,NA,"Bluetooth, USB","20097",NA,NA,0.841666666666667
"261730","Wilko A4 Matt Coated Picture Paper 120gsm","Wilko","Photo Paper","A4",NA,NA,NA,NA,NA,NA,NA,0.825
"261757","Wilko Photo Paper 170GSM A4 Glossy","Wilko","Photo Paper","A4",NA,NA,NA,NA,NA,NA,NA,0.825
"261758","Wilko A4 Premium Photo Paper Glossy Sheets 250gsmx 20","Wilko","Photo Paper","A4",NA,NA,NA,NA,NA,NA,NA,0.825
