"Article","Web Description","Brand","DQ Score"
"446034","Faux Wood Venetian Blind Oak60cm wide x 160cm drop","Global",0.85
"446035","Faux Wood Venetian Blind Oak90cm wide x 160cm drop","Global",0.8
"446044","Faux Wood Venetian Blind White60cm wide x 160cm drop","Global",0.8
"446045","Faux Wood Venetian Blind White90cm wide x 160cm drop","Global",0.8
"446046","Faux Wood Venetian Blind White120cm wide x 160cm drop","Global",0.8
"446047","Faux Wood Venetian Blind White150cm wide x 160cm drop","Global",0.8
"446048","Faux Wood Venetian Blind White180cm wide x 160cm drop","Global",0.8
"446123","Square Eyelet Roller Blind Aubergine60 wide x 165cm drop","Global",0.8
"446124","Square Eyelet Roller Blind Aubergine90 wide x 165cm drop","Global",0.8
"446125","Square Eyelet Roller Blind Aubergine120 wide x 165cm drop","Global",0.8
"446126","Square Eyelet Roller Blind Aubergine150 wide x 165cm drop","Global",0.8
"446127","Square Eyelet Roller Blind Aubergine180 wide x 165cm drop","Global",0.8
"446128","Square Eyelet Roller Blind Aubergine210 wide x 165cm drop","Global",0.8
"446129","Square Eyelet Roller Blind Black60 wide x 165cm drop","Global",0.8
"446131","Square Eyelet Roller Blind Black120 wide x 165cm drop","Global",0.8
"446132","Square Eyelet Roller Blind Black150 wide x 165cm drop","Global",0.8
"446133","Square Eyelet Roller Blind Black180 wide x 165cm drop","Global",0.8
"446134","Square Eyelet Blind Black 210 wide x 165cm drop","Global",0.8
"446136","Square Eyelet Blind Blue 90 wide x 165cm drop","Global",0.8
"446137","Square Eyelet Blind Blue 120 wide x 165cm drop","Global",0.8
"446138","Square Eyelet Blind Blue 150 wide x 165cm drop","Global",0.8
"446139","Square Eyelet Blind Blue 180 wide x 165cm drop","Global",0.75
"446140","Square Eyelet Blind Blue 210 wide x 165cm drop","Global",0.8
"446141","Square Eyelet Blind Coffere 60 wide x 165cm drop","Global",0.8
"446142","Square Eyelet Blind Coffee 90 wide x 165cm drop","Global",0.8
"446143","Square Eyelet Blind Coffee 120 wide x 165cm drop","Global",0.8
"446144","Square Eyelet Blind Coffee 150 wide x 165cm drop","Global",0.8
"446145","Square Eyelet Blind Coffee 180 wide x 165cm drop","Global",0.8
"446146","Square Eyelet Blind Coffee 210 wide x 165cm drop","Global",0.8
"446147","Square Eyelet Blind Cream 60 wide x 165cm drop","Global",0.8
"446148","Square Eyelet Blind Cream 90 wide x 165cm drop","Global",0.8
"446150","Square Eyelet Blind Cream 150 wide  x 165cm drop","Global",0.8
"446151","Square Eyelet Blind Cream 180 wide x 165cm drop","Global",0.8
"446152","Square Eyelet Blind Cream 210 wide x 165cm drop","Global",0.8
"446153","Square Eyelet Blind Duck Egg 60 wide x 165cm drop","Global",0.8
"446156","Square Eyelet Blind Duck Egg 150 x 165cm","Global",0.8
"446157","Square Eyelet Blind Duck Egg 180 wide x 165cm drop","Global",0.8
"446158","Square Eyelet Blind Duck Egg 210 wide x 165cm drop","Global",0.8
"446163","Square Eyelet Blind Grey 180 wide x 165cm drop","Global",0.8
"446165","Square Eyelet Blind Olive 60 wide x 165cm drop","Global",0.8
"446166","Square Eyelet Blind Olive 90 wide x 165cm drop","Global",0.8
"446167","Square Eyelet Blind Olive 120 wide x 165cm drop","Global",0.8
"446168","Square Eyelet Blind Olive 150 wide x 165cm drop","Global",0.8
"446169","Square Eyelet Blind Olive 180 wide x 165cm drop","Global",0.8
"446170","Square Eyelet Blind Olive 210 wide x 165cm drop","Global",0.8
"446171","Square Eyelet Blind Red 60 wide x 165cm drop","Global",0.8
"446173","Square Eyelet Blind Red 120 wide x 165cm drop","Global",0.8
"446174","Square Eyelet Blind Red 150 wide x 165cm drop","Global",0.8
"446175","Square Eyelet Blind Red 180 wide x 165cm drop","Global",0.8
"446176","Square Eyelet Blind Red 210 wide x 165cm drop","Global",0.8
"446177","Square Eyelet Blind Royal Blue60 wide x 165cm drop","Global",0.8
"446178","Square Eyelet Blind Royal Blue90 wide x 165cm drop","Global",0.8
"446179","Square Eyelet Blind Royal Blue120 wide x 165cm drop","Global",0.8
"446180","Square Eyelet Blind Royal Blue150 wide x 165cm drop","Global",0.8
"446181","Square Eyelet Blind Royal Blue180 wide x 165cm drop","Global",0.8
"446182","Square Eyelet Blind Royal Blue210 wide x 165cm drop","Global",0.8
"446183","Square Eyelet Blind Taupe 60 wide x 165cm drop","Global",0.8
"446184","Square Eyelet Blind Taupe 90 wide x 165cm drop","Global",0.8
"446185","Square Eyelet Blind Taupe 120 wide x 165cm drop","Global",0.8
"446186","Square Eyelet Blind Taupe 150 wide x 165cm drop","Global",0.8
"446187","Square Eyelet Blind Taupe 180 wide x 165cm drop","Global",0.8
"446188","Square Eyelet Blind Taupe 210 wide x 165cm drop","Global",0.8
"446189","Square Eyelet Blind White 60 wide x 165cm drop","Global",0.8
"446190","Square Eyelet Blind White 90 wide x 165cm drop","Global",0.8
"446191","Square Eyelet Blind White 120 wide x 165cm drop","Global",0.8
"446192","Square Eyelet Blind White 150 wide x 165cm drop","Global",0.8
"446193","Square Eyelet Blind White 180 wide x 165cm drop","Global",0.8
"446194","Square Eyelet Blind White 210 wide x 165cm drop","Global",0.8
"306139","Sun Lover Cord and Ball Chain Retainer","Sunflex",0.8
"sf00007","Wilko Hardwood Venetian Blind Chalk 90cm 27mm","Sunlover",0.9
"sf00009","Wilko Hardwood Venetian Blind Chalk 120cm 27mm","Sunlover",0.9
"sf00010","Wilko Hardwood Venetian Blind Chalk 150cm 27mm","Sunlover",0.9
"sf00168","Wilko Hardwood Venetian Blind Natural 60cm x 27mm","Sunlover",0.9
"sf00170","Wilko Hardwood Venetian Blind Natural 90cm x 27mm","Sunlover",0.9
"sf00172","Wilko Hardwood Venetian Blind Natural 120cm x 27mm","Sunlover",0.9
"sf00175","Wilko Hardwood Venetian Blind Natural 60cm 27mm","Sunlover",0.9
"sf00182","Wilko Hardwood Venetian Blind Oak 60cm x 27mm","Sunlover",0.9
"sf00184","Wilko Hardwood Venetian Blind Oak 90cm x 27mm","Sunlover",0.9
"sf00186","Wilko Hardwood Venetian Blind Oak 120cm x 27mm","Sunlover",0.9
