"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"232215","Wilko Bay Window Curtain Pole Black Metal400cm long by 19mm diameter","Wilko","Bay Window Pole","Black","1","400x7cm","Steel and acrylic",1
"232232","Wilko Firenze Bay Window Curtain Pole SilverEffect 400cm long x 19mm diameter","Wilko","Bay Window Pole","Silver","1","400x7cm","Steel and plastic",1
"287700","Wilko Curtain Track White Plastic 200 x 2.6cm","Wilko","Track","White","1","200x2.6cm","Plastic",1
"326595","Wilko Voile Pair Holdbacks Cream 2pk","Wilko","Holdbacks","Cream","2","Pack","Steel",1
"326601","Wilko Arezzo Curtain Rings Antique Brass 10 - 13mm","Wilko","Curtain Rings","Metal","1","10-13mm","Steel",1
"326604","Wilko Firenze Pair Holdbacks Cream 2pk","Wilko","Holdbacks","Cream","2pk","Pack","Steel",1
"326606","Wilko Firenze Bay Window Curtain Pole Cream 400x 7cm","Wilko","Bay Window Pole","Cream","1","400x7cm","Steel and plastic",1
"326611","Wilko Clear Curtain Pole Extendable Chrome125 - 215cm","Wilko","Extendable Pole","Metal","1","125-215cm","Steel and plastic",1
"326612","Wilko Clear Curtain Pole Extendable Chrome170 - 300cm","Wilko","Extendable Pole","Metal","4","170-300cm","Steel and plastic",1
"326759","Wilko Regato Curtain Pole Extendable Satin Finish120 - 210cm","Wilko","Extendable Pole","Silver","1","120-210cm","Steel",1
"326760","Wilko Regato Curtain Pole Extendable Satin Finish170 - 300cm","Wilko","Extendable Pole","Silver","1","170-300cm","Steel",1
