"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Assembly","Material","DQ Score"
"p200042","Brompton Dining Set 3 Piece Walnut","Brompton","Dining Sets 2 Seat ","Wood",NA,"T 74x75x75cm, C 96x41.5x57cm","Yes","Chair - Faux Leather",1
"317902","Wilko Wooden Chopping Board Heart Shaped","Wilko","Chopping Board","Wood","1","Single",NA,NA,1
"318837","Wilko Mug Ceramic White","Wilko","Mugs","White","1","12oz",NA,NA,1
"318839","Wilko Dinner Plate Ceramic Square White 260mm","Wilko","Dinner Plate","White","1","26cm",NA,NA,1
"318840","Wilko Side Plate Ceramic Square White 180mm","Wilko","Side Plate","White","1","180mm",NA,NA,1
"318841","Wilko Bowl Square White 5.5in","Wilko","Bowls","White","1","140mm",NA,NA,1
"318848","Wilko Capuccino Cup and Saucer Ceramic White","Wilko","Cup and Saucer","White","1","Set",NA,NA,1
"318851","Wilko Coupe Dinner Plate White 27cm","Wilko","Dinner Plate","White","1","Large",NA,NA,1
"318853","Wilko Coupe Side Plate White 19cm","Wilko","Side Plate","White","1","Small",NA,NA,1
"318855","Wilko Sugar Bowl Ceramic White Small","Wilko","Sugar Bowl","White","1","Small",NA,NA,1
"318866","Wilko Serving Plate Rectangle Large","Wilko","Serving Trays and Dishes","White","1","Large",NA,NA,1
"318867","Wilko Serving Plate Ceramic Rectangle Medium","Wilko","Serving Trays and Dishes","White","1","Medium",NA,NA,1
"318868","Wilko Serving Plate Ceramic Rectangle Small","Wilko","Serving Trays and Dishes","White","1","Small",NA,NA,1
"319332","Wilko Cake Stand 2 Tier Porcelain White","Wilko","Cake Stand","White","1","2 Tier",NA,NA,1
"319344","Wilko Bowl Ceramic Square White 10cm","Wilko","Bowls","White","1","10cm",NA,NA,1
"319346","Wilko Serving Bowl Ceramic White 23cm","Wilko","Bowls","White","1","23cm",NA,NA,1
"319375","Wilko Bowl Heart Shaped Ceramic White Small","Wilko","Bowls","White","1","Small",NA,NA,1
"319376","Wilko Bowl Ceramic Heart Shaped Ceramic WhiteMedium","Wilko","Bowls","White","1","Medium",NA,NA,1
"319378","Wilko Salt and Pepper Set Ceramic White","Wilko","Salt and Pepper Sets","White","1","Set",NA,NA,1
"319546","Wilko Dinner Set Porcelain Super White 12 pcs","Wilko","Dinner Sets","White","1","12 Piece",NA,NA,1
"319636","Wilko Seat Pad Purple","Wilko","Seat Pads","Purple","1","L43CM W43CM H5CM",NA,NA,1
"328527","Wilko Coaster Slate 4pk","Wilko","Coasters","Grey","1","4 Pack",NA,NA,1
"328597","Wilko Side Plate Colourplay Range Red and White","Wilko","Side Plate","Red","1","22cm",NA,NA,1
"328598","Wilko Bowl Colourplay Range Red and White","Wilko","Bowls","Red","1","14cm",NA,NA,1
"328599","Wilko Mug Colourplay Range Red and White","Wilko","Mugs","Red","1","10.2cm x 8.7cm",NA,NA,1
"328600","Wilko Colourplay Cutlery Set Red 16 Piece","Wilko","Cutlery Sets","Red","16pcs","16 Piece Set",NA,NA,1
"328606","Wilko Side Plate Colourplay Range Purple and White22cm","Wilko","Side Plate","Purple","1","22cm",NA,NA,1
"328607","Wilko Colourplay Cutlery Set Black 16 pcs","Wilko","Cutlery Sets","Black","16pcs","16 Piece Set",NA,NA,1
"328609","Wilko Bowl Colourplay Range Purple and White","Wilko","Bowls","Purple","1","14cm",NA,NA,1
"328610","Wilko Mug Colourplay Range Purple and White","Wilko","Mugs","Purple","1","10.2cm x 8.7cm",NA,NA,1
"328611","Wilko Colourplay Cutlery Set Purple 16 Piece","Wilko","Cutlery Sets","Purple","16pcs","16 Piece Set",NA,NA,1
"328619","Wilko Dinner Set Colourplay Range Red 12 pcs","Wilko","Dinner Sets","Red","1","12 Piece",NA,NA,1
"328620","Wilko Dinner Set Purple Colourplay Range 12 Piece","Wilko","Dinner Sets","Purple","1","12 Piece",NA,NA,1
"328662","Wilko Dinner Plate Colourplay Range Red and White","Wilko","Dinner Plate","Red","1","27cm",NA,NA,1
"328663","Wilko Dinner Plate Colourplay Range Purple andWhite","Wilko","Dinner Plate","Purple","1","27cm",NA,NA,1
"329011","Wilko Placemats Heart Shaped Slate 2 Pack","Wilko","Placemats","Grey","1","2 Pack",NA,NA,1
"329014","Wilko Slate Heart Coasters 4 pack","Wilko","Coasters","Grey","1","4 Pack",NA,NA,1
"345692","Wilko Dinner Plate Heart Shaped White","Wilko","Dinner Plate","White","1","27cm",NA,NA,1
"346118","Wilko Side Plate Heart Saped White","Wilko","Side Plate","White","1","18cm",NA,NA,1
"407929","Wilko Utility Dinner Plate Grey 28.2cm","Wilko","Dinner Plate","Grey","1","3cm x28.2cm",NA,NA,1
"407930","Wilko Utility Grey Side Plate 19cm","Wilko","Side Plate","Grey","1","2.7cm x 19cm",NA,NA,1
"407931","Wilko Utility Bowl Grey 16cm","Wilko","Bowls","Grey","1","7.5cm x16cm",NA,NA,1
"407932","Wilko Utility Mug Grey","Wilko","Mugs","Grey","1","11cm x 9cm",NA,NA,1
"407934","Wilko Utility Tea Cup Large Grey","Wilko","Cup and Saucer","Grey","1","7.5cm x 16.5cm",NA,NA,1
"407949","Wilko Utility Dinner Set Grey 12 Piece","Wilko","Dinner Sets","Grey","12","12 piece",NA,NA,1
"407968","Wilko Dinner Plate With Love Kitchen Range","Wilko","Dinner Plate",NA,NA,NA,NA,NA,1
"407969","Wilko Side Plate With Love Kitchen Range","Wilko","Side Plate",NA,NA,NA,NA,NA,1
"407970","Wilko Bowl With Love Kitchen Range","Wilko","Bowls",NA,NA,NA,NA,NA,1
"407971","Wilko Cup and Saucer With Love Kitchen Range","Wilko","Cup and Saucer",NA,NA,NA,NA,NA,1
"407972","Wilko Mug With Love Kitchen Range","Wilko","Mugs",NA,NA,NA,NA,NA,1
"407973","Wilko Tray With Love Kitchen Range Large","Wilko","Trays",NA,NA,NA,NA,NA,1
"407974","Wilko Glass Worktop Saver With Love Kitchen Range","Wilko","Worktop Saver",NA,NA,NA,NA,NA,1
"408216","Wilko Utility Seat Pad Grey","Wilko","Seat Pads","Grey","1","43cm x 43cm",NA,NA,1
"408250","Wilko Dinner Set With Love Kitchen Range 12 Piece","Wilko","Dinner Sets",NA,NA,NA,NA,NA,1
"427251","Wilko Dinner Plate Ceramic Oval Cream","Wilko","Dinner Plate","Cream","1","2.6cm x 27cm",NA,NA,1
"427252","Wilko Side Plate Ceramic Oval Cream","Wilko","Side Plate","Cream","1","2.6cm x 20.5cm",NA,NA,1
"427253","Wilko Bowl Ceramic Oval Cream","Wilko","Bowls","Cream","1","9.7cm x 11cm",NA,NA,1
"427254","Wilko Mug Ceramic Oval Cream","Wilko","Mugs","Cream","1","10cm x 9.5cm",NA,NA,1
"427266","Wilko Dinner Plate Ceramic Square Taupe","Wilko","Dinner Plate","Brown","1","2.5cm x 26cm",NA,NA,1
"427267","Wilko Side Plate Ceramic Square Taupe","Wilko","Side Plate","Brown","1","2.2cm x 21cm",NA,NA,1
"427268","Wilko Bowl Ceramic Square Taupe","Wilko","Bowls","Brown","1","6.7cm x 15cm",NA,NA,1
