"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Material","DQ Score"
"173172","Korbond Elastic Black 12mm x 2m","Korbond","Repair & Alterations ","Black",NA,"12mmx2m",NA,0.93
"192926","Korbond Hook and Loop Tape Black 50cm","Korbond","Repair & Alterations ","Black",NA,"2x50cm",NA,0.93
"228241","Korbond Hemming Web 20m","Korbond","Labelling & Repair ","White",NA,"20m",NA,0.93
"253366","Korbond Iron On Hemming Tape Black 4.5m","Korbond","Labelling & Repair ","Black",NA,"4.5m",NA,0.93
"288142","Korbond Hook/Loop Tape White 50cm","Korbond","Repair & Alterations ","White",NA,"2x50cm",NA,0.93
"288144","Korbond Knitting Needles 4mm x 35cm","Korbond","Knitting Needles",NA,"2pcs","0.4x35cm","Aluminium",0.941666666666667
"351961","Korbond Sewing Machine Needles 6pk","Korbond","Needles",NA,"6pk",NA,NA,0.86
"351964","Korbond  Sewing Kit Case 15pcs","Korbond","Sewing Kits",NA,NA,NA,NA,0.79
"351965","Korbond Sewing Bag","Korbond","Sewing Kits ",NA,NA,NA,NA,0.79
"351971","Korbond Large Stitch Holder","Korbond","Knitting Accessories ",NA,NA,NA,NA,0.79
"351973","Korbond Cable Needles 2pk","Korbond","Knitting Accessories ",NA,NA,NA,NA,0.79
"351977","Korbond Circular Knitting Needle 5.0mm","Korbond","Knitting Accessories ",NA,NA,"5.0mm",NA,0.825
"433278","Household Scissors 8in","Korbond","Scissors",NA,"1",NA,NA,0.81
"433283","Professional Glass Headed Pins 10g","Korbond","Pins, Buttons & Fasteners ",NA,"1","10g",NA,0.88
"433300","Instant Repair Tape 4.5m","Korbond","Labelling & Repair",NA,"1","4.5m",NA,0.88
"433305","Name Label Kit","Korbond","Labelling & Repair ",NA,"1",NA,NA,0.81
"433309","Double Sided Lint Brush","Korbond","Lint Remover",NA,"1",NA,NA,0.8625
"433314","White Transparent Thread 200m","Korbond","Thread","White","200m",NA,NA,0.88
"433315","Black Transparent Thread 200m","Korbond","Thread","Black","200m",NA,NA,0.88
"433316","White Shirring Elastic 20m","Korbond","Repair & Alterations ","White","20m",NA,NA,0.88
"433317","Black Shirring Elastic 20m","Korbond","Repair & Alterations ","Black","20m",NA,NA,0.88
"433333","Deep Red Polyester Thread 100m","Korbond","Thread","Red","1100m",NA,NA,0.88
"433347","Starter Sewing Kit 9pcs","Korbond","Sewing Kits",NA,"9",NA,NA,0.81
"433350","Sewing Basket","Korbond","Sewing Baskets",NA,"1",NA,NA,0.81
"433357","Crochet Hook Set 3pk","Korbond","Knitting Accessories ",NA,"3",NA,NA,0.775
"433358","Stitch Holder Set 3pk","Korbond","Knitting Accessories ",NA,"3",NA,NA,0.81
"433359","Large Eye Needles","Korbond","Needles",NA,"2",NA,NA,0.81
"433365","Hook and Loop Iron On 2cm x 50cm","Korbond","Repair & Alterations ",NA,"2cm x 50cm",NA,NA,0.81
"433367","Korbond Twin Pack Black and White 100m 2pk","Korbond","Thread Selection Packs ",NA,"2","2x100m",NA,0.93
"83769","Korbond Hemming Web White 10m","Korbond","Labelling & Repair ","White",NA,"10m",NA,0.93
"83780","Korbond Stitch Ripper","Korbond","Sewing Tools ","Multi","1",NA,NA,0.93
"83787","Korbond Dressmaker Pins Steel 25g","Korbond","Pins, Buttons & Fasteners ","Silver",NA,"25g",NA,0.93
"83808","Korbond Elastic white 2m","Korbond","Elastic","White",NA,"20mmx2m",NA,0.93
"83817","Korbond Thread White 160m","Korbond","Core Threads ","White",NA,"160m",NA,0.93
"83818","Korbond Thread Black 160m","Korbond","Core Threads ","Black",NA,"160m",NA,0.93
"101942","Yarnfair DK Acrylic Yarn White 100g","Yarnfair","Yarn","White",NA,"100g","Acrylic",0.941666666666667
"135117","Yarnfair Baby DK Acrylic Yarn Baby Pink 100g","Yarnfair","Yarn","Pink",NA,"100g","Acrylic",0.941666666666667
"135119","Yarnfair Baby DK Acrylic Baby Blue 100g","Yarnfair","Yarn","Blue",NA,"100g","Acrylic",0.941666666666667
"221695","Yarnfair Baby DK Acrylic Yarn White 100g","Yarnfair","Yarn","White",NA,"100g","Acrylic",0.941666666666667
"329121","Yarnfair DK  Acrylic  Yarn Ruby Red 100g","Yarnfair","Yarn","Red",NA,"100g","Acrylic",0.941666666666667
"417106","Yarnfair Stripes DK  Acrylic and Wool YarnBlue/Cream50g","Yarnfair","Yarn",NA,NA,NA,NA,0.766666666666667
"417107","Yarnfair Sparkle Chunky Acrylic and Metalic YarnSilver/White 100g","Yarnfair","Yarn",NA,NA,NA,NA,0.766666666666667
"417110","Yarnfair Flying Colours Acrylic and Wool YarnShocking Pink/Lime/Purple 100g","Yarnfair","Yarn",NA,NA,NA,NA,0.766666666666667
"417112","Yarnfair Poppet Baby DK Acrylic YarnCream/Pink/Lilac 100g","Yarnfair","Yarn",NA,NA,NA,NA,0.766666666666667
