"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Assembly","DQ Score"
"243583","Wilko Water Resistant Single Mattress Protector90 x 190cm","Wilko","Single Mattress Protector","White",NA,"Single","No",1
"243584","Wilko Water Resistant Double Mattress Protector140 x 190cm","Wilko","Double Mattress Protector","White",NA,"Double","No",1
"243585","Wilko King Size Mattress Protector  150 x 200cm","Wilko","King Size Mattress Protector","White",NA,"Kingsize","No",1
"243586","Wilko Luxury Mattress Single Protector Quilted","Wilko","Single Mattress Protector","White",NA,"Single","No",1
"243587","Wilko Luxury Mattress Double Protector Quilted","Wilko","Double Mattress Protector","White",NA,"Double","No",1
"243588","Wilko Luxury Mattress King Size Protector Quilted","Wilko","King Size Mattress Protector","White",NA,"Kingsize","No",1
"274682","Wilko Super Soft Single Duvet 13.5 Tog","Wilko","13.5 Tog Duvet","White","1","Single",NA,1
"274683","Wilko Polycotton Double Duvet 13.5 Tog","Wilko","13.5 Tog Duvet","White","1","Double",NA,1
"274684","Wilko Super Soft King Size Duvet 13.5 Tog","Wilko","13.5 Tog Duvet","White","1","Kingsize",NA,1
"314950","Wilko Pillow Protector Quilted White 50 x 75cm","Wilko","Pillow Protector","White","1","75x50cm",NA,1
"324820","Wilko Supersoft Pillow 2pk 48 x 74cm","Wilko","Supersoft Value Pillow","White","2","63x42cm",NA,1
"324821","Wilko Ultra Bounce Single Duvet 10.5 Tog","Wilko","10.5 Tog Duvet","White","1","Single",NA,1
"324822","Wilko Ultra Bounce Double Duvet 10.5 Tog","Wilko","10.5 Tog Duvet","White","1","Double",NA,1
"324823","Wilko Ultra Bounce King Size Duvet 10.5 Tog","Wilko","10.5 Tog Duvet","White","1","Kingsize",NA,1
"324824","Wilko Anti-Allergy Single Duvet 10.5Tog","Wilko","10.5 Tog Duvet","White","1","Single",NA,1
"324825","Wilko Anti-Allergy Double Duvet 10.5 Tog","Wilko","10.5 Tog Duvet","White","1","Double",NA,1
"324826","Wilko Anti-Allergy King Size Duvet 10.5Tog","Wilko","10.5 Tog Duvet","White","1","Kingsize",NA,1
"324828","Wilko Anti-Allergy Pillow 2pk 48 x 74cm","Wilko","Anti-Allergy Pillow","White","2pk","64x38cm",NA,1
"324830","Wilko Anti-Allergy Single Mattress Protector","Wilko","Single Mattress Protector","White",NA,"Single","No",1
"324831","Wilko Anti-Allergy Double Mattress Protector","Wilko","Double Mattress Protector","White",NA,"Double","No",1
"324832","Wilko Anti-Allergy King Size Mattress Protector","Wilko","King Size Mattress Protector","White",NA,"Kingsize","No",1
"324844","Wilko Front Sleeper Pillow 48 x 74cm","Wilko","Support Pillow","White","1","74x48cm",NA,1
"324845","Wilko Back Sleeper Pillow Medium  48 x 74cm","Wilko","Support Pillow","White","1","74x48cm",NA,1
"324887","Wilko Ultra Bounce Pillow 2pk 48 x 74cm","Wilko","Ultrabounce Pillow","White","2pk","63x43cm",NA,1
"329727","Wilko V Shaped Pillow","Wilko","Luxury Pillow","White","1","Single",NA,1
"243582","Wilko Functional Pillow Protectors 74cm x 48cm2pk","Wilko Functional","Pillow Protector","White","2","70x39cm",NA,1
"326426","Wilko Functional Single Duvet 13.5 Tog","Wilko Functional","13.5 Tog Duvet","White","1","Single",NA,1
"326428","Wilko Functional Double Duvet 13.5 Tog","Wilko Functional","13.5 Tog Duvet","White","1","Double",NA,1
"326429","Wilko Functional King Size Duvet 13.5 Tog","Wilko Functional","13.5 Tog Duvet","White","1","Kingsize",NA,1
"68312","Wilko Functional Pillows 2pk","Wilko Functional","Supersoft Value Pillow","White","2","70x46cm",NA,1
