"Article","Web Description","DQ Score"
"352502","Plenty Large Kitchen Roll 100 Sheets",1
"269950","Regina Blitz Kitchen Towel Single Roll 100 Sheets3 Ply",1
"282653","Regina XXL Kitchen Roll 2 Rolls 150 Sheets 3 Ply",1
"346991","Regina Blitz Original Kitchen Towel 2 Rolls140 Sheets 3 Ply",1
"307650","Wilko Hand Towel Charcoal",1
"307651","Wilko Hand Towel White",1
"307660","Wilko Bath Towel Beige",1
"307670","Wilko Bath Towel Black",1
"307679","Wilko Bath Sheet Black",1
"307680","Wilko Bath Sheet Beige",1
"307692","Wilko Face Cloth Charcoal 2pk",1
"307693","Wilko Face Cloth White 2pk",1
"307696","Wilko Face Cloth Aqua Blue 2pk",1
"307697","Wilko Face Cloth Deep Blue 2pk",1
"307710","Wilko Face Cloth Black 2pk",1
"307738","Wilko Hand Towel Black",1
"307764","Wilko Face Cloth Beige 2pk",1
"313419","Wilko Face Cloth Soft Cream 2pk",1
"315312","Wilko Bath Towel Soft Cream",1
"315544","Wilko Face Cloth Hessian 2pk",1
"321449","Wilko Bath Sheet Hessian",1
"324809","Wilko Face Cloth Navy 2pk",1
"324810","Wilko Hand Towel Navy",1
"324813","Wilko Bath Sheet Navy",1
"324814","Wilko Face Cloth Olive 2pk",1
"325600","Wilko Bath Sheet Olive",1
"325622","Wilko Face Cloth Purple 2pk",1
"325623","Wilko Hand Towel Purple",1
"325628","Wilko Bath Sheet Purple",1
"325904","Wilko Ribbed Bath Mat Deep Blue 50 x 70cm",1
"325907","Wilko Ribbed Bath Mat White 50 x 70cm",1
"325908","Wilko Ribbed Bath Mat Purple 50 x 70cm",1
"335831","Wilko Kitchen Towels White 2 Rolls",1
"335834","Wilko Super Strong Kitchen Towels 2 Rolls120 Sheets 2 Ply",1
"351813","Wilko Kitchen Towel White 6 Rolls 50 Sheets 2 Ply",1
"412428","Wilko Household Roll Blue Single Roll200 Sheets",1
"307646","Wilko Best Face Cloth White",1
"307647","Wilko Best Face Cloth Charcoal",1
"307648","Wilko Best Face Cloth Beige",1
"307649","Wilko Best Face Cloth Plum",1
"307656","Wilko Best Hand Towel Plum",1
"307657","Wilko Best Hand Towel Charcoal",1
"307672","Wilko Best Bath Towel White",1
"307673","Wilko Best Bath Towel Plum",1
"307674","Wilko Best Bath Towel Charcoal",1
"307689","Wilko Best Bath Sheet Plum",1
"307691","Wilko Best Bath Sheet Charcoal",1
"307741","Wilko Best Hand Towel Beige",1
"307756","Wilko Best Bath Mat Reversible Plum 50 x 70cm",1
"307758","Wilko Best Bath Mat Reversible Beige 50 x 70cm",1
"307759","Wilko Best Bath Mat Reversible White 50 x 70cm",1
"307763","Wilko Best Bath Mat Charcoal 50 x 70cm",1
"325642","Wilko Best Face Cloth Vanilla",1
"325643","Wilko Best Hand Towel Vanilla",1
"325644","Wilko Best Bath Towel Cream",1
"325645","Wilko Best Bath Mat Vanilla 50 x 70cm",1
"325898","Wilko Best Bath Sheet Vanilla",1
"307658","Wilko Functional Bath Towel White",1
"307755","Wilko Functional Bath Mat White 40 x 55cm",1
"351827","Wilko Functional Kitchen Towel White 4 Rolls200 Sheets 2 Ply",1
