"Article","Web Description","DQ Score"
"454070","Black & Decker Dustbuster Cordless Hand VacuumCleaner 5.4wh Lithium Ion 3.6V",0.833333333333333
"454071","Black & Decker Dustbuster Cordless Bagless HandVacuum Wet and Dry Lithium Ion 7.2V",0.833333333333333
"454072","Black & Decker Stick Vac 2 in 1 28.8wh EPP 14.4V",0.891666666666667
"454073","Black & Decker Steam Mop 1300W",0.833333333333333
"454074","Black & Decker Steam Mop 7 in 1 Gen 1300W andAccessories",0.775
"454076","Black and Decker SteaMitt Replacement Pads 2pk",0.783333333333333
"454077","Black & Decker Steam Mop Replacement Pads 2pk",0.833333333333333
"453878","Hoover Whirlwind Bagless Upright Vacuum Cleaner750w WR71WR01",0.833333333333333
"453884","Hoover Whirlwind Bagless Cylinder Vacuum Cleaner700w SE71WR01",0.833333333333333
"453889","Hoover Free Motion Cordless 2 in 1 Vacuum CleanerBagless 14.4V",0.891666666666667
"454750","Hoover Capture Bagged Compact Cylinder VacuumCleaner 700w BV71CP10",0.833333333333333
