"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Capacity","Material","DQ Score"
"190023","Wilko Lint Roller 10m","Wilko","Lint Remover",NA,"1","10m",NA,NA,1
"190024","Wilko Lint Roller Refill 10m","Wilko","Lint Remover",NA,"1","10m",NA,NA,1
"230807","Wilko Storage Garment Rail Single 160cm approx","Wilko","Clothing and Linen Storage","Multi","1","95x160cm","10kg","Stainless Steel",1
"273493","Wilko Velvet Coat Hangers 5pk","Wilko","Clothing and Coat Hangers","Black","5","5 Pack",NA,"Plastic and Wire",1
"300340","Wilko Scented Drawer Liners 6pk","Wilko","Scented Sachets",NA,"6pk","34x28cm",NA,NA,1
"327957","Wilko Adult Coat Hangers Purple 8pk","Wilko","Clothing and Coat Hangers","Purple","8","Adult",NA,"Polypropylene Regrind",1
"327965","Wilko Trouser Hanger Velvet Covered Black 2pk","Wilko","Clothing and Coat Hangers","Black","2","2 Pack",NA,"Velvet",1
"400027","Wilko Jumbo Coat Hanger Charcoal 6pk","Wilko","Clothing and Coat Hangers","Black","6","Jumbo",NA,"N/A",1
"437028","Wilko Kids Hangers 5pk","Wilko","Clothing and Coat Hangers","Multi","5","Kids",NA,"Polypropylene",1
"292469","Zensect Hanging Moth Proofer Lavender Fragrance4pk","Zensect","Moth Proofers",NA,"4","8x7.5cm",NA,NA,1
