"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","Assembly","DQ Score"
"264999","JML Bobble Off","JML",NA,"Bobble Off","Multi","1",NA,NA,NA,0.93
"428334","Single Fabric Wardrobe","Misterpack",NA,"Clothing and Linen Storage","Brown","1","75x50x145cm when assembled",NA,NA,0.85
"328404","Packmate Travel Roll Storage Bags 3pk","Pack Mate",NA,"Clothing and Linen Storage","Multi","3k","Medium",NA,NA,0.85
"232356","Wilko Garment Cover 127 x 61cm 2pk","Wilko",NA,"Clothing and Linen Storage","Clear","2","127x61cm","Polyethylene, Polyester",NA,0.95
"232357","Wilko Garment Cover Clear 97 x 61cm 2pk","Wilko",NA,"Clothing and Linen Storage","Clear","1","97x61cm","Polyethelene, Polyester",NA,0.95
"232360","Wilko Vacuum Sealed Storage Bags 2 Sizes 2pk","Wilko",NA,"Vacuum Storage Bag","Multi","2","70x40cm",NA,NA,0.9
"264634","Wilko Wire Coat Hangers 10pk","Wilko",NA,"Clothing and Coat Hangers","White","10pk",NA,NA,NA,0.883333333333333
"273272","Wilko Cedar Moth Balls 20pk","Wilko",NA,"Moth Proofers",NA,"20pk",NA,NA,NA,0.9125
"300320","Wilko Over Door Hooks 2pk","Wilko",NA,"Overdoor Hangers","White","2",NA,NA,NA,0.883333333333333
"300321","Wilko Vacuum Sealed Storage Bags Large 2pk","Wilko",NA,"Vacuum Storage Bag","Multi","2","Large",NA,NA,0.9
"300322","Wilko Vacuum Sealed Storage Bags Extra Large 2pk","Wilko",NA,"Vacuum Storage Bag","Multi","2pk","Jumbo",NA,NA,0.9
"300329","Wilko Underbed Storage Bag Beige","Wilko",NA,"Under Bed Storage","Brown","1","16x104x46cm","Polypropylene",NA,0.95
"300332","Wilko Garment Cover 100 x 60cm","Wilko",NA,"Clothing and Linen Storage","Brown","1","100x60cm","Polypropylene",NA,0.95
"300333","Wilko Garment Cover 135 x 60cm","Wilko",NA,"Clothing and Linen Storage","Blue",NA,"135x60cm","Polypropylene",NA,0.9
"300337","Wilko Beechwood Triple Brush","Wilko",NA,"Clothes Brush ",NA,"1",NA,NA,NA,0.9125
"300339","Wilko Scented Sachets White Rose and CottonFlower Fragrance 5pk","Wilko",NA,"Scented Sachets",NA,"5pk",NA,NA,NA,0.9125
"327954","Wilko Soft Grip Plastic Coat Hangers 3pk","Wilko",NA,"Clothing and Coat Hangers","Multi","3",NA,"Polypropylene Regrind",NA,0.941666666666667
"327956","Wilko Adult Coat Hangers 8pk","Wilko",NA,"Clothing and Coat Hangers",NA,"8pk","Adult","N/A",NA,0.941666666666667
"327960","Wilko Adult Coat Hangers Charcoal 8pk","Wilko",NA,"Clothing and Coat Hangers","Black","8","8 Pack",NA,NA,0.941666666666667
"327962","Wilko Wooden Coat Hangers 5pk","Wilko",NA,"Clothing and Coat Hangers","Cream","5pk",NA,"Wood",NA,0.941666666666667
"327966","Wilko Scarf Hanger Velvet Black","Wilko",NA,"Clothing and Coat Hangers","Black","1",NA,NA,NA,0.883333333333333
"327967","Wilko Necklace Hanger Velvet Black","Wilko",NA,"Clothing and Coat Hangers","Black","1",NA,NA,NA,0.883333333333333
"327969","Wilko Rubber Coated Coat Hangers Assorted 6pk","Wilko",NA,"Clothing and Coat Hangers","Multi","6",NA,"Plastic and Wire",NA,0.941666666666667
"328353","Wilko Wooden Coat Hangers White 5pk","Wilko",NA,"Clothing and Coat Hangers","White","5",NA,"Wood",NA,0.941666666666667
"328405","Wilko Plastic Shoe Box and Lid Clear Small11 x 19 x 33cm","Wilko",NA,"Shoe Storage","Clear","1","11x19x33cm","Polypropelyne",NA,0.95
"328427","Wilko  Plastic Shoe Boxand Lid Clear Large14 x 26 x 36cm","Wilko",NA,"Shoe Storage","Clear","1","14x26x36cm","Polypropelyne",NA,0.95
"329089","Wilko Wooden Mahogany Coat Hangers 5pk","Wilko",NA,"Clothing and Coat Hangers","Wood","5",NA,"Wood",NA,0.941666666666667
"333859","Wilko Wardrobe Organiser 120 x 25 x 35cm","Wilko",NA,"Clothing and Linen Storage","Blue","1","120cmx25cmx35cm","Polypropylene",NA,0.95
"333860","Wilko Shoe Organiser 127 x 25 x 30cm","Wilko",NA,"Shoe Storage","Brown","1","127cmx25cmx30cm","Polypropylene",NA,0.95
"333861","Wilko Laundry Bag 53 x 58cm","Wilko",NA,"Laundry Baskets","Blue",NA,"53cmx58cm","Polypropylene",NA,0.941666666666667
"417446","Wilko Wooden Skirt Hangers 3pk","Wilko",NA,"Clothing and Coat Hangers",NA,"3",NA,"Wood",NA,0.883333333333333
"417447","Wilko Skirt Hangers with Rubber Tipped Clasps 6pk","Wilko",NA,"Clothing and Coat Hangers",NA,"6",NA,"Plastic and Wire",NA,0.883333333333333
"417449","Wilko Hanging Moisture Dehumidifier","Wilko",NA,"Dehumidifier",NA,"1",NA,NA,NA,0.9125
"417453","Wilko Vacuum Sealed Storage Bags 2pk","Wilko",NA,"Vacuum Storage Bag",NA,"2","Large",NA,NA,0.85
"417488","Jumbo Storage Bag 120g","Wilko",NA,"Clothing and Linen Storage",NA,"1","H 46 x W 91 x D 53cm",NA,NA,0.8
"454068","Wilko Underbed Storage Box 28L","Wilko","28L",NA,NA,"1","28L","Polypropylene",NA,0.9
"454069","Wilko Storage Box Pot Pourri 18L","Wilko","18L",NA,NA,"1","18L","Polypropylene",NA,0.9
"230831","Zensect Moth Proofer Lavender Fragrance 20pk","Zensect",NA,"Moth Proofers",NA,"20",NA,NA,NA,0.9125
