"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Power","Model Number","DQ Score"
"36854","Wilko Kitchen Baster Acrylic","Chef Aid","Baster","Clear",NA,"Single",NA,NA,0.833333333333333
"37166","Wilko Kitchen Cocktail Sticks 100pk","Chef Aid","Cocktail Sticks","Cream","1","100 Pack",NA,NA,0.85
"444700","Morphy Richards Accents 5pc Tool Set Red 46821","Morphy Richards","Utensil Tool Sets","Red",NA,"5 piece",NA,"46821",0.9
"444703","Morphy Richards Accents Tool Set Stainless Steel5pcs","Morphy Richards","Utensil Tool Sets","Silver",NA,"5 piece",NA,"46825",0.9
"434038","Sabatier Chef Knife 8in","Sabatier","Knives",NA,NA,NA,NA,NA,0.766666666666667
"434039","Sabatier Bread Knife 8in","Sabatier","Knives",NA,NA,NA,NA,NA,0.766666666666667
"434040","Sabatier Santoku Knife 6in","Sabatier","Knives",NA,NA,NA,NA,NA,0.766666666666667
"434041","Sabatier Cleaver Knife 6in","Sabatier","Knives",NA,NA,NA,NA,NA,0.766666666666667
"434042","Sabatier Utility Knife 4.5in","Sabatier","Knives",NA,NA,NA,NA,NA,0.766666666666667
"434043","Sabatier Paring Knife 3.5in","Sabatier","Knives",NA,NA,NA,NA,NA,0.766666666666667
"444785","Tower Spudnik Spiralizer","Tower","Spiralizer","Green","1","15.5 X 20.5 X 25.5cm",NA,NA,0.941666666666667
"112508","Wilko Kitchen Rolling Pin Wooden Mini","Wilko","Rolling Pins","Cream","1",NA,NA,NA,0.93
"112512","Wilko Kitchen Poachette Ring 2pk","Wilko","Poachette Rings","Grey","1","Set",NA,NA,0.941666666666667
"112532","Wilko Revolving Rolling Pin Beech","Wilko","Rolling Pins","Cream","1",NA,NA,NA,0.93
"120656","Wilko Colander Stainless Steel","Wilko","Colander and Sieves",NA,NA,"Large",NA,NA,0.825
"139888","Wilko Can Opener","Wilko","Can Opener",NA,NA,"Single",NA,NA,0.825
"140141","Wilko Skewers Metal 4pk","Wilko","Skewers",NA,"1","4 Pack",NA,NA,0.883333333333333
"140809","Wilko Corn on the Cob Forks 4pk","Wilko","Corn Forks","Yellow","3pk",NA,NA,NA,0.883333333333333
"164126","Wilko Knife Sharpener Stainless Steel 20.5cm","Wilko","Peeling and Chopping",NA,NA,"20.5cm",NA,NA,0.825
"188598","Wilko Kitchen Shears","Wilko","Shears",NA,"1",NA,NA,NA,0.825
"188600","Wilko Digital Timer","Wilko","Thermometer and Timer",NA,"1",NA,NA,NA,0.825
"222196","Wilko Stainless Steel Salad Tongs","Wilko","Serving Tongs","Silver","1","Large",NA,NA,0.941666666666667
"222255","Wilko Fridge and Freezer Thermometer","Wilko","Thermometer and Timer","Clear","1","15x2cm",NA,NA,0.941666666666667
"232675","Wilko Geared Can Opener","Wilko","Can Opener","Red","1",NA,NA,NA,0.883333333333333
"232678","Wilko Vertical Peeler","Wilko","Peeling and Chopping","Multi","1",NA,NA,NA,0.883333333333333
"237478","Wilko Kitchen Flat Exhaust Cooker Hood Filter 1mm2pk","Wilko","Cooker Filter","Silver","1","2 Pack",NA,NA,0.941666666666667
"262783","Wilko Apple Corer","Wilko","Peeling and Chopping","Green","1",NA,NA,NA,0.883333333333333
"262890","Wilko Granite Work Top Saver 30cm x 40cm","Wilko","Worktop Saver","Grey",NA,"1.5cm",NA,NA,0.93
"281333","Wilko Chopping Board Blue 24.5cm x 35cm","Wilko","Chopping Board","Multi",NA,NA,NA,NA,0.86
"284774","Wilko Traditional Ice Cream Scoop Stainless Steel","Wilko","Ice Cream Scoops","Silver","1",NA,NA,NA,0.883333333333333
"284881","Wilko Grater Box 6 Sides","Wilko","Graters","Cream","1",NA,NA,NA,0.883333333333333
"304464","Wilko Knifeholder Magnetic 30cm","Wilko","Utensil Holder","Black","1","30cm",NA,NA,0.941666666666667
"304483","Wilko Bottle Stopper 2pk","Wilko","Bottle Stopper","Multi","1","2 Pack",NA,NA,0.9
"304832","Wilko Corkscrew Chrome Effect","Wilko","Corkscrew & Bottle Openers","Metal","1",NA,NA,NA,0.85
"317397","Wilko Hanging Rack","Wilko","Utensil Holder","Pink","1",NA,NA,NA,0.883333333333333
"317529","Wilko Ice Cube Tray","Wilko","Ice Cube Tray","Multi","1","12 Shapes",NA,NA,0.941666666666667
"317719","Wilko Citrus Squeezer","Wilko","Peeling and Chopping","Yellow","1",NA,NA,NA,0.883333333333333
"317898","Wilko Grater with Container Taupe/Silver Effect","Wilko","Graters","Cream","1",NA,NA,NA,0.883333333333333
"317900","Wilko Stainless Steel Whisk","Wilko","Whisk","Pink","1",NA,NA,NA,0.883333333333333
"318118","Wilko Soup Ladle Black","Wilko","Spoons and Ladles","Black","1",NA,NA,NA,0.883333333333333
"318172","Wilko Spaghetti Spoon Black","Wilko","Spoons and Ladles","Black","1",NA,NA,NA,0.883333333333333
"318176","Wilko Vegetable Steamer Stainless Steel","Wilko","Food Steamer","Pink","1",NA,NA,NA,0.883333333333333
"318177","Wilko Turner Black","Wilko","Spatula and Turners","Black","1",NA,NA,NA,0.883333333333333
"318178","Wilko Kitchen Potato Masher Black","Wilko","Masher","Black","1",NA,NA,NA,0.883333333333333
"318179","Wilko Polyamide Slotted Spoon Black","Wilko","Spoons and Ladles","Black","1",NA,NA,NA,0.883333333333333
"318180","Wilko Serving Spoon Polyamide Medium Black","Wilko","Spoons and Ladles","Black","1",NA,NA,NA,0.883333333333333
"318181","Wilko Polyamide Ladle Black","Wilko","Spoons and Ladles","Black","1",NA,NA,NA,0.883333333333333
"318182","Wilko Kitchen Whisk Black","Wilko","Whisk","Black","1",NA,NA,NA,0.883333333333333
"319549","Wilko Knife Sharpener Black","Wilko","Peeling and Chopping","Black","1",NA,NA,NA,0.883333333333333
"319550","Wilko Corkscrew Silver","Wilko","Corkscrew & Bottle Openers","Pink","1",NA,NA,NA,0.85
"319570","Wilko Meat Thermometer","Wilko","Thermometer and Timer","Pink","1",NA,NA,NA,0.883333333333333
"319572","Wilko Chopping Board Bamboo Large","Wilko","Chopping Board",NA,NA,"Large",NA,NA,0.86
"335040","Wilko Strainer Metal 19.5cm","Wilko","Colander and Sieves","Pink","1","19cm",NA,NA,0.941666666666667
"378240","Wilko Egg Slicer White","Wilko","Peeling and Chopping","White","1",NA,NA,NA,0.883333333333333
"409441","Wilko Bamboo Tools Set 4pcs","Wilko","Utensil Tool Sets",NA,"4",NA,NA,NA,0.825
"435737","Wilko Colourplay Utility Knife Red","Wilko","Knives",NA,"1",NA,NA,NA,0.825
"435740","Wilko Colourplay Bread Knife Blue","Wilko","Knives",NA,"1",NA,NA,NA,0.825
"435853","Wilko Turner Copper Effect","Wilko","Spatula and Turners",NA,"1",NA,NA,NA,0.86
"435854","Wilko Ladle Copper Effect","Wilko","Spoons and Ladles",NA,"1",NA,NA,NA,0.86
"435855","Wilko Slotted Spoon Copper Effect","Wilko","Spoons and Ladles",NA,"1",NA,NA,NA,0.86
"435856","Wilko Masher Copper Effect","Wilko","Masher",NA,"1",NA,NA,NA,0.86
"435857","Wilko Spoon Copper Effect","Wilko","Spoons and Ladles",NA,"1",NA,NA,NA,0.86
"435858","Wilko Chopping Board Bamboo Large","Wilko","Chopping Board",NA,NA,NA,NA,NA,0.79
"435859","Wilko Chopping Board Bamboo Medium","Wilko","Chopping Board",NA,NA,NA,NA,NA,0.79
"435860","Wilko Chopping Board Paddle","Wilko","Chopping Board",NA,NA,NA,NA,NA,0.79
"435861","Wilko Chopping Board Pizza","Wilko","Chopping Board",NA,NA,NA,NA,NA,0.75
"435862","Wilko Chopping Board With Handle","Wilko","Chopping Board",NA,NA,NA,NA,NA,0.75
"435865","Wilko Strainer Set 3pcs","Wilko","Colander and Sieves",NA,"3pc","18CM STRAINER, 16CM STRAINER, 12CM STRAINER",NA,NA,0.883333333333333
"435866","Wilko Conical Sieve","Wilko","Colander and Sieves",NA,NA,NA,NA,NA,0.79
"435867","Wilko Colander Mini 16cm","Wilko","Colander and Sieves",NA,NA,NA,NA,NA,0.766666666666667
"436178","Wilko Colourplay Large Chefs Knife Green","Wilko","Knives",NA,"1",NA,NA,NA,0.825
"436179","Wilko Colourplay Carving Knife Purple","Wilko","Knives",NA,"1",NA,NA,NA,0.825
"448489","Wilko Stainless Steel Turner","Wilko","Spatula and Turners","Metal","1","33.8cm",NA,NA,0.941666666666667
"448490","Wilko Stainless Steel Serving Spoon","Wilko","Spoons and Ladles",NA,"1","32.7cm",NA,NA,0.883333333333333
"448491","Wilko Stainless Steel Slotted Spoon","Wilko","Spoons and Ladles","Metal","1","32.7cm",NA,NA,0.941666666666667
"448492","Wilko Stainless Steel Ladle","Wilko","Spoons and ladles","Metal","1","29.7cm",NA,NA,0.941666666666667
