"Article","Web Description","Brand","Type","Colour","Size","Pack Qty","DQ Score"
"445596","Wilko Mug Beauty is Everywhere","Wilko","Mugs","Multi","12 x 8 x 9cm","1",1
"450525","Wilko Mug Striped Blue","Wilko","Mugs","Blue","12.5 x 8.5 x 10cm","1",1
"450526","Wilko Mug Spotty Pink 14oz","Wilko","Mugs","Multi","10 x 10 x 9.5cm","1",1
"450527","Wilko Mug Spotty Grey 14oz","Wilko","Mugs","Multi","10 x 10 x 9.5cm","1",1
"450528","Wilko Mug Ducks","Wilko","Mugs","Multi","11.5 x 8.5 x 8cm","1",1
"450529","Wilko Mug Chickens","Wilko","Mugs","Multi","11.5 x 8.5 x 8cm","1",1
"450530","Wilko Mug Wild Floral Design 12oz","Wilko","Mugs","Multi","8.5 x 8.5 x 8cm","1",1
"450531","Wilko Mug Floral Design 12oz","Wilko","Mugs","Multi","8.5 x 8.5 x 8cm","1",1
"450533","Wilko Mug Large Butetrfly Design","Wilko","Mugs","Purple","14 x 11.5 x 7cm","1",1
"450534","Wilko Mug Wildlife Design","Wilko","Mugs","Multi","12 x 9 x 9cm","1",1
