"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"300656","Pyrex Classic Dish 27 x 17cm 1.4Litre","Pyrex","Roaster","Clear","1","27x17cm",1
"952540","Pyrex Basin Clear 1L","Pyrex","Bowls","Clear","1","1L",1
"956340","Pyrex Jug 0.5L","Pyrex","Jugs","Clear","1","500ml",1
"165854","Wilko Rectangular Glass Roaster 33cm","Wilko","Roaster","Clear","1","33cm",1
"165855","Wilko Rectangular Glass Roaster 33cm","Wilko","Roaster","Clear","1","33cm",1
"228763","Wilko Square Roaster Dish White 24cm","Wilko","Roaster","White","1","24cm",1
"228794","Wilko Ramekins White 4pk","Wilko","Ramekin","White","4pk","Small",1
"242808","Wilko Glass Casserole Set 3pcs","Wilko","Casserole","Clear","3pcs","Assorted",1
"316157","Wilko Flan Dish 26cm","Wilko","Flan Dish","Clear","1","26cm",1
"316158","Wilko Glass Pie Dish","Wilko","Pie Dish","Clear","1","25cm",1
"328665","Wilko Roaster White Small","Wilko","Roaster","White","1","Small",1
"328666","Wilko Roaster White Large","Wilko","Roaster","White","1","Large",1
"453017","Wilko Rectangular Roaster Grey and White 45cm","Wilko","Roaster","Multi","1","17.5in",1
"453018","Wilko Rectangular Roaster Grey and White 28cm","Wilko","Roaster","Multi","1","10.5in",1
