"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"341824","Crown Metallic Emulsion PaintSophistication 1.25L","Crown","Metallic Paint","15 Square Metres","Silver","1","1.25L",1
"434505","Crown Silk Emulsion PaintBeige White 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
"434507","Crown Silk Emulsion PaintBrandy Snap 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
"434508","Crown Silk Emulsion PaintCanvas White 2.5L","Crown","Silk Paint","35 Square metres","White","1","2.5L",1
"434509","Crown Silk Emulsion PaintChance 2.5L","Crown","Silk Paint","35 Square metres","Blue","1","2.5L",1
"434510","Crown Silk Emulsion PaintChoc Chip 2.5L","Crown","Silk Paint","35 Square metres","Brown","1","2.5L",1
"434511","Crown Silk Emulsion PaintCity Break 2.5L","Crown","Silk Paint","35 Square metres","Grey","1","2.5L",1
"434512","Crown Silk Emulsion PaintClay White 2.5L","Crown","Silk Paint","35 Square metres","White","1","2.5L",1
"434513","Crown Silk Emulsion PaintCloud Burst 2.5L","Crown","Silk Paint","35 Square metres","Grey","1","2.5L",1
"434515","Crown Silk Emulsion PaintCream White 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
"434519","Crown Silk Emulsion PaintDelicate Cream 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
"434520","Crown Silk Emulsion PaintDream White 2.5L","Crown","Silk Paint","35 Square metres","White","1","2.5L",1
"434521","Crown Silk Emulsion PaintDuck Egg 2.5L","Crown","Silk Paint","35 Square metres","Blue","1","2.5L",1
"434522","Crown Silk Emulsion PaintEnglish Fire 2.5L","Crown","Silk Paint","35 Square metres","Red","1","2.5L",1
"434524","Crown Silk Emulsion PaintFairy Dust 2.5L","Crown","Silk Paint","35 Square metres","Pink","1","2.5L",1
"434525","Crown Silk Emulsion PaintForgotten Paradise 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
"434526","Crown Silk Emulsion PaintGentle Olive 2.5L","Crown","Silk Paint","35 Square metres","Green","1","2.5L",1
"434527","Crown Silk Emulsion PaintGranite Dust 2.5L","Crown","Silk Paint","35 Square metres","Grey","1","2.5L",1
"434528","Crown Silk Emulsion PaintGrey Putty 2.5L","Crown","Silk Paint","35 Square metres","Grey","1","2.5L",1
"434529","Crown Silk Emulsion PaintHappy Daze 2.5L","Crown","Silk Paint","35 Square metres","Yellow","1","2.5L",1
"434531","Crown Silk Emulsion PaintHoney Dip 2.5L","Crown","Silk Paint","35 Square metres","Yellow","1","2.5L",1
"434532","Crown Silk Emulsion PaintIvory Cream 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
"434535","Crown Silk Emulsion PaintLupin 2.5L","Crown","Silk Paint","35 Square metres","Blue","1","2.5L",1
"434536","Crown Silk Emulsion PaintMagnolia 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
"434537","Crown Silk Emulsion PaintMellow Sage 2.5L","Crown","Silk Paint","35 Square metres","Green","1","2.5L",1
"434538","Crown Silk Emulsion PaintMilk White 2.5L","Crown","Silk Paint","35 Square metres","White","1","2.5L",1
"434540","Crown Silk Emulsion PaintMustard Jar 2.5L","Crown","Silk Paint","35 Square metres","Yellow","1","2.5L",1
"434542","Crown Silk Emulsion PaintOn the Rocks 2.5L","Crown","Silk Paint","35 Square metres","Brown","1","2.5L",1
"434544","Crown Silk Emulsion PaintPaper Heart 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
"434545","Crown Silk Emulsion PaintPicnic Basket 2.5L","Crown","Silk Paint","35 Square metres","Brown","1","2.5L",1
"434546","Crown Silk Emulsion PaintPotting Shed 2.5L","Crown","Silk Paint","35 Square metres","Green","1","2.5L",1
"434547","Crown Silk Emulsion PaintPowder Blue 2.5L","Crown","Silk Paint","35 Square metres","Blue","1","2.5L",1
"434548","Crown Silk Emulsion PaintRoof Garden 2.5L","Crown","Silk Paint","35 Square metres","Green","1","2.5L",1
"434549","Crown Silk Emulsion PaintSail White 2.5L","Crown","Silk Paint","35 Square metres","White","1","2.5L",1
"434550","Crown Silk Emulsion PaintSandcastle 2.5L","Crown","Silk Paint","35 Square metres","Cream","1","2.5L",1
