"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"290350","Wilko Pedal Bin Red 30L","Wilko","Pedal Bins","Red","1","30L",1
"317173","Wilko Platinum Dish Drainer","Wilko","Dish Drainers","Metal","1","48x40x12cm",1
"317180","Wilko Washing Up Bowl Square Platinum","Wilko","Bowls","Metal","1","34cm x 34cm",1
"317194","Wilko Colourplay Bowl Red","Wilko","Bowls","Red","1","9.5L",1
"317195","Wilko Colourplay Dish Drainer Red","Wilko","Dish Drainers","Red","1","48x40x12cm",1
"328904","Wilko Colourplay Cutlery Tray Purple","Wilko","Cutlery Trays","Purple","1","Small",1
"351525","Wilko Gloss Square Washing Up Bowl Black","Wilko","Bowls","Black","1","Square",1
"351526","Wilko Gloss Four Compartment Sink Tidy Black","Wilko","Cutlery Drainers","Black","1","4 Compartment",1
"433590","Wilko Rectangular Touch Top Bin Red 45L","Wilko","Push Bins ","Red","1","33x48x65cm",1
"434877","Wilko Rectangular Touch Top Bin Purple 45L","Wilko","Push Bins","Purple","1","33x48x65cm",1
"449347","Wilko Colour Play Cutlery Drainer Blue","Wilko","Cutlery Drainers",NA,NA,NA,1
"450063","Wilko Pedal Bin Copper Effect 30L","Wilko","Pedal Bins","Metal","1","30L",1
"450064","Wilko Pedal Bin Copper  Effect 12L","Wilko","Pedal Bins","Metal","1","27.5cm x 26cm x 40cm",1
