"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"314272","Arden Grange Adult Complete Dry Dog Food with Fresh Chicken and Rice 2kg","Arden Grange","Small Bagged Food",NA,"1","2kg",1
"314809","Arden Grange Complete Dry Dog Food Adult Chicken and Rice 12kg","Arden Grange","Large Bagged Food",NA,"1","12kg",1
"314810","Arden Grange Complete Dry Dog Food Adult Lamb andRice 12kg","Arden Grange","Large Bagged Food",NA,"1","12kg",1
"453835","Bob Martin Chef's Selection Fish Pouches 12x85g","Bob Martin","Adult Pouches 1+ Years",NA,"1","12x85g",1
"453836","Bob Martin Chef's Selection Pouches Meat 12x85g","Bob Martin","Adult Pouches 1+ Years",NA,"1","12x85g",1
"453837","Bob Martin Chef's Selection Pouches Fish andMeat 12 x 85g","Bob Martin","Adult Pouches 1+ Years",NA,"1","12x85g",1
"453915","Bob Martin Clear 3 in 1 Dewormer Dogs - 2 Tablets","Bob Martin","Flea and Worming Control",NA,"1","2pk",1
"453916","Bob Martin Clear 3 in 1 Dewormer Dogs - 4 Tablets","Bob Martin","Flea and Worming Control",NA,"1","4pk",1
"453917","Bob Martin Clear 2 in 1 Dewormer Cats - 2 Tablets","Bob Martin","Flea and Worming Control",NA,"1","BM Clear 2 in 1 Dewormer Cats x 2 tabs",1
"335637","Boredom Breaker Naturals Dandelion and Nettle Roots 50g","Boredom Breaker","Treats",NA,"1","50g",1
"335639","Boredom Breaker Naturals Little Hearts 100g","Boredom Breaker","Treats",NA,"1","100g",1
"335641","Boredom Breaker Naturals Breakfast Cookies 110g","Boredom Breaker","Treats",NA,"2","110g",1
"335648","Boredom Breaker Naturals Strawberry Sticks 120g","Boredom Breaker","Treats",NA,"2","120g",1
"335650","Boredom Breaker Naturals Rodent Mini Sticks 80g","Boredom Breaker","Treats",NA,"1","80g",1
"335651","Boredom Breaker Naturals Carrotys 200g","Boredom Breaker","Treats",NA,"1","200g",1
"335652","Boredom Breaker Naturals Fenugreek Crunchies 200g","Boredom Breaker","Treats",NA,"1","200g",1
"335653","Boredom Breaker Naturals Healthy Fruit Salad 125g","Boredom Breaker","Treats",NA,"1","125g",1
"335657","Boredom Breaker Naturals Crunch N Munch Millet 3pk","Boredom Breaker","Treats",NA,"1","Small",1
"335660","Boredom Breaker Naturals Dandelion Delight 100g","Boredom Breaker","Treats",NA,"1","100g",1
"335661","Boredom Breaker Naturals Natures Salad 200g","Boredom Breaker","Treats",NA,"1","200g",1
"328365","Burgess Mature Complete Adult Chicken 12.5kg","Burgess","Large Bagged Food",NA,"1","12.5kg",1
"314473","Chappie Complete Beef and Whole Grain Cereal 15kg","Chappie","Large Bagged Food",NA,"1","15kg",1
"452647","Country Club Pet Bed/Cage Mat 55x75cm","Country Club","Mattresses","Multi","1","55 x 75cm",1
"452648","Country Club Pet Bed/Cage Mat 60x90cm","Country Club","Mattresses","Multi","1","60 x 90cm",1
"335058","Curver Petlife Covered Pet Litter Tray Cream","Curver","Litter Tray","Cream","1","39cmx39cmx51cm",1
"313599","Dog Life Dog Crate Double Door Black Medium","Dog Life","Crates","Black","1","Medium",1
"313600","Dog Life Dog Crate Double Door Black Large","Dog Life","Crates","Black","1","Large",1
"313603","Dog Life Dog Crate Double Door Black Extra Large","Dog Life","Crates","Black","1","Extra Large",1
"313790","Dog Life Durable Fun Rubber Puppy Tug","Dog Life","Puppy Toys",NA,"1","19.6x2.6cm",1
"335664","Evolution Aqua Pure Pond 500ml","Evolution Aqua","Cleaning and Water Control",NA,NA,NA,1
"440438","Forthglade Grain Free Adult Lamb 395g","Forthglade","Grain & Wheat Free Food",NA,"1","395g",1
"440439","Forthglade Grain Free Adult Turkey 395g","Forthglade","Grain & Wheat Free Food",NA,"1","395g",1
"440441","Forthglade Grain Free Multicase 12 x 395g","Forthglade","Grain & Wheat Free Food",NA,"12","395g",1
