"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"193859","Bakers Complete Dry Dog Food Chicken andVegetables 2.7kg","Bakers","Small Bagged Food","1","2.7kg",1
"245724","Bakers Complete Dry Dog Food Chicken and CountryVegetables 5kg","Bakers","Small Bagged Food","1","5kg",1
"252412","Bakers Complete Dry Puppy Food with Tasty Beefand Country Vegetables 1kg","Bakers","Puppy Food","1","1kg",1
"252414","Bakers Complete Dry Senior Food with TastyChicken Rice and Country Vegetables 1kg","Bakers","Senior Food","1","1kg",1
"252570","Bakers Complete Dry Dog Food Chicken andVegetables 1.35kg","Bakers","Boxed Food","1","1.535kg",1
"282937","Bakers Complete Dry Dog Food Weight Control 1kg","Bakers","Boxed Food","1","1kg",1
"292458","Bakers Complete Dry Dog Food with Tasty Beef andCountry Vegetables for Small Dogs 1kg","Bakers","Boxed Food","1","1kg",1
"336144","Bakers Dog Food Chicken and Vegetables 1kg","Bakers","Small Bagged Food","1","1Kg",1
"336171","Bakers Complete Dry Small Dog Food Meaty MealsWith Tasty Beef 1kg","Bakers","Boxed Food","1","1kg",1
"453826","Bob Martin Pouch Jelly Multipack 12x100g","Bob Martin","Pouches","12","12 x 100g",1
"453827","Bob Martin Pouch Gravy Multipack 12x100g","Bob Martin","Pouches","12","12 x 100g",1
"453828","Bob Martin Pouch Gravy Multipack Meat Mix 12x100g","Bob Martin","Pouches","12","12 x 100g",1
"193622","Butchers Tinned Dog Food Tripe in Jelly 6 x 400g","Butchers","Tinned","6pk","6x400g",1
"243646","Butchers Tinned Puppy Food Natural NutritionChicken Beef and Lamb in Jelly 6 x 400g","Butchers","Puppy Food","6pk","400g",1
"243649","Butchers Tinned Dog Food Favourite Recipes 6 x390g","Butchers","Tinned","6pk","6x390g",1
"252360","Butchers Tinned Dog Food All Meat Variety pk inJelly 6 x 400g","Butchers","Tinned","6pk","6x400g",1
"252361","Butchers Choice Dog Food Traditional Recipes Tray12 x 150g","Butchers","Foil Tray","12pk","150g",1
"284782","Butchers Tinned Dog Food Meaty Stews in Gravy 6 x400g","Butchers","Tinned","6pk","6x400g",1
"401229","Butchers Choice Dog Food Lean and Tasty 12 x 150g","Butchers","Foil Tray","12","12x150g",1
"411317","Butchers Choice Puppy Food Tray 4 x 150g","Butchers","Puppy Food","4","4x150g",1
"430057","Butchers Tinned Dog Food Original Recipes inJelly 12 x 400g","Butchers","Tinned","12","12x400g",1
"430058","Butchers Tinned Dog Food Succulent Feast in Jelly12 x 400g","Butchers","Tinned","12","12x400g",1
"430059","Butchers Choice Dog Food Succulent Meat Tray 12 x150g","Butchers","Foil Tray","12","12x150g",1
"348547","Cesar Tray Dog Food Classic Selection 4X150g","Cesar","Foil Tray","4pk","4x150g",1
"348548","Cesar Dog Food Classic Selection Tray 8 x 150g","Cesar","Foil Tray","8pk","8x150g",1
"348549","Cesar Dog Food Country Kitchen Selection Tray 8 x150g","Cesar","Foil Tray","8pk","8x150g",1
"348550","Cesar Dog Food Country Kitchen Selection Tray 4 x150g","Cesar","Foil Tray","4pk","4x150g",1
"412788","Cesar Pouch Dog Food Fresh Selection in Sauce 4 x100g","Cesar","Pouches","4pk","4x100g",1
"412789","Cesar Pouch Dog Food Fresh Selection in Jelly 4 x100g","Cesar","Pouches","4pk","4x100g",1
"431031","Cesar Pouch Dog Food Deliciously Fresh Favouritesin Sauce 8 x 100g","Cesar","Pouches","8","8x100g",1
"431032","Cesar Pouch Dog Food Deliciously Fresh Selectionin Jelly for Senior Dogs 8 x 100g","Cesar","Senior Food","8","8x100g",1
"303635","Harringtons Complete Dry Dog Food Turkey and Veg2kg","Harringtons","Small Bagged Food","1","2kg",1
"411931","Harringtons Complete Dry Dog Food Turkey andVegetables 5kg","Harringtons","Small Bagged Food","1","5kg",1
"432833","Harringtons Complete Dry Dog Food Lamb and Rice5kg","Harringtons","Small Bagged Food","1","5kg",1
"206448","HiLife Feed me Dry Dog Food Turkey Chicken and VegVeg with Bacon 1.5kg","Hilife","Small Bagged Food","1","1.5kg",1
"431064","HiLife Essentials Dry Dog Food Meaty Chunks withChicken 675g","Hilife","Small Bagged Food","1","675g",1
"302158","Iams Dry Dog Food Chicken for Large Adult Dogs 3kg","Iams","Small Bagged Food","1","3kg",1
"302159","Iams Dry Dog Food Chicken for Small and MediumDogs 3kg","Iams","Small Bagged Food","1","3kg",1
"314259","Iams Dry Dog Food Proactive Nutrition SucculentRoast Chicken for Mature and Senior Dogs 3kg","Iams","Senior Food","1","3kg",1
"314283","Naturediet Puppy Food Vegetables and Rice Tray390g","Naturediet","Puppy Food","1","390g",1
"314284","Naturediet Dog Food Chicken with Vegetables andRice Tray 390g","Naturediet","Foil Tray","1","390g",1
"314285","Naturediet Dog Food Lamb with Vegetables and RiceTray 390g","Naturediet","Foil Tray","1","390g",1
"314286","Naturediet Dog Food Turkey and Chicken withVegetables and Rice Tray 390g","Naturediet","Foil Tray","1","390g",1
"215865","Pedigree Dry Dog Food Chicken and Veg 2.6kg","Pedigree","Small Bagged Food","1","2.6kg",1
"252408","Pedigree Tinned Adult Dog Food Chicken in Gravy 6x 400g","Pedigree","Tinned","6","6x400g",1
"252411","Pedigree Tinned Dog Food Original Loaf 400g","Pedigree","Tinned","1","400g",1
"405655","Pedigree Dry Dog Food Chicken 500g","Pedigree","Small Bagged Food","1","500g",1
"405658","Pedigree Pouch Dog Food Chicken and Lamb in Jelly4 x 100g","Pedigree","Pouches","4","4x100g",1
"405659","Pedigree Pouch Dog Food Chicken Vegetables andBeef Vegetables in Gravy 4 x 100g","Pedigree","Pouches","4","4x100g",1
"405660","Pedigree Pouch Puppy Food Chicken and Beef4 x 100g","Pedigree","Puppy Food","4","4 x 100g",1
"405662","Pedigree Pouch Dog Food Real Meals in Gravy 12 x100g","Pedigree","Pouches","12","12x100g",1
"405663","Pedigree Pouch Dog Food Favourites in Jelly 12 x100g","Pedigree","Pouches","12","12x100g",1
"430184","Pedigree Tinned Dog Food Mixed Selection in Gravy12 x 400g","Pedigree","Tinned","12","12x400g",1
"430185","Pedigree Tinned Dog Food Mixed Selection in Jelly12 x 385g","Pedigree","Tinned","12","12x385g",1
"454768","Perfect Fit Complete Dry Dog Food Adult 1+ >10kgChicken 2.6kg","Perfect Fit","Small Bagged Food","1","2.6kg",1
"454771","Perfect Fit Complete Dry Dog Food Senior 10+ <10kg Chicken 2.6kg","Perfect Fit","Small Bagged Food","1","2.6kg",1
"454772","Perfect Fit Complete Dry Dog Food Adult 1+ >10kgChicken 825g","Perfect Fit","Small Bagged Food","1","825g",1
"454773","Perfect Fit Complete Dry Dog Food Junior <1Chicken 825g","Perfect Fit","Puppy Food","1","825g",1
"454774","Perfect Fit Complete Dry Dog Food Adult 1+<10kg Chicken 825g","Perfect Fit","Small Bagged Food","1","825g",1
"267015","Wagg Complete Dry Dog Food Sensitive Chicken andRice 2kg","Wagg","Small Bagged Food","1","2kg",1
"423831","Wagg Kennel Dry Dog Food Chicken 6kg","Wagg","Large Bagged Food","1","6kg",1
"98903","Wagg Dry Dog Food Beef and Veg 2.5kg","Wagg","Small Bagged Food","1","2.5kg",1
"454875","Webbox Natural Trays Chick Rice&Veg 400g","Webbox","Tinned","1","400g",1
"454876","Webbox Natural Trays Beef Rice&Veg 400gRice Tray 400g","Webbox","Tinned","1","400g",1
"456293","Webbox Natural Complete Adult Lamb 2.25kg","Webbox","Small Bagged Food","1","2.25kg",1
"456294","Webbox Natural Complete Adult Chicken 2.25kg","Webbox","Small Bagged Food","1","2.25kg",1
