"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"194930","Bob Martin Cat Litter Crystals Silicia 3.8L","Bob Martin","Cat Litter",NA,"1","3.8L",0.93
"411308","Bob Martin Cat Litter Antibacterial 10L","Bob Martin","Cat Litter",NA,"1","10L",0.93
"428893","Bob Martin Cat Litter Freshener 400g","Bob Martin","Cat Litter",NA,"1","400g",0.93
"453825","Wilko Cat Litter Concrete Mineral 10L","Bob Martin","Cat Litter",NA,"1","10L",0.88
"232306","Catsan Cat Litter Hygiene 10L","Catsan","Cat Litter",NA,"1","10L",0.93
"453151","OUT Super Strength Stain and Odour Remover500ml","OUT!","Stain and Odour Remover",NA,"1","500ml",0.88
"109583","Wilko Cat Litter Tray Liners 15pk","Wilko","Litter Tray Liners",NA,"15","48cmx38cm",0.93
"121972","Wilko Cat Litter Fullers Earth Clumping 10L","Wilko","Cat Litter",NA,"1","10L",0.93
"419227","Wilko Cat Litter Lightweight 10L","Wilko","Cat Litter",NA,"1","10 litre",0.93
"433627","Wilko Cat Litter Silicia 3.8L","Wilko","Cat Litter",NA,NA,"3.8L",0.86
"434324","Wilko Cat Litter Ultra Clumping 5L","Wilko","Cat Litter",NA,"5L","5L",0.93
"70462","Wilko Wood Based Cat Litter 15L","Wilko","Cat Litter",NA,"1","15L",0.93
"80180","Wilko Cat Toilet Assorted Colours","Wilko","Litter Tray","Multi","1",NA,0.93
"9532740","Wilko Cat Litter Tray Assorted Colours Large","Wilko","Litter Tray",NA,"1","40cm x 30cm x 10cm",0.93
"287684","Wilko Functional Cat Litter 8L","Wilko Functional","Cat Litter",NA,NA,"8L",0.86
