"Article","Web Description","Brand","Type","Size","Pack Qty","DQ Score"
"443546","Mr Johnsons Wildlife Hedgehog Food 750g","Mr Johnsons","Hedgehog Food","750g","1",1
"443547","Mr Johnsons Swan Duck and Goose Food 750g","Mr Johnsons","Swan and Duck Food","750g","1",1
"406645","Peckish Wild Bird Complete Seed 2kg","Peckish","Seed Mix","2kg","1",1
"406648","Peckish Wild Bird Winter Warmer Seed Mix 1.7kg","Peckish","Seed Mix","1.7kg","1",1
"406649","Peckish Wild Bird Daily Goodness Seed 1kg","Peckish","Suets","1kg","1",1
"427660","Peckish Wild Bird Complete Easy Feeder 400g","Peckish","Seed Feeder","400g","1",1
"427662","Peckish Wild Bird Complete Energy Ball 24pk","Peckish","Fat Balls","24Pk","24",1
"121962","Wilko Wild Bird Fat Balls 4pk","Wilko","Fat Balls","90g","4",1
"196266","Wilko Wild Bird Coconut Suet Feeder","Wilko","Suet Feeder","180g","1",1
"209876","Wilko Wild Bird Sunflower Hearts 1kg","Wilko","Sunflower Hearts","1kg","1",1
"228593","Wilko Wild Bird Fat Balls 10pk","Wilko","Fat Balls","10x90g","10",1
"249527","Wilko Wild Bird Suet with insect 300g","Wilko","Suets","300g","1",1
"259596","Wilko Wild Bird Fat Balls Tub 50 x 90g","Wilko","Fat Balls","50pk","50 x 90g",1
"261287","Wilko Wild Bird Robin Seed 900g","Wilko","Seed Mix","900g","1",1
"266938","Wilko Wild Bird Suet Pellets with Berry 550g","Wilko","Suets","550g","1",1
"282964","Wilko Wild Bird Niger Seed 1kg","Wilko","Niger Seeds","1kg","1",1
"301032","Wilko Wild Bird Seed 12.75kg","Wilko","Seed Mix","12.75kg","1",1
"303756","Wilko Wild Bird Finch Special Mix Seed 900g","Wilko","Seed Mix","900g","1",1
"303757","Wilko Wild Bird Special Mix Seed for Small Birds900g","Wilko","Seed Mix","900g","1",1
"303762","Wilko Wild Bird Blue Tit Seed 900g","Wilko","Seed Mix","900g","1",1
"303763","Wilko Wild Bird Blackbird and Thrush Seed 900g","Wilko","Seed Mix","900g","1",1
"303767","Wilko Wild Bird Ground and Table Mixed Seed 900g","Wilko","Seed Mix","900g","1",1
"314705","Wilko Wild Bird Sunflower Hearts 12.75kg","Wilko","Sunflower Hearts","12.75kg","1pk",1
"314706","Wilko Wild Bird Peanuts 12.75kg","Wilko","Peanuts","12.75kg","1",1
"407642","Wilko Wild Bird Seed 5kg","Wilko","Seed Mix","5kg","1",1
