"Article","Web Description","Brand","Type","Pack Qty","Colour","DQ Score"
"439951","Emoji Premium A5 Notebook","Emoji","Notebooks",NA,NA,1
"439952","Emoji Exercise Book 3pk","Emoji","Exercise Books",NA,NA,1
"439953","Emoji Novelty Erasers","Emoji","Erasers",NA,NA,1
"439954","Emoji Stationery Set 5pcs","Emoji","Stationery Sets",NA,NA,1
"439955","Emoji Barrel Pencil Case","Emoji","Pencil Case",NA,NA,1
"439956","Emoji Shaped Sticky Notes","Emoji","Sticky Notes",NA,NA,1
"439957","Emoji Gel Pens 4pk","Emoji","Gel Pens",NA,NA,1
"430701","Shopkins Lockable Diary","Shopkins","Diary","1",NA,1
"430702","Shopkins Notebook A7 with Pencil","Shopkins","Notebooks","1",NA,1
"439937","Star Wars Retro A5 Notebook","Star Wars","Notebooks","1","Multi",1
"439939","Star Wars Retro 10 Colour Pen","Star Wars","Ballpoint Pens","1","Multi",1
"439940","Star Wars Retro Barrel Pencil Case","Star Wars","Pencil Case","1","Multi",1
"439943","Star Wars Retro Die Cut Erasers 4pk","Star Wars","Erasers","4","Multi",1
"420969","Wilko Notebook A7 Assorted","Wilko","Notebooks","1",NA,1
"421029","Wilko Ruler Puzzle","Wilko","Rulers","1",NA,1
"439249","Wilko Unicorns Mini Glitter Pens 5pk","Wilko","Ballpoint Pens","1","Multi",1
"439252","Wilko Unicorns Multi Colour Pen with Fob","Wilko","Ballpoint Pens","1","Multi",1
"439253","Wilko Unicorns Stationery Set 5pcs","Wilko","Stationery Sets","5","Multi",1
"439259","Wilko Space Monster Key Ring","Wilko","Key Ring","1","Multi",1
"439261","Wilko Space Multi Colour Pen with Fob","Wilko","Ballpoint Pens","1","Multi",1
"439294","Wilko Space Sticker Pad","Wilko","Stickers","1","Blue",1
"439301","Wilko Funky Pen Pink","Wilko","Ballpoint Pens","1","Pink",1
"439312","Wilko Unicorns A6 Colour In Notebook","Wilko","Notebooks","1","Multi",1
"439313","Wilko Unicorns A6 Square Notebook","Wilko","Notebooks","1","Multi",1
"439315","Wilko Space Exercise Books","Wilko","Exercise Books","3","Multi",1
"439317","Wilko Space Rocket Pen","Wilko","Ballpoint Pens","1","Multi",1
"439318","Wilko Space A6 Colour in Notebook","Wilko","Notebooks","1","Multi",1
"439319","Wilko Space Stationery Set 5pcs","Wilko","Stationery Sets","5","Multi",1
"439320","Wilko Space Bumper Stationery Set","Wilko","Stationery Sets","8","Multi",1
"439324","Wilko Pick n Mix Key Ring","Wilko","Key Ring","1","Multi",1
"439329","Wilko Novelty Sharpener Wheelie Bin","Wilko","Pencil Sharpeners","1","Multi",1
"439331","Wilko Stationery Set 5pcs","Wilko","Stationery Sets","5","Multi",1
"439332","Wilko Space A7 Top Bound Notebook","Wilko","Notebooks","1",NA,1
"439933","Wilko Unicorns Barrel Pencil Case","Wilko","Pencil Case","1","Multi",1
"439934","Wilko Unicorns and Rainbows Coin Purse","Wilko","Coin Purse","1","Multi",1
"439935","Wilko Space Barrel Pencil Case","Wilko","Pencil Case","1","Multi",1
"439958","Wilko Unicorns and Rainbows Sticker Pad","Wilko","Stickers","1","Pink",1
"439959","Wilko Unicorns Exercise Books","Wilko","Exercise Books","3","Multi",1
