"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","Pack Qty","Washable","DQ Score"
"436189","Sorrento Wheeled Sun Lounger Taupe","Amir","Loungers",NA,"103x72x133",NA,NA,NA,NA,0.8625
"435247","Greenhurst Rose Armchair Patio Set 3pc","Gablemere","Bistro Sets",NA,"Chairs - H89 x W46 x D43cm, Table - H66 x 69cm Dia","No","Polyurethane",NA,NA,0.891666666666667
"456340","Greenhurst Garden Seat Glider Single","Gablemere",NA,NA,NA,NA,NA,NA,NA,0.775
"456341","Greenhurst Low Level Garden Glider Table","Gablemere",NA,NA,NA,NA,NA,NA,NA,0.775
"456323","Zest 4 Leisure Dorset Arbour Seat and StorageBox Wooden","Zest 4 Leisure","Benches and Swing Seats",NA,"1.568m x 0.670m x 1.995m","Yes","Wood",NA,NA,0.941666666666667
"456324","Zest 4 Leisure Rutland Arbour Seat Wooden","Zest 4 Leisure","Benches and Swing Seats",NA,"1.568m x 0.670m x 1.995m","Yes","Wood",NA,NA,0.941666666666667
"456325","Zest 4 Leisure Abbey Garden Bench","Zest 4 Leisure","Benches and Swing Seats",NA,"1.18m x 0.73m x 0.73m","Yes","Wood",NA,NA,0.941666666666667
"456326","Zest 4 Leisure Abbey Rocking Chair WoodenFSC Certified Timber","Zest 4 Leisure","Chairs",NA,"0.68m x 0.89m x 0.73m","Yes","Wood",NA,NA,0.941666666666667
"456327","Zest 4 Leisure Abbey Square Table and 4 Chair SetFSC Certified Timber","Zest 4 Leisure","4 Seaters",NA,"2.56m x 2.56m x 0.73m","Yes","Wood",NA,NA,0.941666666666667
"456328","Zest 4 Leisure Abbey Round Table and 4 Chair SetFSC Certified Timber","Zest 4 Leisure","4 Seaters",NA,"2.36m x 2.36m x 0.73m","Yes","Wood",NA,NA,0.941666666666667
"456329","Zest 4 Leisure Abbey Companion Set Wooden","Zest 4 Leisure","Benches and Swing Seats",NA,"1.75m x 0.89m x 0.73m","Yes","Pressure-treated, FSC-certified timber",NA,NA,0.941666666666667
"456330","Zest 4 Leisure Lily Wooden Garden Bench","Zest 4 Leisure","Benches and Swing Seats",NA,"1.22m x 0.93m x 0.92m","Yes","Wood",NA,NA,0.941666666666667
"456331","Zest 4 Leisure Lily Rocking Chair","Zest 4 Leisure","Chairs",NA,"0.72m x 1.14m x 0.99m","Yes","Wood",NA,NA,0.941666666666667
"456332","Zest 4 Leisure Lily Relax Garden Chair","Zest 4 Leisure","Chairs",NA,"0.72m x 0.92m x 0.92m","Yes","Wood",NA,NA,0.941666666666667
