"Article","Web Description","Brand","Type","Pack Qty","Size","Age","DQ Score"
"325531","Bathtime Buddies Soap Crayons","Bathtime Buddies","Water Toys","1",NA,NA,0.825
"430347","Bathtime Buddies Alphabet Set","Bathtime Buddies","Water Toys",NA,NA,NA,0.79
"325536","Disney Princess Bath and Shower Bubbles 400ml","Disney","Bubble Bath, Creams and Oils","1",NA,NA,0.9125
"441277","Marvel Avengers Superhero Body Wash 400ml","Disney","Bubble Bath, Creams and Oils","1",NA,NA,0.8625
"441278","Marvel Avengers Superhero 2in1 Shampoo andConditioner 400ml","Disney","Kids Shampoo and Conditioner","1",NA,NA,0.81
"441744","Disney Frozen Detangling Hair Spritz 100ml","Disney","Kids Hair Treatments and Oils",NA,NA,NA,0.79
"441745","Disney Frozen Elsa Hair Brush","Disney","Combs & Brushes",NA,NA,NA,0.79
"441747","Disney Pixar Finding Dory Bath and Shower Bubbles400ml","Disney","Bubble Bath, Creams and Oils",NA,NA,NA,0.825
"452979","Disney Frozen Bath and Shower Bubbles","Disney Frozen","Bubble Bath, Creams and Oils","1",NA,NA,0.9125
"441275","Despicable Me Minion Made Bubble Bath 400ml","Minions","Bubble Bath, Creams and Oils","1",NA,NA,0.8625
"441276","Despicable Me Giggling Minion Hand Wash 250ml","Minions","Hand Wash","1",NA,NA,0.8625
"441253","Paw Patrol Bath and Shower Gel 400ml","Paw Patrol","Bubble Bath, Creams and Oils",NA,NA,NA,0.825
"430351","Shopkins Bath and Shower Bubbles 400ml","Shopkins","Bubble Bath, Creams and Oils","1",NA,NA,0.9125
"430352","Shopkins Magic Facecloth","Shopkins","Sponges, Loofahs and Flannels","1",NA,NA,0.9125
