"Article","Web Description","Brand","Type","Pack Qty","Size","Age","Washable","Colour","Power","Assembly","Model Number","DQ Score"
"288854","Bathtime Buddies 2 Little Ducks","Bathtime Buddies","Bath Toys",NA,NA,NA,NA,"Multi",NA,NA,NA,0.825
"271249","Tommee Tippee Close To Nature Breast and BottleFeeding Teats 2pk","Tommee Tippee","Teats","2pk","3Months",NA,NA,NA,NA,NA,NA,0.883333333333333
"271250","Tommee Tippee Closer To Nature Fast Flow Teats 2pk","Tommee Tippee","Teats","1","6 Months","6 Months",NA,NA,NA,NA,NA,0.941666666666667
"281690","Tommee Tippee Closer To Nature Bottle 260ml 2pk","Tommee Tippee","Feeding Bottles","1","260ml","Birth",NA,NA,NA,NA,NA,0.941666666666667
"421396","Tommee Tippee Active Sports Bottle 12+ Months","Tommee Tippee","Cups and Beakers","1","300ML","12 Months Plus",NA,NA,NA,NA,NA,0.9
"421397","Tommee Tippee Insulated Active Straw Cup 12+Months","Tommee Tippee","Cups and Beakers","1","260ML","12 Months Plus",NA,NA,NA,NA,NA,0.9
"421398","Tommee Tippee Insulated Active Sippee Cup 12+Months","Tommee Tippee","Cups and Beakers","1","260ML","12 Months Plus",NA,NA,NA,NA,NA,0.9
"319812","Wilko Baby Plug Socket Protectors White 6pk","Wilko","Socket Covers","6pk",NA,NA,NA,NA,NA,NA,NA,0.86
"319813","Wilko Baby Long Multi-Purpose Locks White 2pk","Wilko","Latches and Catches","2pk",NA,NA,NA,NA,NA,NA,NA,0.86
"319814","Wilko Baby Drawer Latches 4pk","Wilko","Latches and Catches","1","4 Pack",NA,NA,NA,NA,NA,NA,0.93
"319815","Wilko Baby Corner Guards Clear 4pk","Wilko","Corner Gards","1","4 Pack",NA,NA,NA,NA,NA,NA,0.93
"347410","Wilko Night Soother Dummies 6 - 18 Months","Wilko","Soothers","1",NA,"6 months +",NA,"Multi",NA,NA,NA,0.941666666666667
"347415","Wilko Silicone Teats Fast Flow 2pk 6+ Months","Wilko","Teats","2",NA,"3 months +",NA,NA,NA,NA,NA,0.883333333333333
"347416","Wilko Silicone Teats Med Flow 2pk 3+ Months","Wilko","Teats","2",NA,"3 months +",NA,NA,NA,NA,NA,0.883333333333333
"347417","Wilko Bottle Wide Neck 250ml","Wilko","Feeding Bottles","1","250ml","From Birth",NA,NA,NA,NA,NA,0.941666666666667
"347427","Wilko Wide Neck Fast Flow Teat 2pk","Wilko","Teats","1","Wide Neck","3 months +",NA,NA,NA,NA,NA,0.941666666666667
"347434","Wilko Toddler Plastic Cutlery 3pk","Wilko","Cutlery","3","Toddler","12 months +",NA,"Multi",NA,NA,NA,0.95
"347435","Wilko Toddler Plates 3pk","Wilko","Bowls and Plates","3",NA,NA,NA,"Multi",NA,NA,NA,0.85
"347436","Wilko Toddler Bowls 3pk","Wilko","Bowls and Plates","3",NA,NA,NA,"Multi",NA,NA,NA,0.85
"347459","Wilko Bottle and Teat Brush","Wilko","Bottle Brush","1",NA,"0+Months",NA,NA,NA,NA,NA,0.883333333333333
"347469","Wilko Sunshade","Wilko","Travel Accessories","1",NA,"0+Months",NA,NA,NA,NA,NA,0.93
"347473","Wilko Baby Scissors","Wilko","Tools and Accessories","1",NA,"0+Months",NA,NA,NA,NA,NA,0.93
