"Article","Web Description","DQ Score"
"125912","Carex Complete Aloe Vera Handwash 250ml",1
"253713","Carex Complete Aloe Vera Hand Gel 50ml",1
"407607","Carex Complete Bubble Gum Handwash 250ml",1
"407608","Carex Protect+ Plus Original Handwash 250ml",1
"407609","Carex Protect+ Plus Aloe Vera Handwash 250ml",1
"293767","Croydex Secura Safe Shower Spray Set White",1
"452660","Croydex Telescopic Stick n Lock Rod",1
"310013","Dettol Antibacterial Soap 2 x 100g",1
"407953","Dettol E45 No Touch Liquid Hand WashRose and Shea Butter 250ml",1
"302935","Dove Soap Bars 6pk x 100g",1
"319907","Dove Beauty Cream 2 x 100gShea Butter and Warm Vanilla",1
"215269","Duracell Plus Power Alkaline Batteries AAA LR031.5V 4pk",1
"215270","Duracell Plus Power Alkaline Batteries AA LR6 1.5V4pk",1
"215271","Duracell Plus Power Alkaline Batteries C LR141.5V 2pk",1
"215273","Duracell Plus Power Alkaline Batteries D LR201.5V 2pk",1
"215276","Duracell Plus Power Alkaline Batteries AA LR61.5V 8pk",1
"254438","Duracell Plus Power Alkaline Batteries AAA LR031.5V 8pk",1
"295056","Duracell Ultra Power Alkaline Batteries C LR141.5V 2pk",1
"295057","Duracell Ultra Power Alkaline Batteries D LR201.5V 2pk",1
"298782","Duracell Ultra Power Alkaline Batteries AAA LR031.5V 4pk",1
"298783","Duracell Ultra Power Alkaline Batteries AA LR61.5V 4pk",1
"405764","Duracell Plus Power Battery 6LF22 9V Single",1
"405765","Duracell Ultra Power Battery 6LR61 9V Single",1
"180586","Energizer Max Alkaline Batteries D 1.5V 2pk",1
"180587","Energizer Max Alkaline Batteries  1.5v C LR141.5V 2pk",1
"180588","Energizer Max Alkaline Batteries AAA LR03 1.5V 4pk",1
"180589","Energizer Max Alkaline Batteries AA LR6 1.5V 4pk",1
"180590","Energizer Max Alkaline Batteries 6LR61 9V Single",1
"180593","Energizer Max Alkaline Batteries LR6 1.5V 8pk",1
"203035","Energizer Max Alkaline Batteries AAA LR03 1.5V 8pk",1
