"Article","Web Description","DQ Score"
"433371","Daewoo Aqua Glass Kettle 1.8L",0.891666666666667
"dd00008","Daewoo Manual Microwave White KOR6N35S",0.95
"dd00013","Daewoo Duoplate Touch Control Microwave KOR6L6BDSL",0.95
"dd00015","Daewoo Touch Control Microwave and GrillKOG3000SL",0.95
"dd00018","Daewoo Microwave Convection Oven KOC9QIT",0.95
"dd00103","Daewoo 28L Microwave with Grill KOC9Q3T",0.95
"451280","Kenwood Hand Mixer White HM220",0.85
"451281","Kenwood Compact Mini Chopper White CH180A",0.85
"451283","Kenwood Triblade Hand Blender 450W With Plus Turboand 0.5 Litre Bowl",0.85
"451284","Kenwood Blender 350w 1 Litre With Mill AttachmentWhite",0.85
"gs00001","Russell Hobbs Digital Microwave Black RHM1714B",0.95
"gs00002","Russell Hobbs Digital Microwave Grill StainlessSteel RHM2031",0.95
"gs00007","Russell Hobbs Heritage Digital Microwave RHM2064C",0.95
"gs00009","Russell Hobbs Digital Microwave Red RHM2064R",0.95
"gs00011","Russell Hobbs Digital Microwave Silver RHM2362S",0.95
"448363","Swan Jug Kettle 1.7 L Copper SK23030COPN",0.6
"448365","Swan Jug Kettle 1.7 L Black SK261050BN",0.95
"448366","Swan Jug Kettle 1.7 L Cream SK261050CN",0.95
"448368","Swan Jug Kettle 1.7 L Red SK261050RN",0.95
"448377","Swan Vintage Stand Mixer Cream SP21010CN",0.6
"448378","Swan Vintage Stand Mixer Green",0.9
"448380","Swan Vintage Stand Mixer Red SP21010RN",0.95
"448381","Swan Retro Stand Mixer Black SP25010BN",0.95
"448382","Swan Retro Stand Mixer Cream 600W",0.95
"448383","Swan Retro Stand Mixer Green SP25010GN",0.95
"448385","Swan Copper Effect Toaster 2 SliceST14040COPN",0.95
"448387","Swan Retro 4-Slice Toaster Black 800W",0.95
"448390","Swan Retro 4 Slice Toaster Red ST17010RN",0.891666666666667
"448392","Swan  Retro 2-Slice Toaster Black ST17020BN",0.95
"448395","Swan Retro 2-Slice Toaster Red ST17020RN",0.95
"rx00007","Swan Fryer 3L Stainless Steel SD6040N",0.95
"rx00021","Swan Compact Food Slicer SP10060N 150W White",0.85
"rx00059","Swan 2 Slice Toaster Black ST10020BLKN",0.95
"448415","Tower Xtreme Pro T12020GM",0.9
"448422","Tower Reversible Health Grill and Oven T14009",0.95
"448425","Tower Cerastone Reversible Grill T14019",0.891666666666667
