"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"434664","Atrixo Enriched Moisturising Cream 50ml","Atrixo","Hand Cream","1","50ml",1
"351452","Aveeno Skin Relief Lotion 75ml","Aveeno","Hand Cream","1","75ml",1
"452888","Aveeno Daily Moist Hand Cream 75ml","Aveeno","Hand Cream","1","75ml",1
"452923","Aveeno Daily Moisturising Lotion 200ml","Aveeno","Body Moisturiser","1","200ml",1
"249712","Bio-Oil 60ml","Bio-Oil","Stretch Marks and Scars","1","60ml",1
"440385","Blistex Intensive Moisturiser SPF10","Blistex","Hand Cream","1","5g",1
"136771","Clean & Clear Daily Scrub Blackhead Clearing 150ml","Clean & Clear","Face Wash","1","150ml",1
"351484","Clean & Clear Advanced Gel 15ml","Clean & Clear","Face Wash","1","15ml",1
"454551","Dove Coconut Oil and Almond Cream 250ml","Dove","Body Moisturiser","1","250ml",1
"126221","E45 Dermatological Moisturising Lotion 200ml","E45","Dermatological Cream","1","200ml",1
"249627","E45 Dermatological Cream 350g","E45","Dermatological Cream","1","350g",1
"33359","E45 Dermatological Cream 50g","E45","Dermatological Cream","1","50g",1
"218473","Garnier Skin Naturals Ultra Lift Night AntiWrinkle Firming Cream 50ml","Garnier","Facial Moisturisers","1","50ml",1
"303358","Garnier Intensive 7 Days Aloe Vera Body LotionNormal Skin 250ml","Garnier","Body Moisturiser","1","250ml",1
"303359","Garnier Intensive 7 Days Shea Butter Body LotionDry Skin 250ml","Garnier","Body Moisturiser","1","250ml",1
"338616","Garnier Intensive 7 Days Shea Butter Hand CreamDry Skin 100ml","Garnier","Hand Cream","1","100ml",1
"413462","Garnier Pure Active Micellar Water 400ml","Garnier","Facial Lotion","1","400ml",1
"433662","Garnier Micellar Water Sensitive Skin 125ml","Garnier","Make Up Remover","1","125ml",1
"439889","Garnier Ultimate Blends Honey Body Lotion VeryDry Skin 400ml","Garnier","Body Moisturiser","1","400ml",1
"439890","Garnier Ultimate Blends Argan Oil Body LotionNormal Skin 400ml","Garnier","Body Moisturiser","1","400ml",1
"439891","Garnier Ultimate Blends Olive Body Lotion DrySkin 400ml","Garnier","Body Moisturiser","1","400ml",1
"207775","L'Oreal Paris Age Perfect Rehydrating Day Cream50ml","L'Oreal","Facial Moisturisers","1","50ml",1
"331996","L'Oreal Paris Triple Active Night Cream 50ml","L'Oreal","Facial Moisturisers","1","50ml",1
"342089","L'Oreal Paris Revitalift Anti Wrinkle Day CreamSPF 30 50ml","L'Oreal","Facial Moisturisers","1","50ml",1
"403725","L'Oreal Paris Revitalift Magic Blur Anti AgeingMoisturiser 50ml","L'Oreal","Facial Moisturisers","1","50ml",1
"433659","L'Oreal Paris Anti-Wrinkle Expert Hydrating Cream35+ 50ml","L'Oreal","Face Cream","1","50ml",1
"433660","L'Oreal Paris Anti-Wrinkle Expert Firming Cream45+ 50ml","L'Oreal","Face Cream","1","50ml",1
"433661","L'Oreal Paris Anti Wrinkle Expert Restoring Cream55+ 50ml ","L'Oreal","Face Cream","1","50ml",1
"101056","Nivea Body Express Hydration Lotion 250ml","Nivea","Body Moisturiser","1","250ml",1
"127966","Nivea Soft Moisturising Cream 75ml","Nivea","Body Moisturiser","1","75ml",1
"137513","Nivea Soft Moisturising Cream 200ml","Nivea","Body Moisturiser","1","200ml",1
"238494","Nivea Body Lotion Firming Q10 Energy+ 400ml NormalSkin","Nivea","Body Moisturiser","1","400ml",1
"269390","Nivea Daily Essentials Light Moisturising DayCream SPF 15 50ml","Nivea","Facial Moisturisers","1","50ml",1
"269391","Nivea Daily Essentials 2 in 1 Cleanser and Toner200ml","Nivea","Cleansing Lotion","1","200ml",1
"278476","Nivea Daily Essentials Double Effect Eye Make-UpRemover 125ml","Nivea","Make Up Removers and Wipes","1","125ml",1
"278478","Nivea  Daily Essentials Regenerating NightCream 50ml","Nivea","Facial Moisturisers","1","50ml",1
"309460","Nivea Daily Essentials Oil Free Moisturising DayCream 50ml","Nivea","Facial Moisturisers","1","50ml",1
"310868","Nivea Daily Essentials Refreshing Facial Wash Gel150ml","Nivea","Face Wash","1","150ml",1
"310869","Nivea Daily Essentials Rich Regenerating NightCream 50ml","Nivea","Facial Moisturisers","1","50ml",1
"324061","Nivea Pure and Natural Regenerating Night Cream50ml","Nivea","Facial Moisturisers","1","50ml",1
"338360","Nivea Daily Essentials Express Hydration PrimerDry and Sensitive Skin 50ml","Nivea","Facial Moisturisers","1","50ml",1
"338498","Nivea Daily Essentials Extra Gentle Eye MakeupRemover 125ml","Nivea","Make Up Removers and Wipes","1","125ml",1
"338510","Nivea Q10 Plus Anti-Wrinkle Pore Refining Day Cream SPF 15 50ml","Nivea","Facial Moisturisers","1","50ml",1
"351154","Nivea Daily Essentials 3 in 1 Sensitive CaringMicellar Water 200ml","Nivea","Cleansing Lotion","1","200ml",1
"351155","Nivea Daily Essentials Sensitive Cleansing Milk200ml","Nivea","Body Moisturiser","1","200ml",1
"351156","Nivea Daily Essentials Sensitive Day Cream SPF1550ml","Nivea","Facial Moisturisers","1","50ml",1
"351157","Nivea Daily Essentials Sensitive Night Cream 50ml","Nivea","Facial Moisturisers","1","50ml",1
"351599","Nivea Q10 Plus Anti-Wrinkle CC Tinted Day CreamSPF 15 50ml","Nivea","Facial Moisturisers","1","50ml",1
"351602","Nivea In-Shower Body Moisturiser Indulging Cocoa250ml","Nivea","Body Moisturiser","1","250ml",1
"433805","Nivea Daily Essentials Caring Micellar WaterNormal Skin 200ml","Nivea","Make Up Removers and Wipes","1","200ml",1
"439495","Nivea Creme Tin 75ml","Nivea","Body Moisturisers","1","75ml",1
"449224","Nivea Q10 Anti-Age Hand Cream 75ml","Nivea","Hand Cream","1","75ml",1
"449225","Nivea Express Care Hand Cream 75ml","Nivea","Hand Cream","1","75ml",1
"449226","Nivea Hand Cream Nourishing Care 75ml","Nivea","Hand Cream","1","75ml",1
"100782","Olay Beauty Fluid 100ml","Olay","Facial Moisturisers","1","100ml",1
"100784","Olay Regular Fluid 200ml","Olay","Facial Moisturisers","1","200ml",1
"204694","Olay Gentle Cleansers Face Wash 150ml","Olay","Face Wash","1","150ml",1
"245099","Olay Everyday Cream Light Glow 50ml","Olay","Facial Moisturisers","1","50ml",1
"248484","Olay Anti Wrinkle Firm and Lift Night Cream 50ml","Olay","Facial Moisturisers","1","50ml",1
"276143","Olay Double action Day Cream 50ml","Olay","Facial Moisturisers","1","50ml",1
"277500","Olay Double Action Night Cream Normal and Dry 50ml","Olay","Facial Moisturisers","1","50ml",1
"277777","Olay Complete Care Day Cream Normal and Dry SPF1550ml","Olay","Facial Moisturisers","1","50ml",1
"309642","Olay Gentle Cleansers Refreshing Toner 200ml","Olay","Cleansing Lotion","1","200ml",1
"325863","Olay Total Effects 7in1 Anti-Ageing FragranceFree 50ml","Olay","Facial Moisturisers","1","50ml",1
"325866","Olay Total Effects Night Cream 50ml","Olay","Facial Moisturisers","1","50ml",1
"325985","Olay Complete BB cream Medium SPF15 50ml","Olay","Facial Moisturisers","1","50ml",1
"351632","Olay Anti Wrinkle Daily Lotion 100ml","Olay","Facial Moisturisers","1","100ml",1
"351633","Olay Essential Care Day Cream Sensitive 50ml","Olay","Facial Moisturisers","1","50ml",1
"351634","Olay Complete Care BB Cream Medium 50ml","Olay","Facial Moisturisers","1","50ml",1
"351636","Olay Total Effects Age Defying MoisturiserSPF15 50ml","Olay","Facial Moisturisers","1","50ml",1
"207395","Palmers Cocoa Butter Lotion 250ml","Palmers","Body Moisturiser","1","250ml",1
