"Article","Web Description","Brand","DQ Score"
"412101","Mitchum Anti-Perspirant Showerfresh 150ml","Revlon",0.775
"430855","Mitchum Ultimate Gel Powder Fresh 57g","Revlon",0.775
"456467","Charlie Bodyspray Peach Passion 75ml","Revlon",0.8125
"430686","Right Guard Female Xtrm Invisible 150ml","Schwarzkopf",0.95
"430690","Right Guard Women Anti Perspirant 48HTotal Defence Sport 250ml","Schwarzkopf",0.95
"430780","Right Guard Women Anti Perspirant 72H Cool150ml","Schwarzkopf",0.95
"449875","Right Guard Womens Anti Perspirant 150mlPure","Schwarzkopf",0.95
"450012","Right Guard Female Anti Perspirant 250mlTotal Defence 5 Invisible","Schwarzkopf",0.95
"450013","Right Guard Women Anti Persipirant 250mlTotal Defence 5 Pure","Schwarzkopf",0.95
"249816","So...? Perfumed Body Spray 75ml","So... ",0.95
"249817","So...? Kiss Me Body Spray 75ml","So... ",0.95
"249819","So...? Sinful Body Spray 75ml","So... ",0.95
"450096","So…? Pink Grapefruit Body Mist 100ml","So... ",0.95
"450100","So…? Iced Melon Mody Mist 100ml","So... ",0.95
"450101","So…? Fresh Floral Body Mist 100ml","So... ",0.95
"449856","Quattro for Women Bikini Razor","Wilkinson Sword",0.716666666666667
