"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","Washable","Material","DQ Score"
"125949","Always Maxi Long Plus 12pk","Always","Towels and Liners",NA,"12",NA,NA,NA,0.75
"204646","Always Maxi Night 10pk","Always","Towels and Liners",NA,"10pk",NA,NA,NA,0.8
"255191","Always Normal Breathable Panty Liners Normal 60pk","Always","Towels and Liners",NA,"60pk","Normal",NA,NA,0.85
"273839","Always Dailies Liner Long Plus 44pk","Always","Towels and Liners",NA,"44",NA,NA,NA,0.8
"279855","Always Liner Fresh Wrapped 20pk","Always","Towels and Liners",NA,"20pk",NA,NA,NA,0.8
"287300","Always Ultra Duo Normal Plus/Long 26pk","Always","Towels and Liners",NA,"1",NA,NA,NA,0.75
"287351","Always Ultra Duo Long Plus 22pk","Always","Towels and Liners",NA,"22",NA,NA,NA,0.75
"287353","Always Ultra Duo Normal 30pk","Always","Towels and Liners",NA,"30",NA,NA,NA,0.8
"332924","Always Dailies Pantyliners Normal 32pk","Always","Towels and Liners",NA,"32pk","Normal",NA,NA,0.85
"332925","Always Dailies Pantyliners Long Plus 24pk","Always","Towels and Liners",NA,"24pk","Long Plus",NA,NA,0.85
"332933","Always Dailies Pantyliners Discreet Incredibly Thin 30pk","Always","Towels and Liners",NA,"30pk",NA,NA,NA,0.8
"332935","Always Dailies Pantyliners Discreet Normal 24pk","Always","Towels and Liners",NA,"24pk","Normal",NA,NA,0.85
"352822","Always Discreet Liners Plus 20pk","Always","Incontinence",NA,"1",NA,NA,NA,0.9125
"352824","Always Discreet Normal 12pk","Always","Incontinence",NA,"12",NA,NA,NA,0.9125
"352826","Always Discreet Long 10pk","Always","Incontinence",NA,"10",NA,NA,NA,0.9125
"352831","Always Discreet Pants Med 12pk","Always","Incontinence",NA,"12",NA,NA,NA,0.9125
"352832","Always Discreet Pants Large 10pk","Always","Incontinence",NA,"10",NA,NA,NA,0.9125
"416093","Always Sensitive Normal Pads 16pk","Always","Towels and Liners",NA,"16",NA,NA,NA,0.8
"416104","Always Sensitive Normal Plus Pads 14pk","Always","Towels and Liners",NA,"14",NA,NA,NA,0.8
"416532","Always Ultra Duo Pads Night 20pk","Always","Towels and Liners",NA,"20",NA,NA,NA,0.8
"430186","Always Dailies Pantyliner Large","Always","Towels and Liners",NA,"52",NA,NA,NA,0.8
"432901","Always Ultra Mainline Single Night","Always","Towels and Liners",NA,NA,NA,NA,NA,0.75
"432902","Always Ultra Single Long Plus","Always","Towels and Liners",NA,NA,NA,NA,NA,0.75
"432903","Always Ultra Single Normal","Always","Towels and Liners",NA,NA,NA,NA,NA,0.75
"432904","Always Ultra Single Normal Plus","Always","Towels and Liners",NA,NA,NA,NA,NA,0.75
"441181","Always Discreet Long Plus Pads 8pk","Always","Incontinence",NA,NA,NA,NA,NA,0.825
"100604","Bodyform Ultra Towels Normal 16pk","Bodyform","Towels and Liners",NA,"16pk",NA,NA,NA,0.8
"117629","Bodyform Ultra Towels Normal Wings 14pk","Bodyform","Towels and Liners",NA,"14",NA,NA,NA,0.8
"117632","Bodyform Ultra Towels Long Wings 12pk","Bodyform","Towels and Liners",NA,"12pk",NA,NA,NA,0.8
"146236","Bodyform Ultra Towels Goodnight Wings 10pk","Bodyform","Towels and Liners",NA,"10",NA,NA,NA,0.8
"157795","Bodyform Daily Fresh Liners String 30pk","Bodyform","Towels and Liners",NA,"30pk",NA,NA,NA,0.8
"197930","Bodyform Daily Fresh Liners So Slim Wrapped 34pk","Bodyform","Towels and Liners",NA,"34pk",NA,NA,NA,0.8
"246184","Bodyform Daily Fresh Liners Extra Long 24pk","Bodyform","Towels and Liners",NA,"1",NA,NA,NA,0.75
"272958","Bodyform Ultra Towels Normal Scented 16pk","Bodyform","Towels and Liners",NA,"1",NA,NA,NA,0.8
"272959","Bodyform Ultra Towels Normal Scented Wings 12pk","Bodyform","Towels and Liners",NA,"1",NA,NA,NA,0.8
"272960","Bodyform Daily Fresh Liners So Slim ScentedWrapped 32pk","Bodyform","Towels and Liners",NA,"32",NA,NA,NA,0.8
"329632","Bodyform Ultra Towels Normal Wings Duo 28pk","Bodyform","Towels and Liners",NA,"28pk",NA,NA,NA,0.8
"352125","Bodyform Daily Fresh Liners Normal MultistyleWrapped 30pk","Bodyform","Towels and Liners",NA,"30pk",NA,NA,NA,0.8
"74187","Bodyform Maxi Towels Normal 18pk","Bodyform","Towels and Liners",NA,"16pk",NA,NA,NA,0.8
"74188","Bodyform Maxi Towels Long 16pk","Bodyform","Towels and Liners",NA,"14pk","Maxi",NA,NA,0.85
"76715","Carefree Liner Fresh 20pk","Carefree","Towels and Liners",NA,"20",NA,NA,NA,0.8
"82316","Carefree Breathable Single Wrapped Pantyliners20pk","Carefree","Towels and Liners",NA,"20pk",NA,NA,NA,0.8
"283508","Li-lets Tampons Super Plus Extra 14pk","li-Lets","Tampons",NA,"14",NA,NA,NA,0.9125
"332793","Li-lets Tampons Regular 16pk","li-Lets","Tampons",NA,"16",NA,NA,NA,0.9125
"255194","Tampax Compak Super Plus Applicator Tampons 20pk","Tampax","Tampons",NA,"20pk",NA,NA,NA,0.9125
"255195","Tampax Compak Super Tampons 20pk","Tampax","Tampons",NA,"20pk",NA,NA,NA,0.9125
"255196","Tampax Compak Regular Applicator Tampons 20pk","Tampax","Tampons",NA,"20",NA,NA,NA,0.9125
"263699","Tampax Super 20pk","Tampax","Tampons",NA,"20",NA,NA,NA,0.9125
"279036","Tampax Pearl Regular 20pk","Tampax","Tampons",NA,"20pk",NA,NA,NA,0.9125
"279037","Tampax Pearl Super 18pk","Tampax","Tampons",NA,"18pk",NA,NA,NA,0.9125
"417533","Tampax Compak Pearl Super Plus 18pk","Tampax","Tampons",NA,NA,NA,NA,NA,0.825
"417534","Tampax Compak Pearl Super 18pk","Tampax","Tampons",NA,NA,NA,NA,NA,0.825
"417535","Tampax Compak Pearl Regular 18pk","Tampax","Tampons",NA,NA,NA,NA,NA,0.825
"165343","TENA Lady Normal 12pk","Tena","Incontinence",NA,"12pk",NA,NA,NA,0.9125
"194199","TENA Lady Extra 10pk","Tena","Incontinence",NA,"10pk",NA,NA,NA,0.9125
"226914","TENA Lady Extra Plus 8pk","Tena","Incontinence",NA,"8pk",NA,NA,NA,0.9125
"243209","TENA Lady Discreet Mini 20pk","Tena","Incontinence",NA,"20",NA,NA,NA,0.9125
"253704","TENA Men Absorbent Protector Level 2 10pk","Tena","Incontinence",NA,"10pk",NA,NA,NA,0.9125
"268846","TENA Lady Normal Duo Pack 24pk","Tena","Incontinence",NA,"24pk",NA,NA,NA,0.9125
"268847","TENA Lady Extra Duo Pack 20pk","Tena","Incontinence",NA,"20",NA,NA,NA,0.9125
"272953","TENA Lady Maxi Night 6pk","Tena","Incontinence",NA,"1",NA,NA,NA,0.9125
"285566","TENA Lady Normal Aloe Vera 12pk","Tena","Incontinence",NA,"4pk",NA,NA,NA,0.9125
"305114","Lights By TENA Liners Single Wrap 22pk","Tena","Incontinence",NA,"22pk",NA,NA,NA,0.9125
"305118","Lights By TENA Light Liners 28pk","Tena","Incontinence",NA,"28pk",NA,NA,NA,0.9125
"305120","Lights By TENA Liners 24pk","Tena","Incontinence",NA,"24pk",NA,NA,NA,0.9125
"332585","Lights By TENA Liners Duo Pack 48pk","Tena","Incontinence",NA,"48pk",NA,NA,NA,0.9125
"351917","TENA Pants Super Medium 12pk","Tena","Incontinence",NA,"12",NA,NA,NA,0.9125
"351918","TENA Pants Plus Medium 9pk","Tena","Incontinence",NA,"9",NA,NA,NA,0.9125
"351919","TENA Pants Super Large 12pk","Tena","Incontinence",NA,"12",NA,NA,NA,0.9125
"352122","Lights By TENA Long Liners 20pk","Tena","Incontinence",NA,"20",NA,NA,NA,0.9125
"418192","TENA Pants Plus Extra Large 12pk","Tena","Incontinence",NA,"12",NA,NA,NA,0.9125
