"Article","Web Description","Brand","Type","Colour","Size","Pack Qty","Assembly","Material","DQ Score"
"286951","Calypso Once A Day Sun Protection Kids High SPF40150ml","Calypso","Baby and Kids Suncream",NA,"150ml","1",NA,NA,1
"416263","Forest Garden Lap Fence Panel 6ft x 3ft Pk of 3","Forest Garden","Lap Panels","Brown","91 x 183 x 4",NA,NA,NA,1
"416267","Forest Garden Lap Fence Panel 6ft x 4ft Pk of 3","Forest Garden","Lap Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416271","Forest Garden Lap Fence Panel 6ft x 5ft Pk of 3","Forest Garden","Lap Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416275","Forest Garden Lap Fence Panel 6ft x 6ft Pk of 3","Forest Garden","Lap Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416289","Forest Garden Hamburg Screen Panel 1.8m Pk of 6","Forest Garden","Hamburg Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416290","Forest Garden Prague Fence Panel 1.8m Pk of 3","Forest Garden","Prague Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416298","Forest Garden Close Board Fence Panel 3ft Pk of 3","Forest Garden","Close Board Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416302","Forest Garden Close Board Fence Panel 4ft Pk of 3","Forest Garden","Close Board Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416306","Forest Garden Close Board Fence Panel 5ft Pk of 3","Forest Garden","Close Board Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416310","Forest Garden Close Board Fence Panel 6ft Pk of 3","Forest Garden","Close Board Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416320","Forest Garden Pale Fence Panel Pk of 5","Forest Garden","Pale Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416321","Forest Garden Pale Fence Panel Pk of 6","Forest Garden","Pale Panels","Brown","H122 x W183 x D4cm",NA,NA,NA,1
"416326","Forest Garden Fence Post 75mm x 75mm x 2.4m (8ft)Pk of 4","Forest Garden","Fence Posts","Brown","H122 x W183 x D7.5cm",NA,NA,NA,1
