"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","Power","Pack Qty","Model Number","DQ Score"
"433493","Aussie Conditioner Miracle Moist 75ml","Aussie","Conditioner",NA,NA,NA,NA,NA,"1",NA,0.9125
"433494","Aussie Shampoo Miracle Moist 75ml","Aussie","Shampoo",NA,NA,NA,NA,NA,"1",NA,0.9125
"451130","Banana Boat Baby Sun Protection LotionSPF 50 60ml","Banana Boat","Baby and Kids Suncream",NA,NA,NA,NA,NA,"1",NA,0.9125
"254650","Gillette Series Gel Sensitive Skin - Cool Wave Shave Gel 75ml","Gillette","Mens Shaving Gel",NA,"75ml",NA,NA,NA,NA,NA,0.9125
"305140","Impulse Body Spray True Love Freesia andTangerine 35ml","Impulse","Female Bodysprays",NA,"35ml",NA,NA,NA,NA,NA,0.9125
"267302","Johnsons Baby  Shampoo 100ml","Johnsons","Baby Shampoo and Soap",NA,"100ml",NA,NA,NA,NA,NA,0.9125
"403078","Elvive Shampoo Colour Protect 50ml","L'Oreal","Shampoo",NA,NA,NA,NA,NA,"1",NA,0.8625
"292145","Listerine Mouthwash Stay White Arctic Mint 95ml","Listerine","Mouthwash",NA,"95ml",NA,NA,NA,NA,NA,0.9125
"278798","Lynx Deodorant Body Spray Africa 35ml","Lynx","Mens Bodysprays",NA,"35ml",NA,NA,NA,NA,NA,0.9125
"433470","Lynx Black Shower Gel 50ml","Lynx","Shower Gel",NA,NA,NA,NA,NA,"1",NA,0.9125
"452633","Nivea Daily Essentials 3 in 1 Refreshing FacialCleansing Wipes 7pk","Nivea","Face Wipes and Pads",NA,NA,NA,NA,NA,"7",NA,0.9125
"278803","Pantene Pro-V Conditioner Normal-Thick HairSmooth and Sleek 75ml","Pantene","Conditioner",NA,"75ml",NA,NA,NA,NA,NA,0.9125
"278804","Pantene Pro-V Shampoo Normal-Thick Hair Smoothand Sleek 75ml","Pantene","Shampoo",NA,"75ml",NA,NA,NA,NA,NA,0.9125
"451134","WetOnes Be Fresh 12s","Wet Ones","Face Wipes and Pads",NA,NA,NA,NA,NA,"1",NA,0.8625
"406178","Whitefurze Barrel Planter 50cm","Whitefurze","Planters",NA,"50cm","No",NA,NA,NA,NA,0.93
"451127","Wilkinson Sword Xtreme 3 Sensitive Razor 1pk","Wilkinson Sword","Mens Razors",NA,NA,NA,NA,NA,"1",NA,0.825
"451128","Wilkinson Sword Xtreme 3 Beauty Razor 1pk","Wilkinson Sword","Female Razors",NA,NA,NA,NA,NA,"1",NA,0.825
"123613","Wilko Seed Tray Insert Olive 24cm 3pk","Wilko","Seed Trays","Green","24Cell",NA,NA,NA,"3pk",NA,0.941666666666667
"347755","Wilko Travel Bottle 100ml","Wilko","Travel Accessories",NA,NA,NA,NA,NA,"1",NA,0.9125
"347756","Wilko Travel Bottle Spray 100ml","Wilko","Travel Accessories",NA,NA,NA,NA,NA,"1",NA,0.9125
"347757","Wilko Travel Bottle Pump 100ml","Wilko","Travel Accessories",NA,NA,NA,NA,NA,"1",NA,0.9125
"347758","Wilko Travel Pot","Wilko","Travel Accessories",NA,NA,NA,NA,NA,"1",NA,0.9125
"446060","Wilko Pop Up Planter","Wilko","Pop up Planter",NA,"50cm x 95cm",NA,"Iron Oxford Fabric",NA,"1",NA,0.941666666666667
"446062","Wilko Angled Raised Bed","Wilko","Wall Farm",NA,"45cm x 50cm x 75cm",NA,"Iron Oxford Fabric PP",NA,"1",NA,0.941666666666667
"446063","Wilko Modular Raised Bed","Wilko","Raised Bed",NA,"50cm x 45cm",NA,"Iron Oxford Fabric PP",NA,"1",NA,0.941666666666667
"446064","Wilko Modular Raised Bed Large","Wilko","Raised Bed",NA,"50cm x 28cm",NA,"Iron Oxford Fabric PP",NA,"1",NA,0.941666666666667
