"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Washable","Age","Size","Material","DQ Score"
"280281","Barbie Fashion Doll Assorted","Barbie","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"401809","Barbie Beach Ken","Barbie","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"448537","Barbie Fashionista Doll Assorted","Barbie","Dolls","Multi",NA,"1","Wipe Clean Only","3 Years +",NA,NA,0.95
"448539","Barbie Fashion Dresses Assortment","Barbie","Doll Accessories","Multi",NA,"1","Wipe Clean Only","3 Years +",NA,NA,0.95
"448231","Beados Refill Pack","Beados","Beads and Jewels","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"448233","Beados Four Colour Pen","Beados","Beads and Jewels","Multi",NA,"1",NA,"5 Years +",NA,NA,0.941666666666667
"448342","Bunchems Bugs Bestioles Creation Pack","Bunchems","Craft Kits","Multi",NA,"1",NA,"3 Years +",NA,NA,0.941666666666667
"448401","Bunchems Colour Booster Creation Pack","Bunchems","Craft Kits","Multi",NA,"1",NA,"6 Years +",NA,NA,0.941666666666667
"443823","Chicco Ranger Dolls Pram Junior Collection Pink","Chicco Capri","Pram",NA,NA,"1",NA,"3 Years +",NA,NA,0.8
"452666","Cupcake Surprise Doll","Cupcake Surprise","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"345055","Disney Princess Bath Doll Assorted","Disney","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"408611","Palace Pets Furry Tail Friends Assortment","Disney","Figures","Multi",NA,"1",NA,"3 Years +",NA,NA,0.85
"428516","Disney Princess Classic Fashion Doll Assorted","Disney","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"439450","Disney Cinderella Twirling Skirt Doll","Disney","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"439633","Disney Princess Microphone","Disney","Singing Microphone","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"447531","Disney Princess Light Up Ball","Disney","Play Balls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"449840","Disney Princess Small Doll Assorted","Disney","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"408630","Disney Frozen Twirling Baton","Disney Frozen","Baton","Multi",NA,"1",NA,"3 Years +",NA,NA,0.941666666666667
"440509","Disney Frozen Fashems","Disney Frozen","Collectables","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"443801","Disney Frozen Walkie Talkies","Disney Frozen","Walkie Talkies","Multi",NA,"2",NA,"3 Years +",NA,NA,0.9
"448276","Disney Frozen Doll Assorted","Disney Frozen","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"456434","Hatchimals Colleggtible Blind Egg","Hatchimals","Hatchimals","Multi",NA,"1",NA,"5 Years +",NA,NA,0.85
"456436","Hatchimals Colleggtible and Bonus Egg 4pk","Hatchimals","Hatchimals","Multi",NA,"4",NA,"5+",NA,NA,0.85
"440187","Lalaloopsy Babies Doll Asst","Lalaloopsy","Dolls","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"408613","Little Live Pets Bird Pack Assortment","Little Live Pets","Collectables","Multi",NA,"1",NA,"5 Years +",NA,NA,0.9
"439912","Little Live Pets Turtle Assortment","Little Live Pets","Collectables","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"448243","Little Live Pets Baby Chick","Little Live Pets","Figure Playsets","Multi",NA,"1",NA,"5 Years +",NA,NA,0.9
"450777","Little Live Pets Tweet Talking Bird Cage","Little Live Pets","Figure Playsets","Multi",NA,"1",NA,"5 Years +",NA,NA,0.9
"417884","Monster High Zombie Shake 2pk","Monster High","Dolls","Multi",NA,"2",NA,"6 Years +",NA,NA,0.9
"417886","Monster High Frights Camera Action Assortment","Monster High","Dolls","Multi",NA,"1",NA,"6 Years +",NA,NA,0.9
"439423","Monster High Art Class Doll Asst","Monster High","Dolls","Multi",NA,"1",NA,"6 Years +",NA,NA,0.9
"417888","My Little Pony Scribble Me Assortment","My Little Pony","Soft Toys","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"440507","My Little Pony Fashems","My Little Pony","Collectables","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"448193","My Little Pony Movie Character Figure","My Little Pony","Collectables","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"448277","My Little Pony Blind Bag","My Little Pony","Collectables","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"438670","Pony Cycle Ride On Toy","Pony Cycle","Pony Cycle","Multi",NA,"1",NA,"3 Years +",NA,NA,0.9
"428006","Shopkins 5pk","Shopkins","Figure Playsets","Multi",NA,"5","Wipe Clean Only","5 Years +",NA,NA,0.9
"428007","Shopkins Deluxe Pack Asst","Shopkins","Figure Playsets","Multi",NA,"1","Wipe Clean Only","5 Years +",NA,NA,0.95
"428008","Shopkins Shoppies Doll Asst","Shopkins","Dolls","Multi",NA,"1","Wipe Clean Only","5 Years +",NA,NA,0.95
"448259","Shopkins 12pk","Shopkins","Collectables","Multi",NA,"1",NA,"5 Years +",NA,NA,0.9
