"Article","Web Description","Brand","DQ Score"
"425819","Waterball","Buitenspeel",0.6
"425820","Octopus Waterparty","Buitenspeel",0.891666666666667
"425821","Disc Deluxe Target and Dart Throwing Game","Buitenspeel",0.891666666666667
"425822","Giant Playing Cards","Buitenspeel",0.891666666666667
"425824","Tin Throwing Game","Buitenspeel",0.891666666666667
"425827","Jumping Cow White","Buitenspeel",0.95
"425829","Parachute","Buitenspeel",0.891666666666667
"426211","Mercia Tulip Playhouse 5ft x 5ft","Mercia Garden Products",0.95
"426212","Mercia Tulip Playhouse Tower 5ft x 7ft 6inch","Mercia Garden Products",0.95
"426213","Mercia Poppy Playhouse 5ft x 5ft","Mercia Garden Products",0.95
"426214","Mercia Poppy Playhouse Tower 5ft x 7ft 6inch","Mercia Garden Products",0.95
"426216","Mercia Dutch Style Playhouse 6ft x 6ft","Mercia Garden Products",0.95
"426217","Mercia Flower Playhouse Central Door","Mercia Garden Products",0.95
"426220","Mercia Double Storey Playhouse 7ft x 5ft","Mercia Garden Products",0.95
"426222","Mercia Snug Playhouse 4ft x 4ft","Mercia Garden Products",0.95
"426223","Mercia Snug Playhouse and Tower 4ft x 4ft","Mercia Garden Products",0.95
"424697","BCE Multi Games Table Snooker/Pool/Dartboard 6ft","Riley",0.833333333333333
"425809","Jcb Dumper","Rolly",0.6
"425811","Cat Mobile 360 Degree Excavator","Rolly",0.6
"425812","John Deere Mobile 360 Degree Excavator","Rolly",0.891666666666667
"425813","John Deere Trio Trac With Electronic SteeringWheel and Trailer","Rolly",0.891666666666667
