"PSA.1","PSA.2","Attribute","Complete %"
"TOI","MED","DQ Brand",1
"TOI","MED","DQ Type",1
"TOI","MED","DQ Colour",0
"TOI","MED","DQ Size",0.280193236714976
"TOI","MED","DQ Pack Qty",0.876811594202899
"TOI","MED","DQ Power",0
"TOI","SHC","DQ Brand",1
"TOI","SHC","DQ Type",0.996466431095406
"TOI","SHC","DQ Colour",0.8
"TOI","SHC","DQ Size",0.826855123674912
"TOI","SHC","DQ Pack Qty",0.865248226950355
"TOI","SHC","DQ Power",0
"TOI","SHC","DQ Age",0.75
"TOI","SHC","DQ Model Number",0
"TOI","MEN","DQ Brand",1
"TOI","MEN","DQ Type",1
"TOI","MEN","DQ Colour",0.571428571428571
"TOI","MEN","DQ Size",0.523012552301255
"TOI","MEN","DQ Pack Qty",0.895397489539749
"TOI","MEN","DQ Power",0.0131578947368421
"TOI","MEN","DQ Model Number",0.0142857142857143
"TOI","FEM","DQ Brand",1
"TOI","FEM","DQ Type",1
"TOI","FEM","DQ Colour",0.576923076923077
"TOI","FEM","DQ Size",0.616438356164384
"TOI","FEM","DQ Pack Qty",0.815068493150685
"TOI","FEM","DQ Power",0
"TOI","SAN","DQ Brand",1
"TOI","SAN","DQ Type",1
"TOI","SAN","DQ Colour",0
"TOI","SAN","DQ Size",0.145631067961165
"TOI","SAN","DQ Material",0.14
"TOI","SAN","DQ Pack Qty",0.893203883495146
"TOI","SAN","DQ Washable",0
"TOI","FAC","DQ Brand",1
"TOI","FAC","DQ Type",1
"TOI","FAC","DQ Colour",0
"TOI","FAC","DQ Size",0.825112107623318
"TOI","FAC","DQ Pack Qty",0.668161434977579
"TOI","HAI","DQ Brand",1
"TOI","HAI","DQ Type",1
"TOI","HAI","DQ Colour",0.62780269058296
"TOI","HAI","DQ Size",0.0223214285714286
"TOI","HAI","DQ Assembly",1
"TOI","HAI","DQ Material",0
"TOI","HAI","DQ Pack Qty",0.950892857142857
"TOI","HAI","DQ Capacity",0
"TOI","DEN","DQ Brand",1
"TOI","DEN","DQ Type",1
"TOI","DEN","DQ Colour",0
"TOI","DEN","DQ Size",0.5
"TOI","DEN","DQ Pack Qty",1
"TOI","DEN","DQ Power",0
"TOI","DEN","DQ Model Number",0
"TOI","BAT","DQ Brand",1
"TOI","BAT","DQ Type",1
"TOI","BAT","DQ Size",0.541353383458647
"TOI","BAT","DQ Pack Qty",0.62406015037594
"TOI","SUN","DQ Brand",1
"TOI","SUN","DQ Type",1
"TOI","SUN","DQ Size",0.656862745098039
"TOI","SUN","DQ Pack Qty",0.794117647058823
"TOI","MON","DQ Brand",1
"TOI","MON","DQ Type",1
"TOI","MON","DQ Size",0.411764705882353
"TOI","MON","DQ Pack Qty",0.529411764705882
"TOI","HOS","DQ Brand",1
"TOI","HOS","DQ Type",1
"TOI","HOS","DQ Colour",0.262295081967213
"TOI","HOS","DQ Size",0.377049180327869
"TOI","HOS","DQ Pack Qty",0.934426229508197
"TOI","HOS","DQ Power",0
"TOI","FAA","DQ Brand",1
"TOI","FAA","DQ Type",0.986666666666667
"TOI","FAA","DQ Colour",0.195488721804511
"TOI","FAA","DQ Size",0.441379310344828
