"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Material","Assembly","DQ Score"
"HOM","FUR","a100007","Keswick Mattress Rolled Single","Airsprung","Single","Multi","80% Polyester, 20% Vicose","No",0.9
"HOM","FUR","a100008","Keswick Mattress Rolled Double","Airsprung","Double","Multi","80% Polyester, 20% Vicose","No",0.9
"HOM","FUR","a100088","Comfort Express Rolled Mattress Single","Airsprung","Single","Blue","80% Polyester, 20% Vicose","No",0.95
"HOM","FUR","a100089","Comfort Express Rolled Mattress Double","Airsprung","Double","Blue","80% Polyester, 20% Vicose","No",0.9
"HOM","FUR","a200001","York Mattress Medium Firm Single","Airsprung","Single","White","58% Polyester, 42% Polypropylene","No",0.9
"HOM","FUR","a200002","York Mattress Medium Firm Double","Airsprung","190x135cm","White","58% Polyester, 42% Polypropylene","No",0.9
"HOM","FUR","a200003","York Mattress Medium Firm Kingsize","Airsprung","200x150cm","White","58% Polyester, 42% Polypropylene","No",0.9
"HOM","FUR","a200004","Henley Trizone Deluxe Mattress Single","Airsprung","Single","Cream","73% Viscose, 27% Polypropylene","No",0.9
"HOM","FUR","a200005","Henley Trizone Deluxe Mattress Double","Airsprung","Double","Cream","73% Viscose, 27% Polypropylene","No",0.9
"HOM","FUR","a200069","Blythe Memory Foam No Turn Mattress Double","Airsprung","Double",NA,"100% Polyester","No",0.841666666666667
