"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"SBK","PAR","441451","Paw Patrol Plates 23cm 8pk","Paw Patrol",NA,"Multi","8",0.883333333333333
"SBK","PAR","441452","Paw Patrol Napkins 20pk","Paw Patrol",NA,"Multi","20",0.883333333333333
"SBK","PAR","441453","Paw Patrol Tablecover","Paw Patrol",NA,"Multi","1",0.883333333333333
"SBK","PAR","441454","Paw Patrol Party Bags 8pk","Paw Patrol",NA,"Multi","8",0.883333333333333
"SBK","PAR","441455","Paw Patrol Cups 8pk","Paw Patrol",NA,"Multi","8",0.883333333333333
"SBK","PAR","441456","Paw Patrol Party Invitations  8pk","Paw Patrol",NA,"Multi","8",0.883333333333333
"SBK","PAR","441445","Turtles Plates 8pk","Teenage Mutant Ninja Turtles",NA,"Multi","8",0.833333333333333
"SBK","PAR","441446","Turtles Napkins 20pk","Teenage Mutant Ninja Turtles",NA,"Multi","20",0.833333333333333
"SBK","PAR","441447","Turtles Tablecover","Teenage Mutant Ninja Turtles",NA,"Multi","1",0.833333333333333
"SBK","PAR","441448","Turtles Lootbags","Teenage Mutant Ninja Turtles",NA,"Multi","6",0.833333333333333
"SBK","PAR","441449","Turtles Cups 8pk","Teenage Mutant Ninja Turtles",NA,"Multi","8",0.833333333333333
"SBK","PAR","441450","Turtles Party Invitations 6pk","Teenage Mutant Ninja Turtles",NA,"Multi","6",0.833333333333333
"SBK","PAR","413634","Wilko Party Numerical Birthday Candle Number 0","Wilko","7cmx3cm","Multi","1",1
"SBK","PAR","413635","Wilko Party Numerical Birthday Candle Number 1","Wilko","7cmx3cm","Multi","1",1
"SBK","PAR","413636","Wilko Party Numerical Birthday Candle Number 2","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413637","Wilko Party Numerical Birthday Candle Number 3","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413638","Wilko Party Numerical Birthday Candle Number 4","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413639","Wilko Party Numerical Birthday Candle Number 5","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413640","Wilko Party Numerical Birthday Candle Number 6","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413641","Wilko Party Numerical Birthday Candle Number 7","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413642","Wilko Party Numerical Birthday Candle Number 8","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413643","Wilko Party Numerical Birthday Candle Number 9","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413644","Wilko Party 12 Pink Candles","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413645","Wilko Party 12 Blue Candles","Wilko",NA,"Multi","12pk",0.93
"SBK","PAR","413647","Wilko Party 8 Star Topped Candles","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413648","Wilko Party Stardust Table Confetti","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413649","Wilko Party Balloons Table Confetti","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413650","Wilko Party Cheers Table Confetti Silver/Black/Gold","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413651","Wilko Party Cupcake Candle Toppers","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413652","Wilko Party Football Candle Toppers","Wilko",NA,"Multi","1",0.93
"SBK","PAR","413657","Wilko Party Princess Candles","Wilko",NA,"Multi","1",0.93
