"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Coverage","Model Number","DQ Score"
"DEC","WAL","234587","Arthouse Wallpaper Paparazzi Simply Chic TexturedBeige 562702","Arthouse","10m x 0.53m","Brown","1",NA,"No","5.33m²","562702",0.65
"DEC","WAL","299051","Arthouse Wallpaper Samba Plain Silver","Arthouse","10m x 0.53m","Silver",NA,NA,"No","5.33m²","405901",0.65
"DEC","WAL","319985","Arthouse Wallpaper Anouska Red 871104","Arthouse","10m x 0.53m","Red","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345460","Arthouse Wallpaper Gabriella Black","Arthouse","10m x 0.53m","Black","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345467","Arthouse Wallpaper Flower Power Coral And Teal","Arthouse","10m x 0.53m","Multi","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345486","Arthouse Wallpaper Romano Brick Red","Arthouse","10m x 0.53m","Red","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345487","Arthouse Wallpaper Romano Brick Black","Arthouse","10m x 0.53m","Black","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","345499","Arthouse Wallpaper Anouska Taupe","Arthouse","10m x 0.53m","Brown","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","402162","Arthouse Stag Cream 623100","Arthouse","10m x 0.53m","Cream","1","Paper","No","5.33m²","623100",0.65
"DEC","WAL","405352","Arthouse Wallpaper Adorn Red and Teal","Arthouse","10m x 0.53m","Red","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","409533","Arthouse Wallpaper Woodland Duck Egg 630700","Arthouse","10m x 0.53m","Green","1","Paper","No","5.33m²","630700",0.6
"DEC","WAL","413513","Arthouse Wallpaper Fern Motif Teal","Arthouse","10m x 0.53m","Blue","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","413528","Arthouse Wallpaper Midsummer Plum","Arthouse","10m x 0.53m","Purple",NA,NA,"No","5.33m²",NA,0.65
"DEC","WAL","413529","Arthouse Wallpaper Retro Collage Grey","Arthouse","10m x 0.53m","Grey","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","414757","Arthouse Wallpaper White Brick","Arthouse","10m x 0.53m","White","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","425064","Arthouse Wallpaper Mystical Forest Slate","Arthouse","10m x 0.53m",NA,"1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","425065","Arthouse Wallpaper Mystical Forest Teal","Arthouse","10m x 0.53m",NA,"1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","425076","Arthouse Wallpaper Spellbound White","Arthouse","10m x 0.53m",NA,"1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","425081","Arthouse Wallpaper American Diner","Arthouse","10m x 0.53m",NA,"1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","425083","Arthouse Wallpaper Rustic Brick","Arthouse","10m x 0.53m",NA,"1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","436328","Arthouse Wallpaper Fern Motif Silver","Arthouse","10m x 0.53m","Silver","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436330","Arthouse Wallpaper Overture Teal","Arthouse","10m x 0.53m","Green","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436331","Arthouse Wallpaper Overture Lavendar","Arthouse","10m x 0.53m","Purple","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436334","Arthouse Wallpaper Austin Rose Red","Arthouse","10m x 0.53m","Red","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436335","Arthouse Wallpaper Austin Rose Purple","Arthouse","10m x 0.53m","Purple","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436340","Arthouse Wallpaper Whisper Teal","Arthouse","10m x 0.53m","Green","1",NA,NA,"5.33m²",NA,0.9
"DEC","WAL","436341","Arthouse Wallpaper Whisper Black and White","Arthouse","10m x 0.53m","Multi","1",NA,"No","5.33m²",NA,0.6
"DEC","WAL","436342","Arthouse Wallpaper Glisten Gunmetal","Arthouse","10m x 0.53m","Grey","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","436343","Arthouse Wallpaper Selina Gunmetal","Arthouse","10m x 0.53m","Grey","1",NA,"No","5.33m²",NA,0.6
"DEC","WAL","436349","Arthouse Olivia Wallpaper Pink/Teal","Arthouse","10m x 0.53m","Multi","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436352","Arthouse Wallpaper Moroccan Wall","Arthouse","10m x 0.53m","Cream","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436353","Arthouse Wallpaper Charlotte Blush","Arthouse","10m x 0.53m","Pink","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436354","Arthouse Wallpaper Ellwood Silver","Arthouse","10m x 0.53m","Silver","1",NA,"No","5.33m²",NA,0.65
"DEC","WAL","436355","Arthouse Wallpaper Ellwood Green","Arthouse","10m x 0.53m","Green","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436777","Arthouse Midsummer Wallpaper Dove Multi","Arthouse","10m x 0.53m","Multi","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","436779","Arthouse Wallpaper Mystical Forest White","Arthouse","10m x 0.53m","Multi","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438128","Arthouse Wallpaper Felicity Natural","Arthouse","10m x 0.53m","Cream","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438131","Arthouse Wallpaper Woodland Fairies Pink","Arthouse","10m x 0.53m","Pink","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438132","Arthouse Wallpaper Woodland Fairies White","Arthouse","10m x 0.53m","White","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438136","Arthouse Wallpaper Bear Hugs Mint","Arthouse","10m x 0.53m","Green","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438137","Arthouse Wallpaper Dino Doodles Multicoloured","Arthouse","10m x 0.53m","Multi","1",NA,NA,"5.33m²",NA,0.95
"DEC","WAL","438140","Arthouse Wallpaper Tiffany Stripe Duck Egg","Arthouse","10m x 0.53m","Blue","1",NA,NA,"5.33m²",NA,0.95
