"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"DEC","ADH","209358","Wilko Glass Glue 3g","Wilko",NA,NA,NA,0.883333333333333
"DEC","ADH","209359","Wilko Plastic Glue 20ml","Wilko",NA,NA,NA,0.883333333333333
"DEC","ADH","288947","Wilko Fabric Glue 20ml","Wilko",NA,NA,NA,0.883333333333333
"DEC","ADH","288948","Wilko Leather Glue 20ml","Wilko",NA,NA,NA,0.883333333333333
"DEC","ADH","288950","Wilko Rubber Glue 15g","Wilko",NA,NA,"1",1
"DEC","ADH","288959","Wilko PVA Adhesive 225ml","Wilko",NA,NA,"1",1
"DEC","ADH","81176","Wilko Super Glue 3g","Wilko",NA,NA,NA,0.883333333333333
"DEC","ADH","432835","Wilko Functional Super Glue Tubes 8 x 2g","Wilko Functional","8 x 2g",NA,"8pk",1
"DEC","CAR","342921","Wilko Heavy Duty Spray Adhesive For Carpets","Wilko",NA,NA,"1",0.86
"SBK","ADU","456183","Wilko Adhesive Spray 500ml","Wilko","500ml","Multi","1",1
