"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"FOO","SXM","338024","Flying Saucers Large Jar 140g","Bonds","140g","1","No",0.6
"FOO","SXM","444836","Bonds Mini Retro Sweet Shop 275g","Bonds","275g","1","No",0.65
"FOO","SXM","404450","Wilko Snowies Large Jar 1.1kg","Wilko","1.1kg","1","No",0.65
"FOO","SXM","423719","Fizzy Gummy Trees Gift Bag 165g","Wilko","165g","1","No",0.6
"FOO","SXM","423720","Liquorice Allsorts Gift Bag 165g","Wilko","165g","1","No",0.6
"FOO","SXM","423800","Jelly Beans Baby Jars 400g","Wilko","400g","1","No",0.6
"FOO","SXM","423802","Strawberry Bon Bons Baby Jars 300g","Wilko","300g","1","No",0.6
"FOO","SXM","441739","Gift Bag Mallow Snowman 80g","Wilko","80g","1","No",0.6
"FOO","SXM","441742","Mallows Large Jar 350g","Wilko","350g","1","No",0.6
"FOO","SXM","441743","Hessian Bag Chocolate Buttons 130g","Wilko","130g","1","No",0.6
