"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"TOY","ACT","450241","Avengers Mashems","Avengers","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","440510","Spiderman/Batman Mashems Assortment","Batman","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","448239","Minecraft Action Figure Assortment","Minecraft","Multi","1","6 Years +",0.941666666666667
"TOY","ACT","448242","Qixels Theme Pack Assortment","Qixels","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","448247","Qixels Design Creator","Qixels","Multi","1","3 Years +",0.891666666666667
"TOY","ACT","428060","Scooby Doo Figure In Goo Assortment","Scooby Doo","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","428062","Scooby Doo Super Soft Plush","Scooby Doo","Multi","1","From Birth",0.9
"TOY","ACT","448340","Scooby Doo Vehicle and Figure Assortment","Scooby Doo","Multi","1","3 Years +",0.941666666666667
"TOY","FAN","448231","Beados Refill Pack","Beados","Multi","1","3 Years +",0.9
"TOY","FAN","448233","Beados Four Colour Pen","Beados","Multi","1","5 Years +",0.941666666666667
"TOY","FAN","440509","Disney Frozen Fashems","Disney Frozen","Multi","1","3 Years +",0.9
"TOY","FAN","408613","Little Live Pets Bird Pack Assortment","Little Live Pets","Multi","1","5 Years +",0.9
"TOY","FAN","439912","Little Live Pets Turtle Assortment","Little Live Pets","Multi","1","3 Years +",0.9
"TOY","FAN","448243","Little Live Pets Baby Chick","Little Live Pets","Multi","1","5 Years +",0.9
"TOY","FAN","450777","Little Live Pets Tweet Talking Bird Cage","Little Live Pets","Multi","1","5 Years +",0.9
"TOY","FAN","440507","My Little Pony Fashems","My Little Pony","Multi","1","3 Years +",0.9
"TOY","PRE","428063","Paw Patrol Mashems Assortment","Paw Patrol","Multi","1","3 Years +",0.941666666666667
"TOY","PRE","440513","Paw Patrol Weebles Figures","Paw Patrol","Multi","1","18 Months +",0.941666666666667
"TOY","PRE","440514","Peppa Pig Weebles Figures Assortment","Peppa Pig","Multi","1","18 Months +",0.941666666666667
"TOY","PRE","440515","Peppa Pig Vehicle Assortment","Peppa Pig","Multi","1","3 Years +",0.941666666666667
"TOY","PRE","440518","Peppa Pig Magna Doodle","Peppa Pig","Multi","1","3 Years +",0.941666666666667
"TOY","PRE","451208","Peppa Pig Mini Buggies Assortment","Peppa Pig","Multi","1","2 Years +",0.941666666666667
"TOY","PRE","428047","Teletubbies Collectable Figure Assortment","Teletubbies","Multi","1","18 Months +",0.941666666666667
"TOY","PRE","428052","Teletubbies Collectable Soft Toy Assortment","Teletubbies","Multi","1","18 Months +",0.941666666666667
