"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","Capacity","Model Number","DQ Score"
"DIY","MOT","77164","Comma Gear Oil EP80W-90 GL4 1L","Comma","1L",NA,NA,"No",NA,"EP80w-90 GL4",0.65
"DIY","MOT","342807","Mobil Super 3000X1 Fully Synthetic Motor Oil 5W301L","Mobil","1L","1",NA,"No",NA,NA,0.65
"DIY","MOT","342808","Mobil Super 3000X1 Fully Synthetic Motor Oil 5W305L","Mobil",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342809","Mobil Super 2000X1 Semi Synthetic Motor Oil 10W401L","Mobil",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342837","Mobil Super 2000X1 Semi Synthetic Motor Oil 10W405L","Mobil",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","257972","Wilko Semi Synthetic Motor Oil 10W40 5L","Wilko","5L",NA,NA,"No",NA,NA,0.65
"DIY","MOT","257973","Wilko Semi Synthetic Motor Oil 10W40 1L","Wilko","1L",NA,NA,"No","1L",NA,0.65
"DIY","MOT","286551","Wilko Fully Synthetic Formula 5w 40 Motor Oil 5L","Wilko","5L","1","Oil","No",NA,NA,0.65
"DIY","MOT","286553","Wilko Semi Synthetic Formula 5w 30 Motor Oil 5L","Wilko","5L",NA,"Oil","No",NA,NA,0.65
"DIY","MOT","322759","Wilko Power Steering Fluid 1L","Wilko","1L","1",NA,"No",NA,NA,0.65
"DIY","MOT","342790","Wilko High Mineral Motor Oil 20W50 1L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342791","Wilko High Mineral Motor Oil 20W50 5L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342792","Wilko Classic Car Oil 20W50 5L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342793","Wilko Semi Synthetic Car Oil 15W40 1L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342794","Wilko Semi Synthetic Car Oil 15W40 5L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342795","Wilko Semi Synthetic Car Oil 5W30 1L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342796","Wilko Fully Synthetic Car Oil 5W30 2L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342797","Wilko Fully Synthetic Car Oil 5W30 1L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342798","Wilko Fully Synthetic Car Oil 5W30 5L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342799","Wilko Fully Synthetic Long Life Car Oil 5W30 2L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342800","Wilko Fully Synthetic Advanced Car Oil 5W30 2L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342801","Wilko Fully Synthetic Motor Oil 5W40 1L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342802","Wilko 2 Stroke Mineral Oil 500ml","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342803","Wilko Silicate Concentrate Coolant 1L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","342804","Wilko Oat Concentrate Coolant 1L","Wilko",NA,"1",NA,"No",NA,NA,0.65
"DIY","MOT","39759","Wilko Multi Purpose Grease Tub 500g","Wilko","500g",NA,NA,"No",NA,NA,0.65
"DIY","MOT","39766","Wilko Brake Fluid DOT4 500ml","Wilko","500ml",NA,NA,"No",NA,NA,0.65
"DIY","MOT","444662","Wilko Fully Synthetic Motor Oil 5W30 5L","Wilko","5L","1",NA,"No",NA,NA,0.65
"DIY","MOT","444663","Wilko Fully Synthetic Motor Oil 5W30 2L","Wilko","2L","1",NA,"No",NA,NA,0.65
"DIY","MOT","57886","Wilko Silicate Ready To Use Coolant 1L","Wilko","1L",NA,NA,"No","1L",NA,0.65
