"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"KIT","BAP","351587","Wilko Weights and Measures Baking Board","Wilko","Work surface protector 48 x 38 x 0.5cm 1.790kg","Multi","1",1
"KIT","BAP","351590","Wilko Spatula Plain Pastels","Wilko",NA,NA,NA,0.79
"KIT","GAD","434038","Sabatier Chef Knife 8in","Sabatier",NA,NA,NA,0.766666666666667
"KIT","GAD","434039","Sabatier Bread Knife 8in","Sabatier",NA,NA,NA,0.766666666666667
"KIT","GAD","434040","Sabatier Santoku Knife 6in","Sabatier",NA,NA,NA,0.766666666666667
"KIT","GAD","434041","Sabatier Cleaver Knife 6in","Sabatier",NA,NA,NA,0.766666666666667
"KIT","GAD","434042","Sabatier Utility Knife 4.5in","Sabatier",NA,NA,NA,0.766666666666667
"KIT","GAD","434043","Sabatier Paring Knife 3.5in","Sabatier",NA,NA,NA,0.766666666666667
"KIT","MUG","427772","Wilko La Cafetiere 8 Cup","Other","Cafetiere 14.1 x 12 x 24.5cm 0.611kg","Multi","1",0.95
"KIT","MUG","435913","Wilko Blue Tit Mug","Wilko",NA,NA,NA,0.79
"KIT","MUG","435914","Wilko Robin Mug","Wilko",NA,NA,NA,0.79
"KIT","MUG","435915","Wilko Morroccan Dash Design Mug Teal","Wilko",NA,NA,NA,0.79
"KIT","MUG","435918","Wilko Morroccan Dash Design Mug Blue","Wilko",NA,NA,NA,0.79
"KIT","MUG","435925","Wilko Wildlife Mug","Wilko",NA,NA,NA,0.79
"KIT","MUG","445596","Wilko Mug Beauty is Everywhere","Wilko","12 x 8 x 9cm","Multi","1",1
"KIT","MUG","450525","Wilko Mug Striped Blue","Wilko","12.5 x 8.5 x 10cm","Blue","1",1
"KIT","MUG","450528","Wilko Mug Ducks","Wilko","11.5 x 8.5 x 8cm","Multi","1",1
"KIT","MUG","450529","Wilko Mug Chickens","Wilko","11.5 x 8.5 x 8cm","Multi","1",1
"KIT","MUG","450533","Wilko Mug Large Butetrfly Design","Wilko","14 x 11.5 x 7cm","Purple","1",1
"KIT","MUG","450534","Wilko Mug Wildlife Design","Wilko","12 x 9 x 9cm","Multi","1",1
